,username,date,content,user_location,bulan
0,sita_diandian,2021-01-29 15:54:01+00:00,"@KhumaidiZakki @chsstea Mas skrg baby kl g d vaksin dluar wjib pmrinth tu resiko bgt,krna dunia kita sdh tdk sehat lg. Pervaksin tau g hrga brpa? Bs 300-1 jta dn tu kdg sebulan ada 2/3 vaksin dluar wjib pmrinth yg gratis it,mskipn pilhn ortu mau kasi atau g. Jd baiknya nabung utk hidp 1 thn prtma anak",Aceh,Januari
1,fauzan_alia,2021-01-29 15:36:40+00:00,"Alhamdulillah...
Gubernur Aceh Bpk. Ir. H. Nova Iriansyah, MT. Menerima Suntikan Vaksin Covid-19 Tahap 2.👍👍👍 https://t.co/JOSadqOss8",Aceh,Januari
2,Azarr7,2021-01-29 14:17:24+00:00,"Vaksin tak percaya, Story WhatsApp boleh tarik duit dalam akaun bank percaya pulak. 🤷‍♂️",Aceh,Januari
3,mhzqshf,2021-01-29 13:27:50+00:00,"I just wonder la. Yg keluar bercuti kesana kesini rakyat. Yg tak jaga sop rakyat. Yg anti vaksin pn mostly rakyat. Tapi kenapa salahkn kerajaan eh🤔 Kalau salah tolong bagitau sebab mana la saya tau, saya kan ikan",Aceh,Januari
4,MisterQ_14,2021-01-29 13:05:14+00:00,"@mnnabcdefghijk Gila babi mahal.Maknanya depa take advantage lah pasal might be kit pon dah limited stocks.
Masuk vaksin esok2 ntah berapa pulak lah depa cas.",Aceh,Januari
5,PedotAiman,2021-01-29 12:44:22+00:00,"@akhmalrizall Kita kena buat vaksin sendiri ni yon, hg buat aku supply kan... Hg pro bab2 ubat traditional ni",Aceh,Januari
6,EncheMz,2021-01-29 10:11:21+00:00,"With this new figure, boleh start lupakan ziarah Raya, shopping, travel ke apa untuk tahun ni. 2021 ni mcm 2020 version2.0. Even ada vaksin pun bukan satu malam boleh settle semua. https://t.co/lEGoDgAg6J",Aceh,Januari
7,ahmadmuzhir,2021-01-29 09:40:54+00:00,Tu pon ada yg sombong taknak vaksin bukan pureblood,Aceh,Januari
8,protokolaceh,2021-01-29 07:52:06+00:00,"Gubernur Nova pada kesempatan itu juga menjelaskan bahwa para tenaga kesehatan di Aceh sejatinya harus menyukseskan program vaksin Covid-19 dengan cara tidak menolak vaksin tersebut.
https://t.co/lz2RUNzCwe",Aceh,Januari
9,DinasTebing,2021-01-29 05:51:09+00:00,"Mari mengenal lebih jauh tentang vaksin dan manfaatnya.

https://t.co/7Cw0iVYP7k",Aceh,Januari
10,Kamalraj1974,2021-01-29 05:37:22+00:00,"@Thiban_ben Malaysia tunggu kkm testing la,nk buat ring vaksin.Harap PH get into this fast,mrk tk blh decide or menteri n politician dpt vaksin dulu",Aceh,Januari
11,HAZMANISMAIL,2021-01-29 01:59:55+00:00,@hdytznddn Tenang..hg dah vaksin..terhindar covid..bleh p rata 🤣,Aceh,Januari
