,username,date,content,user_location,bulan
0,iniyangpastiery,2021-01-29 13:19:02+00:00,"Orang lain :
Sbelum divaksin, istirahat yg cukup, abis inj diem 15-30 menit, pulang &amp; istirahat kalo ada gejala lapor

Me :
Abis jamal gila, tidur cuma sejam, lanjut vaksin, gk pake istirahat dijemput buat makan, trus ke ubud, pulang tidur 3 jam, lanjut jamal 2

Cepet mati muda🤣",Bali,Januari
1,ordinaries22,2021-01-29 04:08:25+00:00,Lagi mikir ini vaksin boleh ditemenin kagak woy beneran disuntik tu aku mau sambil dipeluk :( takut :(,Bali,Januari
2,leeissaechan,2021-01-29 02:03:06+00:00,Jare kon mngan sg akeh bno g mual muntah bar di vaksin 😂😂😂😂😂😂😂,Bali,Januari
3,wicitrawinna,2021-01-28 12:34:48+00:00,"Niatnya vaksin di fasyankes tp jadinya di puskesmas kakak biar ga takut pas disuntik krn sejujurnya ku sangat takut disuntik wkakakak. Untung ada alasan kalo ditanya kok disini vaksin ya kan iship digianyar, krn puskesmas kk di sukawati🤣",Bali,Januari
4,wicitrawinna,2021-01-28 11:21:42+00:00,@praditadhriti Sumpahhhh bsk aku mau vaksin :(((,Bali,Januari
5,imaimachan,2021-01-28 03:02:35+00:00,"sudah vaksin😘💉 

terimakasih Puskesmas Kuta I, tempatku main sedari kecil sambil nungguin ibu praktek sore 💕💕💕 https://t.co/5YFNgUz2vr",Bali,Januari
6,wicitrawinna,2021-01-28 02:56:04+00:00,"Hbs baca dokter anak meninggal ditembak, krn td ada tweetnya habis vaksin bayi tak kira arahnya kesana. Ternyata dokter jg yg nembak. W udh stress sblm baca berita lengkapnya krn ayah dokter anak jg fufufu",Bali,Januari
7,sirbenn_,2021-01-28 02:39:58+00:00,"Kemarin baru mention pak Presiden, besok langsung mulai vaksin semua residen Udayana 🥳🥳",Bali,Januari
8,leeissaechan,2021-01-27 12:22:40+00:00,Sido vaksin tnan iki ya allah 😂😂😂,Bali,Januari
9,sirbenn_,2021-01-27 12:10:47+00:00,"Pak, residen di Unud belum dapat vaksin sampe skrg https://t.co/vJrdbrYr2p",Bali,Januari
10,sofie_Cikling,2021-01-27 11:37:00+00:00,Itu lah iNdonesia😂😂 buat apa vaksin kan https://t.co/t6dhrBb0Tk,Bali,Januari
11,dsytha,2021-01-27 10:22:18+00:00,@serenityuma Bukan beb ini vaksin penyakit kilap hati. Makasih,Bali,Januari
12,binmasresklung1,2021-01-27 08:33:42+00:00,Kapolres Klungkung Bersama Forkopimda Suntik Vaksin Pertama Di Rumah Sakit Umum Klungkung. https://t.co/iwrr5emKUo,Bali,Januari
13,Handoko75161314,2021-01-27 05:55:49+00:00,"@MoelyonovDjalil taruhlah bicara resourves...

andai kekayaan singapura atau malaysia di pakai nanganin covid di Indonesia, apa gak sdh bangkrut

paling tdk, GDP /kekayaan kita bisa jadi modal kepercayaan untuk cari pinjaman Internasional, tdk harus merengek

misalnya vaksin itu.",Bali,Januari
14,Q2ferdinand,2021-01-27 03:02:11+00:00,Dijadwalkan vaksin jam 10.30. Sampe lokasi dibilang registrasi ulang dibuka jam 12. Peserta vaksin rata2 nakes yg masih bertugas jd berkerumun.  Gimana ini @KemenkesRI ? 🤣🤣,Bali,Januari
15,dsytha,2021-01-27 01:51:25+00:00,"Ye, dah vaksin. Seminggu lagi boleh jalan2. https://t.co/ovVl298WIZ",Bali,Januari
16,TeduhAbdul,2021-01-26 16:28:11+00:00,Diskusi malam seputar Vaksin di Warung Kopi bawak bunut pasar lama praya lombok tengah ntb https://t.co/waCiJZtvdU,Bali,Januari
17,Cinleng_,2021-01-26 14:11:06+00:00,"Liat berita vaksin, bukannya takut divaksin tapi takut jarum suntiknya panjang beut dah",Bali,Januari
18,arriyav13,2021-01-26 09:14:31+00:00,Untuk merayakan 1 juta kasus. Yuk giveaway vaksin. https://t.co/IsZeEPhF8C,Bali,Januari
19,wiq1721,2021-01-26 03:45:57+00:00,"vaksinasi Covid-19 
eehh tapi habis vaksin dapetnya es kopi, bukan burjoo 🤣🤣🤣🤣 https://t.co/NCMlOo5dTv",Bali,Januari
20,SKlungkung,2021-01-25 14:05:25+00:00,Polres Klungkung  Kawal Ketat Kedatangan Vaksin Covid-19 https://t.co/O74B3NiKvK,Bali,Januari
21,adonesian,2021-01-25 12:00:11+00:00,Vaksin mandiri adalah vaksin yang paling ideal untuk anak underground.,Bali,Januari
22,diahmalini,2021-01-25 04:36:26+00:00,"akhirnya gagal vaksin lg, gagal vaksin selalu d temanin pak dobiel https://t.co/p0fO91mGGz",Bali,Januari
23,Handoko75161314,2021-01-24 10:29:46+00:00,"@sociotalker @RachlanNashidik di awal pandemi kekhawatiran dan ketidak percayaan pd pemerintah juga ada

bahkan ada usaha menggagalkan kerja pemerintah dlm mengatasi pandemi ini

hari ini vaksin sdh tersedia dan sdh mulai gerakan vaksinasi

yg nyinyir itu sdh berbuat apa...",Bali,Januari
24,putufilla,2021-01-23 10:02:23+00:00,"Aku disuntik vaksin biasa ajaa
Hello kitty nya yg kaget https://t.co/lSgPq6EDHJ",Bali,Januari
25,ParmadityaS,2021-01-23 09:57:25+00:00,Twitt ini terlepas dr saya mendukung vaksin atau tidak. Supaya gak jadi dilema diakhir bacaan.,Bali,Januari
26,coraliabali,2021-01-23 09:50:35+00:00,"@Penol86 Jembatan itu😁
Sementara kita nikmati kenang2 dulu opa sampe vaksin ok",Bali,Januari
27,DIABLOBAD,2021-01-23 09:48:14+00:00,Kasih alasan yang valid dong buat nolak vaksin Sinovac ?,Bali,Januari
28,DIABLOBAD,2021-01-23 09:46:07+00:00,"Pengen tau alasan kenapa sebagian orang gak mau di vaksin covid ?  Serius nanyak .. 
sedangkan vaksin rabies untuk manusia saja masih di pertanyakan ke akuratanya kalian berani ambil vaksinya ?",Bali,Januari
29,INyomanSetiawa2,2021-01-23 04:58:26+00:00,"Jangan Takut Divaksin!
Vaksin Covid-19 Produksi Sinovac aman dan halal.
.
#jangantakutvaksincovid 
#polisirepublikindonesia 
#polisiwanitarepublikindonesia 
#polreskarangasem 
.
@polisirepublikindonesia 
@polwan_republik_indonesia 
@polisi_wanita 
@nyoman_suartinireal https://t.co/dAqwu27dzH",Bali,Januari
30,kangborgigi,2021-01-22 21:37:46+00:00,Gagal paham sama judulnya. Dia positif pasca vaksin. 😵 https://t.co/zazs1JvDRy,Bali,Januari
31,putusuastana_,2021-01-22 14:56:15+00:00,"Vaksin belum tentu bebas covid,
Trus kenapa harus vaksin?
Padahal kandungan dalam vaksin juga kita tidak tau kan ya?? Bisa bantu kasi jawaban? Maaf saya awam",Bali,Januari
32,lendirgyarados,2021-01-22 13:50:44+00:00,"Jarang jarang masuk angin separah ini semenjak suntik vaksin flu November kemaren. Tapi ya gimana emang bali lagi dingin banget, kemaren begadang ampe jam 4 subuh, shift kerja berantakan, kemaren semingguan makan indomie goreng kadaluarsa pula 😟",Bali,Januari
33,fuglynes,2021-01-22 08:55:02+00:00,@3shotamericano Kebanyak sih cuma turun bero sama ambeiein 🤣 kebanyakan vaksin sih mati engga menderita iya 🤕,Bali,Januari
34,Rian_gantok,2021-01-21 04:31:11+00:00,"Vaksin aman dan halal
#vaksìncovid19 #vaksinasimelawanpandemi @ Dusun Sekotong 1, Desa Sekotong Tengah, Kec. Sekotong https://t.co/hsQl5CAF2C",Bali,Januari
35,DNA_lloh,2021-01-20 17:45:59+00:00,My vaksin https://t.co/RGHbsfDycL,Bali,Januari
36,fvckdarulez,2021-01-20 13:52:49+00:00,"Ga butuh suntik vaksin, butuhnya suntikan dana",Bali,Januari
37,dekharry,2021-01-20 09:34:29+00:00,"Kekokake 😁😁😬
Sabu diisap.. ganja diisep.. pil koplo ditelan.. ekstasi di makan.. arak oplos ditelan.. semua tdk lolos BPOM.. giliran yg lolos BPOM.. vaksin takut .. isi sok nanyain kandungan yg ada dlm vaksin 😁😁😃 https://t.co/4oudcXs3Nq",Bali,Januari
38,Tian_Koncez27,2021-01-19 11:33:05+00:00,"Ternyata hanya pilkada obat pirate corona ne 
Mendadak semua turun mare kal pilkada 
Awake seger je tanpa obat dan vaksin pletan !!!
Budaya leluhur kalah terus jak elit https://t.co/CB2x1hFt1u",Bali,Januari
39,Tian_Koncez27,2021-01-19 11:32:52+00:00,"@lucutanpagaris @AjikWah @gedeatmaka86 @kakiangbagoes @DewaPutrajaya @netijenbali Ternyata hanya pilkada obat pirate corona ne 
Mendadak semua turun mare kal pilkada 
Awake seger je tanpa obat dan vaksin pletan !!!
Budaya leluhur kalah terus jak elit",Bali,Januari
