,username,date,content,user_location,bulan
0,FajarSuprapto6,2021-01-21 10:23:26+00:00,"@tempodotco Dah mulai nglantur gara gara di vaksin..
Bntr lg pd lupa ingatan tuh pr pembantu pak lurah.",Bengkulu,Januari
1,cutrinii,2021-01-20 16:56:14+00:00,@ul_muchtar Kalian udah vaksin nul?,Bengkulu,Januari
2,mawaaaarrrrr,2021-01-17 08:23:39+00:00,"Byk yg gasuka org masih ragu sm kandungan vaksin padahal makan mie ayam/bakso pake saos yg ga jelas asal usulnya ni ya..

Ok. Aku tim yg makan semua itu tnp saos dan kecap can't relate.",Bengkulu,Januari
3,angga_selvano,2021-01-14 11:08:24+00:00,"Kok gara-gara vaksin aja mesti ribut....???? Kan lucu?? 

#LawanCovid19
#VaksinasiNasional 
#VaksinCorona 
#VaksinSinovac",Bengkulu,Januari
4,humaspemkotbkl,2021-01-13 06:46:46+00:00,"Secara Simbolis, Wakil Walikota Terima Vaksin Sinovac.
.
.
.
#helmihasan
#dedywahyudi
#bengkulukotahadits
#hd #insyaallah
#bahagiadanreligius
#bengkulubisa 
#banggakotabengkulu
#kotabengkulu #bengkulu #pemerintahkotabengkulu  #prestasipemkotbengkulu
#dakwah #islam #muslim #hijrah https://t.co/NsJo75oiwq",Bengkulu,Januari
5,humaspemkotbkl,2021-01-13 06:35:30+00:00,"Wakil Walikota Bengkulu Dedy Wahyudi didampingi Kepala Dinas Kesehatan (Dinkes) Susilawaty menerima Vaksin Sinovac Covid-19 secara simbolis di UPTD Farmasi Kota Bengkulu, Rabu (13/1/2021). https://t.co/yJ3AEEjxQs",Bengkulu,Januari
6,Syarman59,2021-01-13 04:13:47+00:00,"@tribunnews Dulu di caci ""anak PKI"" sekarang di didukung dan puji penolak vaksin😃",Bengkulu,Januari
7,humaspemkotbkl,2021-01-05 03:07:21+00:00,"“Nakes di Provinsi Bengkulu yang akan divaksin terlebih dahulu sebanyak 4.778 orang termasuk di Kota Bengkulu. Karena memang ketersediaan vaksin kita bertahap,” jelas Nelly. Baca selengkapnya di...
https://t.co/hMALp2dJSY",Bengkulu,Januari
8,Syarman59,2021-01-02 04:17:38+00:00,@hmzailanispog Itu fakta kalau vaksin covid-19 aman,Bengkulu,Januari
0,cutrinii,2021-02-18 12:36:21+00:00,"Efek vaksin kedua : badan pegal-pegal, sakit dan rasanya kaya capek kali gitu😩",Bengkulu,Februari
0,ivanhamid19_,2021-03-04 16:00:29+00:00,Sadar diri adalah vaksin terbaik untuk luka yang telah kronis,Bengkulu,Maret
0,aaggnii,2021-04-09 20:38:39+00:00,"Badan nya memang tidak segendut anak anak lain. Minum susu nya pun tak selahap anak"" lain. Dia pun membutuhkan ektra tenaga untuk melawan setiap kali vaksin"" yang kami berikan untuknya. Atau untuk melawan setiap kali rasa sakit dtng.",Bengkulu,April
1,aaggnii,2021-04-07 06:54:09+00:00,Gws ya nak mama. Biar makin sehat ya. Nnti umur 9 bulan lagi kita vaksin ya. Beberpa bulan kedepan ayo semngt MPASI. https://t.co/Qhw7dRHnu9,Bengkulu,April
0,Indah05209372,2021-05-29 02:56:02+00:00,"Nusantara Satu
Vaksin itu penting sanak..... https://t.co/Fwwe5aw6KJ",Bengkulu,Mei
1,Indah05209372,2021-05-28 01:27:24+00:00,"Indonesia Bersatu

PElah vaksin sanakkk.... 

#Bengkulu https://t.co/gNTGd0i0C9",Bengkulu,Mei
2,Indah05209372,2021-05-28 01:25:19+00:00,"Vaksin melindungi anda dari kopeed..... 
Indonesia Bersatu

#indonesia https://t.co/IQHMGrpskZ",Bengkulu,Mei
3,Indah05209372,2021-05-27 02:49:35+00:00,"Vaksin.... Sanakk, biar kebal dari koped https://t.co/BKKYJvD5qS",Bengkulu,Mei
4,Indah05209372,2021-05-27 02:47:52+00:00,"Vaksin.... Sanakk, biar kebal dari koped https://t.co/vPtUTgYMjo",Bengkulu,Mei
0,clarke40897645,2021-06-29 00:08:16+00:00,"Menkes Budi Sebut Vaksin yang Dipakai Indonesia Efektif Lawan Covid-19 Varian Delta
Doa Untuk Bangsaku https://t.co/BELZg2bVuR",Bengkulu,Juni
1,venomgnome,2021-06-26 00:30:32+00:00,"Yuk vaksin untuk atasi pandemi
Disiplin Atasi Pandemi https://t.co/VfxMX2RW8n",Bengkulu,Juni
2,SalsabillaTafia,2021-06-25 02:42:58+00:00,"Ayo Vaksin

Damai Indonesiaku https://t.co/FfYm2T5BXm",Bengkulu,Juni
3,NusantaraRaya45,2021-06-25 00:48:55+00:00,"Jubir Vaksin: Disiplin protokol kesehatan tetap harus dilakukan bersama vaksinasi
Damai Indonesiaku
https://t.co/wOHF39wZju",Bengkulu,Juni
4,clarke40897645,2021-06-25 00:02:20+00:00,"Resmi! Jokowi Terbitkan Aturan Denda dan Pidana Warga Penolak Vaksin Corona 
Damai Indonesiaku https://t.co/4l2bQnoRYr",Bengkulu,Juni
5,Inokari_,2021-06-23 01:51:54+00:00,"@dianesayank Selamat vaksin, Mbak. Semangat! 👏",Bengkulu,Juni
6,venomgnome,2021-06-23 00:01:06+00:00,"Ganjar Pranowo Meminta Masyarakat Mewaspadai Covid Varian Delta, Berikut Langkah-Langkah Vaksin
Bersatu Lawan Covid19
https://t.co/RrKZkhvugs",Bengkulu,Juni
7,NusantaraRaya45,2021-06-22 00:12:23+00:00,"Kemenkes Pastikan Vaksin Tetap Ampuh Lawan Varian Delta
Yuk Disiplin Prokes
https://t.co/UYQuICndUi",Bengkulu,Juni
8,Mawar29520940,2021-06-11 13:53:19+00:00,"Tolak Provokasi

Melahirkan pai vaksin sanaaaaakkkk badan sehat terhindar dari kopeddddd https://t.co/WXxXnP90ti",Bengkulu,Juni
9,Mawar29520940,2021-06-11 13:38:57+00:00,"Tolak Provokasi 

Terapkan potokol kesehatan dan vaksin di faskes terdekat sanakkkkk https://t.co/pl3dm25dWb",Bengkulu,Juni
10,Mawar29520940,2021-06-11 13:36:21+00:00,"Tolak Provokasi

Melahirkan kito pai vaksin sanakkkkkkkkk https://t.co/G2rIwOIKzW",Bengkulu,Juni
11,Indah05209372,2021-06-11 13:26:30+00:00,"Tolak Provokasi

Ayo semua vaksin https://t.co/TkY5xteCNe",Bengkulu,Juni
12,pdahlia70,2021-06-11 13:07:23+00:00,Lawan covid dengan vaksin + prokes 5M Tolak Provokasi https://t.co/5UediQumNG,Bengkulu,Juni
13,SilviaPutriAn11,2021-06-11 02:33:45+00:00,"Satgas minta kepala daerah prioritaskan vaksin Covid-19 untuk lansia dan pra lansia.
Waspada Provokasi https://t.co/cUZN10su8P",Bengkulu,Juni
