username,date,content,user_location,bulan
rinisugiyati,2021-03-28 13:27:14+00:00,"Yuk yg belom vaksin org tuanya, atau kerabat lansianya, bisa ditemenin loh. Bonus diencus yg nemeninnya klo masih muda. Biar kerabat2 lansia qta berani untuk divaksin 🙂 https://t.co/jJ9FFtsONG",DKI Jakarta,Maret
ms_atiek,2021-01-07 11:31:19+00:00,"Vaksin ga halal ditolak tapi Netflix &amp; Chill jalan teros.

Typical. https://t.co/2w2eJ9epdY",Nusa Tenggara Barat,Januari
iyass_tias,2021-06-28 13:13:13+00:00,"@_usanti Merespon ada benda asing masuk padahal gda apa2, apalagi ini jelas2 ada yg mau dimasukin(vaksin), kecuali km emg bner2 dlm keadaan bersih(ga kambuh), trs dr nya nyaranin kalo kamu inject obat yg bs mnahan pso kambuh 6bln stelahnya bisa melakukan vaksin, krn paling enggak-",DI Yogyakarta,Juni
RareDarL_N,2021-07-06 02:40:55+00:00,"@kmhworlds belum, tadi pagi aku mo ikut vaksin tapi takut pergi sendiri 😭",Nusa Tenggara Timur,Juni
Mynhantan,2021-04-21 16:52:35+00:00,Demam-Gatal-Ga enak badan begini terus beberapa hari belakangan. Terjadi setelah vaksinasi pertama. Apakah ini reaksi vaksin di tubuh?,Sumatera Utara,April
bayudputraa,2021-07-09 11:04:52+00:00,"mau vaksin aja ada waktunya yg tepat, apalagi ngelepasin.",Lampung,April
bayu_bs07,2021-01-23 16:41:34+00:00,"Narasi yg baik Habis divaksin tidak lama meninggal ""korban meninggal karna ada penyakit lain bkn karna vaksin""
Meninggal karna penyakit lain + covid ""jumlah korban MD covid trs bertambah""",Sumatera Selatan,Januari
dundunchenk,2021-07-09 05:03:19+00:00,@zarazettirazr @tvOneNews Redaksi nya takut gk kebagian vaksin .....,Lampung,Januari
iwansunaryanto,2021-01-14 21:23:32+00:00,"@JSuryoP1 @KemenkesRI Terus bagaimana bagi masyarakat yang pernah terkena penyakit #Covid19 &amp; sudah sembuh yang berencana melakukan perjalanan menggunakan transportasi udara, laut &amp; darat (kereta api, mobil, dll), apakah ada ""sertifikat"" dan tidak perlu test PCR lagi? Mengingat Mereka tdk boleh vaksin",Sumatera Utara,Januari
aryatb,2021-02-09 09:07:23+00:00,"Liat kolom komentarnya, disaat negara lain sibuk soal vaksin, di Indonesia masih ngeributin soal lockdown atau ga. Pembela tenaga medis kelelahan vs rakyat kelaparan. https://t.co/IUxECl3uGi",Bali,Februari
