username,date,content,user_location,bulan
feliciayulita_,2021-07-08 09:27:31+00:00,Maju mundur tiap mau vaksin eh ngeliat story org pas disuntik dilengannye :'),Kalimantan Barat,Maret
RifanAryanto,2021-01-07 12:48:09+00:00,"@jokowi Saya mau jadi reseller Vaksin pakde, minim ambil berapa pck ? 🙌🙄",Kalimantan Selatan,Januari
fahmimyong98,2021-05-27 14:33:50+00:00,"@VeyWiniy Alhamdulillah sudah vaksin ke-2,ini saya masih nunggu panggilan 😊😊😊",Jawa Tengah,Mei
icatwps,2021-03-21 13:04:50+00:00,"Jadi, jika dapat jatah Kursi di BUMN atau jabatan, MUI akan bikin fatwa (bahwa vaksin tersebut) halal? Jika tidak dapat, tetap haram?

Ini demi kepentingan bersama/orang banyak masih bisa bertindak mengunci fatwa dan memanfaatkannya utk bargain position? 
 https://t.co/gR9COHy0uW https://t.co/9jhpPbxDEh",Sumatera Utara,Maret
anemqilah,2021-05-29 23:49:54+00:00,@arifaffendy Ho tu laa. Alhamdulillah semua family aku yg keno tu dh sembuh .. tggu masa utk vaksin jela tp kno vaksin 3-4 bln akan dtg sbb ore pernah positive kno cucuk after 3-4 months dari sembuh tu,Papua,Mei
atikdwitama1,2021-04-29 21:52:29+00:00,"Nelpon umiknya varo nanya2 karna warnet pada tutup, ditawarin di rumahnya tapi bisanya item putih. Muter222 Dahlah dapet di tukang foto, gapapa lah pikirku asal bisa vaksin. Sekalian nganter mbak ke atm beli paketan dkk, terus pulang, mapan tidur. 
Pikirku jam 4 berangkat kaya-",Kalimantan Tengah,April
Media_Selangor,2021-03-29 09:44:05+00:00,#AGENDA Bakal jemaah haji diberi keutamaan terima vaksin #Covid19 https://t.co/2mMWQ7TScY https://t.co/qN2SLHrbNG,Sulawesi Utara,Maret
tahuteg__,2021-04-27 06:02:28+00:00,@lunalikeamoon @FWBESS Itu pasti gara-gara habis Vaksin.,Kalimantan Selatan,April
ebulliencechu,2021-06-29 13:08:36+00:00,tempat gue vaksin jauh banget :',Jawa Tengah,Juni
pestakonvousim,2021-03-29 12:19:22+00:00,"🔥 Pastinya pelbagai AKTIVITI dan PROGRAM menarik menanti ANDA !

4 April 2021
📌Pusingan Akhir Debat

5 April 2021
📌Piloxing Class for Girls
📌Nocturnal Run 5.0

7 April 2021
📌Vaksin: Antara Realiti dan Konspirasi
📌E-Sport",Sulawesi Utara,Maret
Emely_Dyana,2021-05-25 16:47:16+00:00,"Waspada lonjakan gelombang kedua Covid-19 setelah lebaran. Tetap patuhi protokol kesehatan 5M dan vaksin.

Pancasila dan Negara https://t.co/WtBRBKq5z3",Kalimantan Utara,Januari
FebrianiFatma,2021-03-07 14:51:45+00:00,"Bagi org tua atau keluarga Anda yg termasuk Lansia Usia 60 atau lbh dapat vaksin gratis bisa daftar via Wa RS Murni Teguh
CP 08116206486",Sumatera Utara,Maret
monyetpensiun,2021-06-29 12:08:41+00:00,"@putyisic tentu syudah 2x dong, makanya bli bisa sharing apa rasanya di vaksin dan ngasi dorongan wat yang lain biar mw divaksin. dikasi microcheap billgate gratis kok gmw?!",Bali,Juni
salima252,2021-05-08 23:00:08+00:00,"KAP tempat bromus bkrja Jumat kemarin bagi2 SIKM ke karyawan2 agar ga dicegat ktika mudik

Ownerny bkn covididiot. Lah vaksin sj digratiskan buat karyawan &amp; kel

Mreka jg slama ini aware dg prokes, wfh boleh, masuk kantor jg boleh tp dibatasi, dg duduk brjarak &amp; jndela dibuka dst",Sumatera Barat,Mei
bellzia,2021-02-02 11:16:55+00:00,"Hari ini vaksin dosis kedua (booster), gak kerasa ngantuk seperti dosis pertama kemarin, dan gak pengel 🙂",Nusa Tenggara Barat,Februari
Andreebagaas,2021-01-14 17:13:42+00:00,"Aku ndamau di suntik vaksin, vaksin ku adlh dzikir",Jawa Tengah,Januari
whitehorsegroup,2021-03-29 11:09:25+00:00,"Seluruh driver &amp; crew White Horse Bali sudah mendapat vaksin Covid-19. 

Buat teman-teman yang hendak berwisata ke Bali, jadi makin yakin kan buat naik Bus White Horse?😊🙏🏻 https://t.co/N1kZ6bl5de",DKI Jakarta,Maret
anggiielukita,2021-05-24 09:34:58+00:00,"@julie_juliett27 @MrLLL21 @newsplatter Klo guru SMA/K ini bisa ditanya pendataannya dr disdik provinsi bgmn. Krn mereka kewenangan pemprov, jd mgkn kalo blm ada kepastian silahkan ditanya ke sana, penjadwalannya sprt apa. Harusnya sekolah sih yg koordinasikan. krn proses vaksin msh berjalan terus, smg bisa segera 🙏💪",Kalimantan Timur,Mei
dhido_blenk,2021-07-06 20:52:23+00:00,@alvn_blkh Lu mo vaksin baru Nd tdr 🤣,Nusa Tenggara Timur,Januari
Ziantozi,2021-01-08 12:36:53+00:00,"MUI: Vaksin Covid-19 dari Sinovac Suci dan Halal
 https://t.co/b6TjH97VgQ",Jambi,Januari
syaripova,2021-06-29 16:52:51+00:00,@medioclubID Warga plus62 dikon vaksin malah bahas konspirasi elit global. Wkwkwkw,Jawa Tengah,Juni
mahmudtakyan,2021-05-29 23:57:06+00:00,@iskandarsamad Kerajaan patut bagi vaksin yg terbaik kpd rakyat jika mampu atau bagi rakyat buat pilihan sendiri vaksin yg mereka mahu dgn dibayar sendiri. Tidak wajar dikawal soal kesihatan dan nyawa,Papua,Mei
Cahaya39710020,2021-06-11 05:32:14+00:00,Ayo vaksin gaeess biar lebih kuat imunnya https://t.co/ynrJogSpSr,Kalimantan Utara,Juni
niczous,2021-04-28 13:52:36+00:00,Peluang untuk dapat vaksin awal! 🥳 https://t.co/HyXQwDfk08,Aceh,April
SuryaPrase,2021-02-27 15:39:46+00:00,Udahlah nunggu giliran 43 juta buat vaksin..,DI Yogyakarta,Februari
mantegil1,2021-06-25 00:33:26+00:00,"Dari benda dengan vaksin covid 19
Damai Indonesiaku https://t.co/IQwSKeSsuC",Kepulauan Bangka Belitung,Mei
ayoPutri,2021-07-08 06:42:18+00:00,"Pertanyaan gw, Indonesia bagian mana yang sudah memperbolehkan vaksin usian dibawah 12y?!!!

Surat PCR lengkap, semua lengkap, anak punya KTA, terus tetap ngotot minta surat vaksin, sedangkan vaksin hanya baru boleh ke anak2 mulai dari 12y",Kalimantan Barat,Mei
FAISALKARIMSH1,2021-06-24 12:17:27+00:00,"Ayo VAKSIN
#cegahcovid19
#ayovaksin
#polresgorontalokota
#polsekkotatengah
#bhabinkamtibmasdulalowo https://t.co/CyACt11bMo",Gorontalo,Juni
AristoVidiarta,2021-01-13 04:49:48+00:00,Kok pas lg mulai vaksin gni saham farmasi anjlok semua sih wkakaak apa krna tangan dokter yg tremor jd pda ragu🤣🤣😅😅,Sumatera Selatan,Januari
biyan_yoga,2021-07-10 15:42:05+00:00,"@MindamRandom Jangan lupa jaga kesehatan selalu ya kak, istirahat yang cukup.. nanti hari Senin kami ikut vaksin Covid-19.. doakan saja semoga lancar ya dalam ikut vaksin Covid-19 nya,Amin..

@TGPRNM https://t.co/6d5fQiPt5J",Kalimantan Barat,Maret
MerakKskp,2021-05-28 03:27:02+00:00,"Indonesia kedatangan lagi vaksin Covid-19 tahap ke-13. Sebanyak 8 juta dosis vaksin Sinovac tiba di Bandara Soekarno-Hatta Banten Selasa pagi ini.

#3TCegahPandemi
Langkah Pemeriksaan Dini https://t.co/bXYVwmj0H3",Banten,Mei
Aditya___Angela,2021-07-07 15:21:24+00:00,"Klaster RS lagi naik2nya. Enggak, bukan karena ketularan dari pasien. Tapi karena......
makan bersama...
waktu dinas bareng....

Nice 🙂 
Mungkin maksudnya buat booster vaksin ya. Soalnya kan udah beberapa bulan lalu ya.",Nusa Tenggara Timur,Januari
aritsantoso,2021-05-24 08:57:36+00:00,"@newsplatter Sisa vaksin karena ada yang gagal (gak memenuhi syarat, ada yang gak datang)",DI Yogyakarta,Mei
Alamku_Alammu,2021-06-25 00:54:23+00:00,"Jubir Vaksin: Disiplin protokol kesehatan tetap harus dilakukan bersama vaksinasi

Damai Indonesia
https://t.co/9M8Uots8vV",Gorontalo,Juni
IndonesiaSehatt,2021-07-09 05:23:40+00:00,"Vaksin Covid-19 produksi Sinovac aman dan halal

#BersatuLawanCovid19
#NegeriPulihDenganVaksin https://t.co/tDWL2055WJ",Lampung,Mei
polsek_senggigi,2021-03-19 22:04:11+00:00,"Sudahkah anda di Vaksin ?
Vaksin : HALAL - AMAN - GRATIS

#divhumaspolri 
#humaspoldantb 
#humaspolreslobar https://t.co/Ul2s8cIt8R",Nusa Tenggara Barat,Maret
Suwarji88602676,2021-06-29 12:37:24+00:00,@jokowi Kapan giliran saya dapet undangan vaksin pak,Banten,Juni
ulliulli,2021-05-08 07:37:03+00:00,"Tadi pagi pas ditinggal pergi vaksin ni anak baik abail aja ketawa ketiwi.
Pas pulang badan anget dong 😭
Mesti gitu bilal tiap mau nambah umur demam 😭
Ibuu rungsing nak.",Jambi,Mei
SarwonoHugu,2021-07-10 06:21:34+00:00,"@eko_kuntadhi Yg bikin heran,Vaksin datang dari luar negri dikawal  ketat arak arakan TNI dan Polri,saat pengirian ke daerah jg sama seperti mengamankan kotak suara pemilu tp vaksin masa begitu disampai dan dan disimpan dibiarkan begitu saja gak ada yg yg jaga,sehingga bisa kebakaran,aneh",Lampung,Januari
OjoLsuroboyo27,2021-02-27 15:59:27+00:00,"@anindyastina @sbyfess yaa semisale pengen memastikan.
3 dino sebelom vaksin coba kordinasi sama nakesnya sing nyuntik..
bee iso dibantu liat jadi otg apa enggak..",Sulawesi Utara,Februari
lastbizz,2021-03-23 05:41:06+00:00,"Orang- orang pada vaksin covid, cuma w vaksin rabies.",DI Yogyakarta,Maret
Budi50830998,2021-06-08 07:21:41+00:00,"Alasan belum mengumumkan mekanisme jamaah haji tahun ini, karena kelangkaan vaksin Covid-19. Dana Haji Terjamin https://t.co/dCUcDfPXAB",Kalimantan Utara,April
Emayant63176260,2021-06-25 00:11:06+00:00,Hindari denda dengan mengikuti vaksinasi covid-19. sebab vaksin tersebut sudah halal dan aman.Damai Indonesiaku https://t.co/a0ZDEnvzLq,Kepulauan Bangka Belitung,Juni
fvckdarulez,2021-01-18 15:32:16+00:00,"@popoury @Agus_sinyo1 @txtdrpemerintah Gak gitu kak, raffi ini salah satu public figur yg ditunjuk pemerintah untuk di vaksin pertama tujuannya ya supaya masyarakat gak takut di vaksin karna artis aja mau di vaksin gitu. Tp doi blunder pas di acara karna gak ngikutin prokes kan doi dibayar untuk kampanye prokes",Bali,Januari
beritapapua_co,2021-07-04 07:20:14+00:00,"Ratusan Warga Vaksin Serbu Puskesmas Fakfak Utara - #Kesehatan 
https://t.co/bk7SjAaW2m https://t.co/Mou4xWHiSE",Papua,April
hawasurya,2021-06-28 05:50:06+00:00,@susan_dududz Aku juga gitu lemes hbs vaksin langsung tak minumin sanmol hhahaha,Kalimantan Selatan,Juni
