,username,date,content,user_location,bulan
0,Korem072Pmk,2021-01-29 11:21:12+00:00,"Jangan lengah meskipun sudah ada Vaksin COVID-19 tetap patuhi 5 M : Memakai Masker, Mencuci Tangan, Menjaga Jarak, Menghindari Kerumunan, Mengurangi Mobilitas https://t.co/Cnfyeyv74l",DI Yogyakarta,Januari
1,Innosensius_,2021-01-29 10:43:07+00:00,@waz_faw Udah vaksin semua padahal. Gatau kenapa. Cek wa coba,DI Yogyakarta,Januari
2,AnisahZulfah,2021-01-29 10:21:43+00:00,"Setelah telat sembilan belas hari dan di vaksin, haid juga. Vaksin kayanya emang mempercepat peluruhan darah di rahim ya",DI Yogyakarta,Januari
3,dhewanggaaaa,2021-01-29 06:15:30+00:00,@slwnada vaksin ternyata dua kali ya? selang 14 hari,DI Yogyakarta,Januari
4,DSoehardijarko,2021-01-29 02:58:27+00:00,"BaBe 1 on 1: Strategi Kampanye Vaksin, Raffi Ahmad, dan Budaya Influencer

Halo pembaca BaBe!
Pengamat Sosial dar... https://t.co/ueVkM6skZK",DI Yogyakarta,Januari
5,pitariyus,2021-01-29 02:49:34+00:00,@CurhatanIbunda Bun sdh vaksin dan donor darah? Ngapo donooor darah?,DI Yogyakarta,Januari
6,Devii_Puspiitaa,2021-01-28 10:25:19+00:00,Vaksin tahap 1 sudaaaaah🥳🥳,DI Yogyakarta,Januari
7,Suharji08746801,2021-01-28 09:35:27+00:00,@ganjarpranowo Rasanya sama ngak pakgub sama suntik vaksin yang pertama?,DI Yogyakarta,Januari
8,wahyuth14,2021-01-28 09:22:46+00:00,@nissaniiso Jos pren post vaksin km tmbah cemerlang tnyta,DI Yogyakarta,Januari
9,familiani_,2021-01-28 07:12:41+00:00,Sukseskan vaksin covid-19 💉 https://t.co/HrT1eGeJF0,DI Yogyakarta,Januari
10,kukhuh,2021-01-28 04:52:06+00:00,"@abangun25 Vaksin campak tapi ra efektif vaksin.e ,dicampakkan terus ki 😂",DI Yogyakarta,Januari
11,linaisfrkn,2021-01-28 02:02:34+00:00,"Deg2 an dah setengah mati, ternyata ngga krasa apa2 alhamdulillah wkwkw baru vaksin ke-1 ngga telat yekan😂",DI Yogyakarta,Januari
12,stevanmpurnama,2021-01-27 23:24:41+00:00,"Omg, vaksin is getting real",DI Yogyakarta,Januari
13,BethesdaJogja,2021-01-27 15:11:10+00:00,"FAKTA VAKSIN COVID 19. Jangan Cuma “Katanya” – Bethesda Talk Show Ep. 32
.
Simak video selengkapnya di channel youtube Rumah Sakit Bethesda
https://t.co/LxiW4Qek7B

TALK BTS (Tanya Aja Langsung Ke BETHESDA TALK SHOW) #32 https://t.co/X6wBTgPtEc",DI Yogyakarta,Januari
14,olviariyani,2021-01-27 10:53:46+00:00,Baiklaj kejawab sudah bumil gak dapet jatah vaksin 😐 https://t.co/5qCf3EDAEL,DI Yogyakarta,Januari
15,damaringKW,2021-01-27 08:48:14+00:00,Vaksin mania mantap https://t.co/gox7Rjwiqa,DI Yogyakarta,Januari
16,YAP_1972,2021-01-27 05:01:26+00:00,Presiden @jokowi melakukan vaksin untuk dosis yang kedua hari ini,DI Yogyakarta,Januari
17,Sandikuyyy,2021-01-27 04:22:23+00:00,"Suku baduy raono tenaga kesehatan, raono vaksin, raono masker, raono hand sanitizer dan 0 angka positif COVID-19 😁👍 https://t.co/6RZNuotcdr",DI Yogyakarta,Januari
18,adirahmanOG,2021-01-27 02:19:00+00:00,"Pagi2 tadi sudah di swab sama dr @dwierike SpTHT via #drivethru @rumahsakitjih, walopun sudah vaksin (baru yang pertama lho), skrining rutin #covid19 tetap perlu. Jangan lupa juga selalu patuhi protokol kesehatan ya. https://t.co/ppYkpyI4mh",DI Yogyakarta,Januari
19,DanangHersa,2021-01-27 00:10:19+00:00,"bisa bayangin, habis di #vaksin trs kita mendadak kaya.",DI Yogyakarta,Januari
20,lukas_milen,2021-01-26 13:38:02+00:00,Lupakan.... Memaafkan Pernah #quotes #PercepatPemulihanBangsa Vaksin Lancar Rakyat Kuat sekolah pemerintah #quotes #quoteoftheday #quotesgalau #quotesgalau https://t.co/1qHbHWITVh,DI Yogyakarta,Januari
21,iniLinaaaa,2021-01-26 12:29:37+00:00,"besok jadwal vaksin, tapi jadwal swab juga. pending dulu yaa vaksinnya 🤭",DI Yogyakarta,Januari
22,innuuung,2021-01-26 10:49:16+00:00,Perkara jadwal vaksin aja sampe begitu buk 🙃,DI Yogyakarta,Januari
23,DanyTBOX,2021-01-26 10:00:14+00:00,"Vaksin disaat haus hehhe... 🥤🥤😇
Caramello Boba Junior ( Large ) dari Boba Junior, Taman Siswa di GoFood. https://t.co/LM6AU9iYoO
#HoaxVaksin https://t.co/RB8MxGTi8K",DI Yogyakarta,Januari
24,sunnysun___,2021-01-25 23:21:44+00:00,"hohoo pemerintah suruh stop berita hoax ttg vaksin eh sekelas jurnalis cnn malah bikin headline kek gini, kalo emg visinya biar org pada kepo trs di klik di baca ya itu salah wkw back to minat baca org indo kek gmn, yg ada di capture di share di grup watsap wkw, canda watsap",DI Yogyakarta,Januari
25,sunnysun___,2021-01-25 23:17:05+00:00,"kalo jurnalis bikin headline gini trs ga heran kalo berita negatif ttg vaksin dmn2. however ini tu asli berita meresahkan, jelas2 kronologi meninggalnya ga krn vaksin trs knp yg di headline harus gt, emm. ga kebayang kalo berita ini di capture di share cuma dari headlinenya doang https://t.co/FTVhv9kW5V",DI Yogyakarta,Januari
26,arifnur,2021-01-25 13:04:26+00:00,Monggo dicermati ya. Untuk kemantapan terima vaksin Covid-19 https://t.co/8fzxBwhjgk,DI Yogyakarta,Januari
27,darmas_8,2021-01-25 12:02:39+00:00,intinya harus vaksin 2x https://t.co/zmeoEmDbZr,DI Yogyakarta,Januari
28,innuuung,2021-01-25 10:49:12+00:00,"@nurulqodariy @maknunah_tia Okayy aku udh dpt pencerahan jg td, berhubung tempat kerjaku bukan fasyankes jd melipir ke faskes deket kantor, tp blm vaksin sih 😅",DI Yogyakarta,Januari
29,POLSEK_JTJOGJA,2021-01-25 09:46:29+00:00,"Sambang UPT Puskesmas Jetis Kota Yogyakarta. Personel Patroli Polsek Jetis Polresta Yogyakarta koordinasi terkait pelaksanaan Vaksin. Senin (25/01/2021).
.
#polresjogja #polsekjetisjogja
https://t.co/MVPurhbbJp https://t.co/bEwCPPmLal",DI Yogyakarta,Januari
30,slanoenk,2021-01-25 09:16:25+00:00,"Saat negara lain kesulitan dpt vaksin buat rakyatnya.Malah ada terjadi disebuah negara yg sebagian kecil rakyatnya ribut gak mw divaksin.
Pdhal gratis pula.Kan konyol!!

https://t.co/AAnHfbzjrz",DI Yogyakarta,Januari
31,adam_godamm,2021-01-25 08:21:54+00:00,"@aprisulistiyant Jangan lupa vaksin, pakai masker &amp; jauhi krumunan",DI Yogyakarta,Januari
32,slanoenk,2021-01-25 08:13:59+00:00,"Saat negara lain kesulitan dpt vaksin buat rakyatnya.Malah ada terjadi disebuah negara yg sebagian kecil rakyatnya ribut gak mw divaksin.
Pdhal gratis pula.Kan konyol!!

https://t.co/AAnHfbzjrz",DI Yogyakarta,Januari
33,PujaKus11405675,2021-01-25 05:52:24+00:00,"Kapolsek Nguntorodi AKP Aman Margono SH bersama Forkopincam Kec Nguntorodi memberikan simbolis Vaksin Covid 19 kepada tenaga kesehatan puskesmas Nguntoronadi 1 dan Puskesmas Nguntoronadi 2,Senin (25/01/2021). https://t.co/kwKdYr8xft",DI Yogyakarta,Januari
34,TogogNdugal,2021-01-25 05:31:50+00:00,"@Salimbado9 @50k Vaksinasi jdi jalan utk mmperbaiki Indonesia dr kterpurukan, vaksinasi mnambah imun tubuh utk mghindari Covid19. Jgn gengsi, jgn termakan HOAX..lkukan vaksinasi utk jaga diri, keluarga &amp; sesama. Kita hrs kuat utk memperbaiki keadaan &amp; mmbangun Indonesia
VAKSIN LANCAR RAKYAT KUAT",DI Yogyakarta,Januari
35,bakoelrotimanis,2021-01-25 02:18:39+00:00,@Harian_Jogja Vaksin real apa placebo,DI Yogyakarta,Januari
36,lutfiayuaa,2021-01-24 15:30:13+00:00,@aan__ bener banget 2 hari ngantukan terus. bukan cuma aku yang berefek ngantuk setelah vaksin @AnggaKurnianta,DI Yogyakarta,Januari
37,GandhiSoeryo,2021-01-24 10:49:57+00:00,"Tiwas rela di vaksin biar bisa konser² lagi, jebul mah ra melbu list..",DI Yogyakarta,Januari
38,ivanpw,2021-01-24 09:37:46+00:00,Semalam mimpi disuntik vaksin artinya apaan ya gaes? 🤔,DI Yogyakarta,Januari
39,nenirossanti,2021-01-24 00:27:09+00:00,"@RoniSulaeman4 @LisaAmartatara3 Iqro' paaak..iqro' perbyk literasi soal vaksin, itu bagian dr pengetahuan  umum &amp; pelajaran di SMA pak. Klo yg gk pernah sklh ya tinggal siapin aja kuota 😊🙃😊🙃😊 https://t.co/tpHS5mQHjs",DI Yogyakarta,Januari
40,itunovan,2021-01-23 17:08:26+00:00,"Bagaimana jika ternyta, vaksin nya isinya adalah jas jus..",DI Yogyakarta,Januari
41,SBudiex,2021-01-23 06:47:27+00:00,Besok nek sakdrng e di sontik vaksin ki di rapid sek.. Lah.... 🙈 https://t.co/yIL51z3HiQ,DI Yogyakarta,Januari
42,arifnur,2021-01-23 05:51:29+00:00,Ketimpangan akan sangat kelihatan kalau ada vaksin gratis dan vaksin berbayar Pak Wapres. Semoga bisa bersabar dulu sampai vaksin gratisnya selesai dan dapat semua. https://t.co/LNqchajCbf,DI Yogyakarta,Januari
43,arifnur,2021-01-23 04:15:03+00:00,"@martinmanurung Vaksin yg bisa masuk ke Indonesia harus hanya utk menyelesaikan janji presiden dulu, vaksinasi gratis. Janji tuntas baru buka pasar.",DI Yogyakarta,Januari
44,rachajulian_,2021-01-23 01:59:00+00:00,@kholiqard_ vaksin kelas igov,DI Yogyakarta,Januari
45,nenirossanti,2021-01-23 00:35:00+00:00,"@ImasSapto @LisaAmartatara3 Naah yg gini niih pointnya, see..? Terbukti kan..? Baca dulu isi beritanya buuuk..bpk tsb positif bkn gegara vaksin..baik pnulisan mopun pengucapannya VAKSIN y buuuk..hadeuh cara brpikir kok gk sesuai profile si ibuk..sorry to remind : think b4 act 😊",DI Yogyakarta,Januari
46,DSoehardijarko,2021-01-22 21:41:28+00:00,"BUPATI SLEMAN POSITIF COVID-19, KEBETULAN SETELAH SEHARI DI VAKSIN SINOVAK.
DISINYALIR TERTULAR DARI SALAH SATU KEPALA DINAS NYA
#syafakallah 
#semogalekasdiberikesembuhan 
#bupati #Sleman 
@setya_khaini_s_nur
@jogja24jam
https://t.co/BP7vqsIGUa",DI Yogyakarta,Januari
47,krisna17revolt,2021-01-22 07:41:43+00:00,"Fakta Pandemi:
1. Nakes gagal vaksin 15%: kormobid 4% darah tinggi 11%
2. Faskes luar jawa vaksinasi bisa makan waktu 8 tahun
3. Data kemenkes gak reliable akhirnya pake data KPU.
 
Tanpa doronganpun kontradiksi akan datang sendiri, jalan pandemi ini turunan curam Bung... 🤡🔥 https://t.co/jEmqRleD3R",DI Yogyakarta,Januari
48,apriliawindaaa,2021-01-22 07:24:25+00:00,"sialan mimpi dikejar satgas covid mau disuntik vaksin dan lalu berlari berputar putar sambil menangis, hiks",DI Yogyakarta,Januari
49,UGMYogyakarta,2021-01-22 06:07:32+00:00,Memahami Pentingnya Vaksin Covid-19 https://t.co/4GNZUXYqFA https://t.co/AeCp1IxM3U,DI Yogyakarta,Januari
0,SuryaPrase,2021-02-27 15:39:46+00:00,Udahlah nunggu giliran 43 juta buat vaksin..,DI Yogyakarta,Februari
1,yonsetiahadi,2021-02-27 13:21:01+00:00,@Oseng2Plenthong Rung tau di vaksin smadav po koe,DI Yogyakarta,Februari
2,JogjaUpdate,2021-02-27 13:09:44+00:00,Loading vaksin di Vredeburg https://t.co/LrUtoIwrgE,DI Yogyakarta,Februari
3,ardiankusuma,2021-02-27 02:46:12+00:00,2 rs + 1 puskesmas masih vaksin nakes dulu. Udah punya tiket aja masih antri loh.,DI Yogyakarta,Februari
4,Sholikinsoccerr,2021-02-26 12:39:42+00:00,Disini ada yang pernah disuntik vaksin?,DI Yogyakarta,Februari
5,OMPONG_LH,2021-02-26 09:48:25+00:00,Paling kurang vaksin https://t.co/rwCDrzvKD1,DI Yogyakarta,Februari
6,razif27,2021-02-26 08:55:01+00:00,"wow keluarganya pun dpt privilege.
keluarga nakes pada dpt jatah vaksin gak ya? 🤔
kalo dprnya sj sy isokey, kalo sm keluarganya kok... kesannya jd privileged af us

our beloved govt indeed. https://t.co/xDjQ95kbsF",DI Yogyakarta,Februari
7,mamadudut,2021-02-26 08:30:34+00:00,"Habis di vaksin senengnya bukan maen,update status teroooss..lupa sama maki2nya ke pemerintah dg segala sumpah serapahnya😝😂😂😂 salah temen gaol doank anda itu🤣🤣🤣🤣",DI Yogyakarta,Februari
