,username,date,content,user_location,bulan
0,rapriprup,2021-01-29 20:50:03+00:00,Abis itu suntik vaksin 🤣 https://t.co/X8z10hp18n,DKI Jakarta,Januari
1,NKRISAMPAIMATI,2021-01-29 18:31:01+00:00,"@AhYanuar @masgung1973 @122_pratama @TirtoID @jokowi Pak anda pakai kata ""Indon"" apa maksudnya? Anda orang Malaysia kah? Kalau anda Malaysia apakah anda iri dengan kami, sebab Pemerintah China lebih pilih Indonesia kasih vaksin drpd ke Malaysia. Mentri2 dan Diplomat negara anda kurang gesit.",DKI Jakarta,Januari
2,Martabak_teloor,2021-01-29 17:08:47+00:00,"@kochenglokallll Selama makanan nya, gak makan sembarangan.. Dan di vaksin sih, okay ajaaa",DKI Jakarta,Januari
3,NKRISAMPAIMATI,2021-01-29 15:37:56+00:00,"@Ignora19 @Uhuy33829352 @underp8adjunct @masgung1973 @TirtoID @jokowi Maksudnya apa sih? Turki membatasi masyarakatnya tapi tidak ada lockdown juga tetap bisa masuk turis2nya. Pemerintah Turki mengharapkan kedisiplinan warganya. Patroli polisi dimana2. Ekonomi tetap harus berputar, kalo tdk maka akan resesi. Vaksin di Turki juga sama Sinovac.",DKI Jakarta,Januari
4,riskaoktav69,2021-01-29 15:05:38+00:00,"Estimasi Biaya Yang dibutuhkan BAMBI : 
-Konsultsi+Suntik+Obat 100K
-Steril 400K(PROMO) 
-Vaksin F4 &amp; Rabies 260K

untuk vaksin nanti akan di lakukan setelah kondisi bambi bener bener pulih dulu dari SCABIES nya. fokus sembuhin scabies parah yg ada di kepala bambi.",DKI Jakarta,Januari
5,dokterimun_id,2021-01-29 14:53:28+00:00,"Jelas konsep vaksin satu dosis tidak sebaik vaksin dua dosis ya. Data awal efikasi vaksin Johnson &amp; Johnson hanya tunjukkan perlindungan 66% untuk kasus moderate severe, bandingkan 78% efikasi sinovac untuk mild-severe. https://t.co/ssiWFpRKpS #ayovaksin #sinovacaja",DKI Jakarta,Januari
6,odhonodhon,2021-01-29 12:09:00+00:00,"@dirgarambe sama nih dok, saya jg vaksin yg ke2 hari ini 👌🏻 https://t.co/xI1KpBaIwb",DKI Jakarta,Januari
7,dokterimun_id,2021-01-29 10:59:57+00:00,"Enam jam pasca vaksin, selesai praktek dan rapat KIPI Dinkes Banten... Saat ini mulai ada rasa pegel2 sedikit, nampaknya sudah mulai bereaksi imunnya. Tidak ada gejala alergi 😁 #ayovaksin https://t.co/Sa7NZSkNuK",DKI Jakarta,Januari
8,huahuuaaahaaa,2021-01-29 10:24:06+00:00,"@danny_APP @FathurIrham kemaren sedikit berspekulasi juga karna sentimen vaksin presiden bagus banget, ternyata kena prank 🤣",DKI Jakarta,Januari
9,Ramdhamu_rizki,2021-01-29 07:56:26+00:00,Influencer mah bebas mau vaksin dimana aja kapan saja terserah 👌🏻 https://t.co/HvDPmG8wit,DKI Jakarta,Januari
10,dokterimun_id,2021-01-29 07:04:52+00:00,"Update 2 jam pasca vaksin, lanjut praktek plus rapat KIPI Dinkes Banten, so far tidak ngantuk, tidak lapar (mgkn krn sudah sarapan gado2 hehehe), tidak alergi, tidak nyeri badan, nyeri lokasi vaksin membaik... #ayovaksin https://t.co/Ekgm37r2mY",DKI Jakarta,Januari
