,username,date,content,user_location,bulan
0,dainanty,2021-07-10 14:32:09+00:00,@Ulvatus1 Iya mahal bgt vaksin Al Andin 😞,Gorontalo,Januari
1,dainanty,2021-07-10 14:27:55+00:00,Stelah iklan lngsng pagi dong 😂😂 kapan vaksin buat micin 😞gw buruh asupan gizi woy.. buat naikin imun tubuh ..#IkatanCintaEp352,Gorontalo,Januari
2,ReadIndo,2021-07-10 08:46:25+00:00,"Disiapkan Jadi Vaksin Ketiga, Ketua DPD RI Minta Pemerintah Pastikan Efektivitas Moderna https://t.co/F7bzvSK298",Gorontalo,Januari
3,andinipakaya,2021-07-10 02:19:28+00:00,"Ini Dua Jenis Vaksin yang Diklaim Efektif Cegah Mutasi Virus Corona India 
Yuk Disiplin PPKM 
https://t.co/zGWdon453B",Gorontalo,Januari
4,andinipakaya,2021-07-10 02:19:27+00:00,"Vaksin Moderna Sangat Efektif Cegah Covid-19 pada Remaja
https://t.co/Y0Iqg4xCUw
 Yuk Disiplin PPKM https://t.co/rtDRQ1aPMG",Gorontalo,Januari
5,andinipakaya,2021-07-10 02:19:25+00:00,"Vaksin Novavax Buatan AS Klaim 93% Efektif Cegah Covid-19
Yuk Disiplin PPKM 
https://t.co/9uDwbyQ8FP https://t.co/J7HT58DGjr",Gorontalo,Januari
6,andinipakaya,2021-07-10 02:19:23+00:00,"94 Persen Vaksin Pfizer Efektif Cegah Infeksi Covid-19 Tanpa Gejala
https://t.co/0cnctfW74k
 Yuk Disiplin PPKM https://t.co/g5KENjr1gC",Gorontalo,Januari
7,kev_under,2021-07-10 00:10:01+00:00,"Ini Dua Jenis Vaksin yang Diklaim Efektif Cegah Mutasi Virus Corona India

Yuk Disiplin PPKM 
https://t.co/IV1CdR9IDr",Gorontalo,Januari
8,kev_under,2021-07-10 00:10:00+00:00,"Vaksin Moderna Sangat Efektif Cegah Covid-19 pada Remaja

Yuk Disiplin PPKM 
https://t.co/aTRxvHl37k",Gorontalo,Januari
9,kev_under,2021-07-10 00:10:00+00:00,"Vaksin Novavax Buatan AS Klaim 93% Efektif Cegah Covid-19

Yuk Disiplin PPKM 
https://t.co/H74j2fK1iY",Gorontalo,Januari
10,kev_under,2021-07-10 00:09:59+00:00,"94 Persen Vaksin Pfizer Efektif Cegah Infeksi Covid-19 Tanpa Gejala

Yuk Disiplin PPKM 
https://t.co/wtqYSKdcHL",Gorontalo,Januari
11,YusufMhib,2021-07-09 03:52:48+00:00,"Fyi.
Jeda waktu antara Vaksin dan mau donor darah adalah 1 bulan. 
(Ibu dokter Tilango dan Ses Tilango quote)",Gorontalo,Januari
12,FritsSugianto,2021-07-09 01:54:43+00:00,"Proud of you all..

And Finally. Today..
W di Vaksin😳
Bismillah. https://t.co/b06sTlFedH",Gorontalo,Januari
13,ProsesnewsID,2021-07-08 17:22:36+00:00,"Aldy pun mengajak kepada seluruh elemen Mahasiswa untuk melakukan vaksinasi dan lebih memberikan edukasi serta meluruskan informasi salah yang di terima masyarakat.
#ProsesnewsID #Vaksin #BemNusantara https://t.co/GWe8JO15Sk",Gorontalo,Januari
14,eparamata,2021-07-08 13:40:34+00:00,"@engkauu_ @nocannocin @peachyslen Saya vaksin hari Selasa, belum dapat SMS, malamnya pas login https://t.co/uo5EbNf7iq, sertifikatnya udah bisa di download.

Coba cek di situsnya, login pakai nomer HP yg didaftarkan.",Gorontalo,Januari
15,rachmadhj,2021-07-08 08:31:53+00:00,"Yang mau vaksin di Gorontalo, gih ini ada Gerai Vaksin dari @humaspoldagtlo. Se-Provinsi sampe Polres ada. Mo alasan apa lagi nou deng uti? https://t.co/5f3bLrmqQn",Gorontalo,Januari
16,kpuprovgtlo,2021-07-08 08:11:52+00:00,"Masyarakat tidak perlu takut dan ragu dengan vaksinasi Covid-19 karena vaksin sudah terjamin aman, halal, dan berkualitas.

Follow @DinkesGtloProv dan @humaspoldagtlo untuk informasi lebih lanjut.

#KPULawanCovid19
#SukseskanVaksinasiNasional
#KPUProvinsiGorontalo
#KPUmelayani",Gorontalo,Januari
17,kpuprovgtlo,2021-07-08 08:11:51+00:00,"Dulolo Ito Mo Vaksin!
Berikut informasi Gerai Vaksin Presisi Polda Gorontalo untuk #TemanPemilih yang berada di Provinsi Gorontalo. https://t.co/7J990kNFR9",Gorontalo,Januari
18,ProsesnewsID,2021-07-08 08:09:42+00:00,"Menteri Johnny mengapresiasi inisiatif Unika Atma Jaya untuk mendukung Program Vaksinasi Covid-19. Menurutnya saat ini sudah ada sekitar 13,3 juta vaksin dosis pertama yang diberikan kepada masyarakat.
#ProsesnewsID
#Nasional
#Menkominfo
#Vaksinasi https://t.co/skENktbGKZ",Gorontalo,Januari
19,MimieGoi,2021-07-07 02:27:25+00:00,"Dear @PLindungi .. saya sdh #VaksinasiCovid19  ke dua tgl 24 Mei 2021, sertifikat vaksinnya juga udah ada, tapi koq di aplikasi #pedulilindungi  tercatat vaksin pertama saja? Gimana ngapdetnya ya",Gorontalo,Januari
20,eparamata,2021-07-06 02:04:19+00:00,"Ibu yg mara-mara tadi akhirnya dipanggil.

Bapack-bapack disamping: ""Udah marah² dan pas diukur tensi ternyata tinggi, percuma. Gak jadi vaksin. HAHAHA"" *maskernya masih gantung di leher*

Me: https://t.co/CSFHHdymhk",Gorontalo,Januari
21,eparamata,2021-07-06 01:29:28+00:00,Lagi di Puskesmas buat Vaksin. https://t.co/xynVjgpLHT,Gorontalo,Januari
22,xfdila,2021-07-05 14:04:58+00:00,"@stanmenfess pokoknya yg mau vaksin harus konsul dulu ya ada beberapa yg punya riwayat penyakit tertentu yg belom boleh vaksin, seperti riwayat penyakit jantung, asma, autoimun, kelainan darah, dsb",Gorontalo,Januari
23,AnoleRizki,2021-07-05 13:27:00+00:00,Vaksin dlu. Patuhi Aturan PPKM https://t.co/26vophcnAT,Gorontalo,Januari
24,ProsesnewsID,2021-07-05 12:46:38+00:00,Masuk Keluar Gorontalo Harus Punya Kartu Vaksin.... https://t.co/yycOWM3aXp,Gorontalo,Januari
25,iamfaisss,2021-07-05 10:34:05+00:00,"katanya pakai masker, jaga jarak, jauhi kerumunan trus yg antri vaksin smpe brdesakan itu gmna si ajggg.",Gorontalo,Januari
26,Octa_Husain,2021-07-05 08:51:54+00:00,"Manfaat dr vaksin Corona itu apa?! jika masih ada yg positif Corona.. Petugas Bandara Djalalludin Prov. Gorontalo byk yg positif Corona yg hampir semua petugas itu sudah selesai di vaksin Corona tahap II, dan Jeda waktu antara selesai vaksin dan positif Corona tdk terlalu jauh..",Gorontalo,Januari
27,Humaspolreskota,2021-07-05 03:56:51+00:00,"Lebih baik di rumah saja karena Covid-19 masih merajalela. Walaupun sudah vaksin tetap patuhi protokol kesehatan.
#PPKMdanTetapVaksinasi
Sosialisasi Edukasi Masyarakat https://t.co/HeqBy1BqTN",Gorontalo,Januari
28,YusufMhib,2021-07-05 03:07:37+00:00,"Biar tdk mo ta vaksin sok² jadi penganut konspirasi padahal dp asli hanya tako jarum.
Hmmm, lombo ngana.",Gorontalo,Januari
29,H4san1pu93,2021-07-05 01:10:01+00:00,"seluruh peserta PON harus menunjukan sertifikat vaksin
PPKM Pulihkan Bangsa https://t.co/0ounA9Gpxy",Gorontalo,Januari
30,ZahrilD,2021-07-05 00:39:19+00:00,Seluruh peserta PON harus menunjukkan sertifikat vaksin. PPKM pulihkan bangsa https://t.co/GtAvemqMq7,Gorontalo,Januari
31,Dihumss,2021-07-04 12:30:37+00:00,Mitsuki adalah vaksin #BORUTO #Boruto206,Gorontalo,Januari
32,RenoVasi17,2021-07-04 03:21:29+00:00,"Seluruh peserta PON harus menunjukkan sertifikat vaksin

PPKM Langkah Tepat https://t.co/ksb4N13w7D",Gorontalo,Januari
33,alwikaku,2021-07-03 21:53:26+00:00,"""Di Vaksin atau tidak, rasa rinduku padamu tak akan pernah bisa mati""",Gorontalo,Januari
34,nama2buah,2021-07-03 07:05:01+00:00,@ummufat1 Singanya mungkin abis di vaksin😭😭,Gorontalo,Januari
35,mirahmajidi,2021-07-03 02:50:55+00:00,"kok tanggung amat jumlahnya, utk genap 1 jt kurang 1600, masa iya Jepang ngasih vaksin itungannya gak lengkap. Aneh @KemenkesRI @jokowi https://t.co/0ko21Rjxz2",Gorontalo,Januari
