,username,date,content,user_location,bulan
0,alifameilina,2021-01-17 10:38:36+00:00,"🧕🏻: yank, dk ikut2an posting foto siap vaksin?
🧔🏻: Emg kalo posting foto siap vaksin terus lgsung dpt vaksinnya? Msh lama lg giliran kita ni
🧕🏻: Ohh iy iy 🤣🤣🤣",Jambi,Januari
1,suhariadi30,2021-01-17 09:51:34+00:00,@dr_koko28 @fadlizon Emang vaksin obat paling mujarab,Jambi,Januari
2,zuluCarnine,2021-01-13 13:31:17+00:00,Vaksin 😀😀😀 #RaffiAhmad https://t.co/PJU2zzD11z,Jambi,Januari
3,MMUFID_jkmn,2021-01-13 12:39:17+00:00,"@polda_jambi Alhamdulillah.

Dengan ada-nya vaksin yg sudah ada mari bersama-sama dan bersiap diri untuk menerima vaksin serta mengikuti anjuran dari pemerintah.
vaksin ini baik untuk kesehatan untuk kedepannya dan vaksin ini di sesuwaikan dari yg akan menerima vaksin sesuai keadaan penerima.",Jambi,Januari
4,srikandi_Jkwi,2021-01-09 08:41:25+00:00,Negara lain sibuk berebut vaksin... Indonesia sibuk cari Babi di dalam Vaksin...😡😡😡😡😡😡😡😡😡😡😡😡😡,Jambi,Januari
5,suhariadi30,2021-01-08 12:55:16+00:00,"@Metro_TV Kalau tak mau divaksin ada sanksinya yaa, katanya kalau sdh divaksin tdk berarti bebas dari covid 19 kalau bgitu apa gunanya vaksin",Jambi,Januari
6,Ziantozi,2021-01-08 12:36:53+00:00,"MUI: Vaksin Covid-19 dari Sinovac Suci dan Halal
 https://t.co/b6TjH97VgQ",Jambi,Januari
7,suhariadi30,2021-01-08 12:35:56+00:00,"Kalau dak mau di vaksin gimana ada sanksinya yaa , katanya kalau ssh divaksin bukan berarti bebas covid 19 kalau bgitu utk apa vaksin",Jambi,Januari
8,Ziantozi,2021-01-08 03:57:43+00:00,"Yang tidak mau di vaksin ya silahkan, monggo. Mungkin mereka tau cara2 menangkis serangan tentara Allah.

https://t.co/tpDTkijlQO",Jambi,Januari
9,mayzainkoko,2021-01-01 08:29:54+00:00,Vaksin oh vaksin... https://t.co/JiX4EqGcvy,Jambi,Januari
10,florieliciouss,2021-01-01 03:48:21+00:00,"Apakah kamu penerima vaksin tahap pertama? Cek NIK kamu di: https://t.co/sx4pqCA1gq . 
Yg sebelah kanan hasil pencarian keponakanku yg apoteker di salah satu Puskesmas. https://t.co/phrNd1JbYC",Jambi,Januari
0,KejatiJambi,2021-02-25 17:29:06+00:00,"(25/02/2021) Wakajati Jambi Dr. Hermon Dekristo, SH. MH. bersama para Asisten menerima suntik vaksin dosis kedua. https://t.co/7BloCbSxQX",Jambi,Februari
1,atiekaully,2021-02-16 16:01:15+00:00,"@ferdiriva Dok klo misal ny jdwal vaksin ud lewat (krn gatauuuu ada jdwal vaksin baruu , awal mula blm terdftr mkny ga pernah cek jdwal lg) eh tranyta ud lewat 2 mgguan.msh bs susulan ga ya ?",Jambi,Februari
2,WildaSeptianii,2021-02-05 09:07:04+00:00,"Sebenarnya ini sudah jadwal vaksin gelombang ke 2 untuk nakes, tapi i nya baru mau vaksin yg 1 dasarr yaa 😅😂 https://t.co/95PilQBKpK",Jambi,Februari
3,KejatiJambi,2021-02-04 19:00:59+00:00,"baik dicina dan di indonesia yang kebetulan ridwan kamil juga sudah rela disuntik duluan sebelum untuk masyarakat luas sehingga dipastikan vaksin itu mmg aman.

Kajati ingatkan seluruh OPD pada Pemkab Merangin agar tidak lagi korupsi. dalam sambutannya kajati menyampaikan",Jambi,Februari
4,KejatiJambi,2021-02-04 19:00:58+00:00,"(29/01/2021) Kajati Jambi Dr. Johanis Tanak, SH. MH. ajak ikuti anjuran pemerintah suntik vaksin anti covid-19 karena pemerintah tidak akan membunuh rakyatnya karena syarat suatu negara ada wilayah dan rakyatnya, https://t.co/RG8bNJU4Dy",Jambi,Februari
0,KejatiJambi,2021-03-18 07:39:18+00:00,"Vaksinasi Tahap Kedua di lingkungan Kantor Kejaksaan Tinggi Jambi.
Selesai Vaksin lebih percaya diri melayani masyarakat pencari keadilan.
.
#KejaksaanRI #terusbergerakdanberkarya #JaksaProfesional #jaksaagungri #KejatiJambi https://t.co/Zb16byXhMo",Jambi,Maret
1,recehanrezim,2021-03-14 06:33:31+00:00,@Catatan_ali7 Lah gimana ada alkisah habis vaksin malah positif covid?,Jambi,Maret
2,deviyuliawati,2021-03-11 09:30:19+00:00,Bapak the cloudest buat vaksin? Wowww 😱😱😱 https://t.co/o64ktSVPry,Jambi,Maret
3,relungnadir,2021-03-07 14:30:04+00:00,Rockabilly emang ga ada o̶b̶a̶t̶ vaksin,Jambi,Maret
0,toro_zulham,2021-04-29 14:46:17+00:00,Melaksananka  Vaksin Covid 19 yang kedua https://t.co/kcI6OfHXDR,Jambi,April
1,marioleonid,2021-04-17 04:46:18+00:00,"@TofaTofa_id TOLOL....!!!
Vaksin bukan berarti kebal...!!!",Jambi,April
2,deviyuliawati,2021-04-14 10:44:32+00:00,"Kalo urusan2 begini mah harus nomor 1. Tapi kalo soal kerjaan, ya tahu sendirilah ya. Wakil rakyat negeri ondel-ondel. 😪😪😪 Btw, itu vaksin the cloudest udah teruji belum sih? https://t.co/IGHPOx1tXx",Jambi,April
3,KejatiJambi,2021-04-07 17:21:56+00:00,Ikatan Adhyaksa Dharma Karini Wilayah Jambi mengikuti Webinar Sosialisasi Vaksin Covid-19 secara virtual yang diikuti oleh seluruh Ketua &amp; anggota IAD se-Indonesia https://t.co/AdwlakPug6,Jambi,April
0,ulliulli,2021-05-17 15:37:08+00:00,"Ternyata anak bapil lebih rungsingin emaknga ketimbang demam pasca vaksin ya bun :')

Yok bisa yok ulli yok.",Jambi,Mei
1,ulliulli,2021-05-08 07:37:03+00:00,"Tadi pagi pas ditinggal pergi vaksin ni anak baik abail aja ketawa ketiwi.
Pas pulang badan anget dong 😭
Mesti gitu bilal tiap mau nambah umur demam 😭
Ibuu rungsing nak.",Jambi,Mei
2,deviyuliawati,2021-05-04 11:22:55+00:00,@dinnaafriana Setelah positif di sana masih vaksin ya dince?,Jambi,Mei
3,deviyuliawati,2021-05-04 10:37:08+00:00,"@dinnaafriana Dince, lo vaksin juga ya?",Jambi,Mei
0,IndraWarsa88,2021-06-29 03:47:07+00:00,"Vaksin untuk atasi pandemi Covid-19
#VaksinasiCovid19 https://t.co/EXiAbG1dmq",Jambi,Juni
1,JokoMulawarman,2021-06-29 00:48:22+00:00,"Bersama ikut vaksin, jangan sampai kelewatan
Doa Untuk Bangsaku https://t.co/mVa0hLnKtI",Jambi,Juni
2,dosengenetika,2021-06-26 03:08:21+00:00,masa iya vaksin jg pake dalam orang.,Jambi,Juni
3,flvynna,2021-06-26 01:53:10+00:00,"@hello_chibii Hari ini adatuh vaksin gratis, di gor sama di korem kalo gasalah",Jambi,Juni
4,fay_erha,2021-06-25 07:47:34+00:00,"Bang @dr_koko28 , buat ibu menyusui ada tatacara khusus kah kalo mau vaksin..?🙏",Jambi,Juni
5,fay_erha,2021-06-22 06:40:41+00:00,"@andikamalreza Bokap nolak keras, alasannya bikin sedih
""Biarlah kak, papa gak usah Vaksin, udah tua juga papa kak, kalo emang harus ""pulang"" papa malah seneng, bisa cepat ketemu mama""😊🥺🥺😥😔😞 Usia Bokap 71th dan nyokap beberapa hari lagi udah 4 th ""pulang"" duluan😣",Jambi,Juni
6,marioleonid,2021-06-15 14:50:29+00:00,"@maketopi @aewin86 Wah nggak.kang soalnya ada komorbid jantung.
Tp efek covid tdk parah karna sdh vaksin.",Jambi,Juni
7,marioleonid,2021-06-15 14:16:44+00:00,"Vaksin lengkap sdh selesai 2 bulan lalu
Nggak Pulang kampung 
Masker pake terus
Terkenal taat prokes.
Hasil PCR Jumat kemaren : Positif

#ikhlas

@aewin86
@maketopi",Jambi,Juni
8,KentIrawati,2021-06-10 21:34:22+00:00,"@Vikana_dee @dr_koko28 
Syafakillah ibunya mbak..jaga kondisi fisik dan mentalnya..ajak hepi..kasih makan n minuman sehat...klo boleh tau, kmrn vaksin jenis apa ya?",Jambi,Juni
