,username,date,content,user_location,bulan
0,awandanombakkk,2021-01-29 09:29:15+00:00,Ini gue doang apa emang bawaan abis vaksin itu laper dan ngantuk terus?,Jawa Barat,Januari
1,dedesolehsaepul,2021-01-29 07:10:24+00:00,"Meskipun saya bagian dari yang di kecualikan dapat vaksin, tapi mari kita dukung vaksinasi untuk menekan penyebaran covid -19 https://t.co/raGfFdx0Zk",Jawa Barat,Januari
2,awandanombakkk,2021-01-29 01:39:19+00:00,sebelum vaksin kudu sarapan ya?,Jawa Barat,Januari
3,AndyRosadi_,2021-01-29 01:30:22+00:00,"Habis iBox terbirlah Eiger, tapi sayang masih kalah trending sama vaksin https://t.co/lO0yp5IVOR",Jawa Barat,Januari
4,pengemiscinta_,2021-01-29 01:09:05+00:00,"@___tnyr @KuchinkLine Anjj, urg geus vaksin",Jawa Barat,Januari
5,mahbahgie,2021-01-28 15:30:13+00:00,"Vaksin terbaik itu adalah pangan yang cukup, murah dan terjangkau",Jawa Barat,Januari
6,yudhie86,2021-01-28 14:28:49+00:00,Vaksin yang terbaik adalah makan dan tidur yang cukup.. Gak kebanyakan gak juga kekurangan 😄,Jawa Barat,Januari
7,yunusm26,2021-01-28 14:07:34+00:00,"Alangkah indahnya promosi vaksin itu jika ""oleh karena angka terjangkit covid-19 di Indonesia rendah maka kita perkuat diri dengan vaksin"" bukan ""divaksin karena kian hari semakin meningkat angka terjangkit covid-19""",Jawa Barat,Januari
8,dedesolehsaepul,2021-01-28 11:20:27+00:00,@herlandhehehe Nanti we kalo suntik vaksin pake jarum paragi nyuntik gajah nyak seru eta wkwk,Jawa Barat,Januari
9,Adnansopiannn,2021-01-28 06:50:05+00:00,"Masi untung vaksin, bukan vakcoy hehey",Jawa Barat,Januari
10,AHT1970,2021-01-28 05:03:53+00:00,@Ronnie_Rusli Siap Prof.. selalu tunggu informasi terbaru dr prof ttg vaksin..,Jawa Barat,Januari
11,news_indramayu,2021-01-28 04:55:02+00:00,"Indramayunews-Jelang pendistribusian vaksin sinovac di Kabupaten Indramayu,  sebanyak 300 personel dari kepolisian Resort Indramayu hari ini Kamis (28/01).
.
Berita selengkapnya cek Facebook IndramyuNews https://t.co/U96yJzwOmS",Jawa Barat,Januari
12,syannastasja,2021-01-28 04:21:41+00:00,"@ria_asprila Sedangkan disini banyak nakes tanpa komorbid dan bukan penyitas yg menolak di vaksin dgn alasan takut. Rasanya pen bat maju terus teriak 'sini saya aja lah yg divaksin'
🥺🥺🥺🥺🥺",Jawa Barat,Januari
13,dedesolehsaepul,2021-01-28 04:01:48+00:00,"Hari ini Pencanangan Vaksin Covid -19 Oleh Pemkot Sukabumi, Salah satu yang menerima vaksin perdana adalah Wali Kota, Wakil Wali Kota Unsur Forkopimda dan Tokoh Lintas agama.

Alhamdulilah sudah dilaksanakan dengan lancar
.
.
#sukabumitoday
#VaksinasiNasional https://t.co/tTt4kTMTJs",Jawa Barat,Januari
14,WndaPutriDinata,2021-01-27 14:24:24+00:00,@enilesor_ Aku vaksin pertama malah belom dapet hahahahah,Jawa Barat,Januari
15,WndaPutriDinata,2021-01-27 14:17:26+00:00,@enilesor_ Selang berapa lama dari vaksin pertama lin ?,Jawa Barat,Januari
16,news_indramayu,2021-01-27 13:33:09+00:00,"Indramayu Terima 9.200 Vial Vaksin Sinovac
.
.
Selengkapnya cek FB IndramyuNews
.
.
FB : IndramayuNews
IG : indramayunewsid
Twitter : news_indramayu
.
.
#indramayunews #indramayu #kabarterkini #kabarindramayu #beritahariini #news #vkasin https://t.co/OCpeMMTZps",Jawa Barat,Januari
17,ptintiofficial,2021-01-27 12:41:40+00:00,"Presiden Jokowi sebagai orang pertama yang divaksin kembali menerima vaksin kedua setelah 14 hari. Vaksin kedua ini tetap menggunakan vaksin CoronaVac yang diproduksi oleh Sinovac.

#JokowiVaksinKe2 #INTIBangkit https://t.co/0EJr5XfEVR",Jawa Barat,Januari
18,dedesolehsaepul,2021-01-27 12:01:25+00:00,"Besok Pemkot Sukabumi Mulai Melaksanakan Pencanangan Vaksin covid -19 yang di mulai bagi para Nakes.

Semoga lancar 🤲
.
.
.
#kotasukabumi #vaksincovid19 #VaksinasiNasional https://t.co/ApNyO9USsn",Jawa Barat,Januari
19,biofarmaID,2021-01-27 10:08:20+00:00,"Agar upaya perlindungan vaksin Covid-19 maksimal, tetap patuhi protokol kesehatan ya Biotizen... https://t.co/mpgUrCI2OB",Jawa Barat,Januari
20,biofarmaID,2021-01-27 10:08:18+00:00,Vaksin Covid-19 hasil kerjasama Bio Farma dan Sinovac membutuhkan dua kali penyuntikan dalam jarak waktu 14 hari. Suntikan kedua ini agar dapat memastikan vaksin tersebut efektif dalam membentuk antibodi. https://t.co/2OJItdCs6j,Jawa Barat,Januari
21,biofarmaID,2021-01-27 10:08:15+00:00,"Presiden Jokowi sebagai orang pertama yang divaksin di Indonesia tanggal 13 Januari 2021 lalu, kembali disuntik vaksin hari ini, Rabu (27/1).

#JokowiVaksinKe2
#BUMNuntukIndonesia https://t.co/qMLB1mjW15",Jawa Barat,Januari
22,azizahrifaa,2021-01-27 09:12:25+00:00,Vaksinator yang belum di vaksin😭,Jawa Barat,Januari
23,azizahrifaa,2021-01-27 09:12:04+00:00,"Orang udah mau masuk vaksin ke 2, w yang 1 aja belum😭",Jawa Barat,Januari
24,hanyaaden,2021-01-27 08:25:14+00:00,"Tapi kaya kita tuh bikin hahatan gede harus d bubarin 
Gak ada adab banget orng lg makan di usirin
Pengen gw ngamuk tp percuma 
Kenapa mall dan pasar masih dibuka bebas?? Kenapa kemaren acara penerimaan vaksin di pemerintah diliput banyak wartawan dan bergerombol?",Jawa Barat,Januari
25,keclengkong,2021-01-27 03:34:18+00:00,"Rabu, 27 Januari 2021 Giat Camat Lengkong mengikuti Kegiatan *Rapat Evaluasi Covid-19 dan Vaksin Kota Bandung* secara virtual melalui Zoom Meeting @ Kecamatan Lengkong https://t.co/YOMIJ8tR3f",Jawa Barat,Januari
26,vnnns2,2021-01-26 17:03:30+00:00,"Terlepas dr benar atau tidak adanya politik penjualan vaksin, tp pleaseeee covid itu benerann ada😭 Yg begini nih yg nambah2 kasus tiap harinya dengan mindset 'covid itu politik' 'gaada covid' 'org meninggal di RS pasti di covidkan'. Hadehhhh dasar grup wa bapack2 https://t.co/eZA9Nug3kP",Jawa Barat,Januari
27,restumibr,2021-01-26 12:36:03+00:00,"Duh gemana ya
Bolehlah kleanklean masih ga percaya sama vaksin, tp jgn bego lah :(",Jawa Barat,Januari
28,pulungarbi,2021-01-26 08:58:03+00:00,@tirta_hudhi Vaksin kedua mirip klasmen kedua Liperpul 😂,Jawa Barat,Januari
29,biofarmaID,2021-01-26 00:24:57+00:00,"#Biotizen, saat ini, Tenaga Kesehatan (Nakes) bersemangat mengikuti vaksinasi. Tidak ada laporan dari Dinas Kesehatan mengenai penolakan vaksin oleh Nakes. Sebaliknya para Nakes sangat ingin mendapat vaksinasi.

#NakesSiapRumahSakitSiap
#BUMNuntukIndonesia https://t.co/YsL6gqwCj8",Jawa Barat,Januari
30,husada_menik,2021-01-25 22:36:06+00:00,"Halo Sahabat Menik 🤗 

Vaksin Influenza juga dapat digunakan sebagai Immune Booster Covid-19 loh 🤩

Kami melayani 24 Jam 🥰

#KlinikUmum24Jam #apotik24jam #PelayananDokterUmum #PelayananBidan #USG #usgkandungan #usgabdomen #injekvitc https://t.co/vHwoKJiNYN",Jawa Barat,Januari
31,Dwiwanto93,2021-01-25 15:24:04+00:00,"@NannaRatna Temen juga masih banyak yang belum. Pas registrasi awal bisa, pas daftar vaksin dan pemilihan tempat ga bisa.",Jawa Barat,Januari
32,ArtiAbuAbuHamza,2021-01-25 11:06:34+00:00,"There are 37 people who have died since they started vaccinating in Gibraltar, that is 37 “Covid” deaths in 10 days

Di Gibraltar, hanya dlm 10 HR, 37 org telah tewas setelah di-vaksin (Pfizer vaksin)
😭😭😭😭😭

https://t.co/Oo4SA85z2a",Jawa Barat,Januari
33,aryanegoro,2021-01-25 10:34:56+00:00,@kec_regolbdg boleh minta info pengantar surat vaksin tt?,Jawa Barat,Januari
34,kozirama,2021-01-25 02:46:21+00:00,Ribet!! Jadi kalau ada yg bisa supply vaksin dengan harga lebih mahal akan tetap murah secara nilai ekonomisnya. Dengan catatan jangan sampai menghilangkan hak orang lain. https://t.co/KoypnxeyCa,Jawa Barat,Januari
35,kozirama,2021-01-25 02:10:35+00:00,"Setuju sama thread ini, terutama kalau pencatatan, pengadaan, dan distribusi vaksin versi pemerintah sudah lebih baik https://t.co/6VWfDO491k",Jawa Barat,Januari
36,kafey,2021-01-25 00:25:12+00:00,"@sawung iya ya tinggal tukang vaksin laporan, data ambil dari organisasi keprofesian. Atau kalau harus daftar juga, pake sms reg spasi, gampang ga usah website2, klo memang mau lebih valid.",Jawa Barat,Januari
37,erdosteine,2021-01-24 04:37:49+00:00,@TyrellMartell Tp yg lg rame akhir2 ini pda nolak vaksin pfizer katanya nolak bahan2 asing tp ttep pada pake viagra sungguh badut sekali 🤡,Jawa Barat,Januari
38,imahbabaturan,2021-01-24 02:54:01+00:00,"@HARIANKOMPAS pagi ini ngebahas percepatan vaksin corona buat para tenaga medis diseluruh indonesia, ribet ternyata...

Dihalaman 1 ada juga cerita teh ghea tentang kolaborasi keren yang dilakukan oleh  TIASA plantbased yang pasti bisa jadi inspirasi buat kita deh...:) https://t.co/Jn6VzPdkKB",Jawa Barat,Januari
39,kafey,2021-01-23 10:02:06+00:00,"bos daging semua belum dapat vaksin ya, ini kaum globalis udah duluan.. https://t.co/4RTehEW9ry",Jawa Barat,Januari
40,ayahnayaka,2021-01-23 08:54:16+00:00,"@ondhell @ini_d00m @snjayajonggrang @KemenkesRI Stiker khusus itu ya berupa barcode. Di atas sdh dijelaskan, dlm barcode ada data yg hanya diketahui pemerintah. Kalau vaksin dipalsukan akan ketahuan karena data barcode bisa dibandingkan dg data pemerintah.",Jawa Barat,Januari
41,tobaska_,2021-01-23 03:43:32+00:00,"Swab hatimu dgn Al-Qur'an
Vaksin jiwamu dgn Dzikir
Cuci tanganmu dgn Shodaqoh
Jaga jarak dgn Maksiat

In syaa Allah selamat.

Jaga jarak! Bisakah?",Jawa Barat,Januari
42,Kang_Opee,2021-01-23 00:41:24+00:00,Sertifikat vaksin yang bisa dipalsukan di rental can't related https://t.co/n5MmxEdUG0,Jawa Barat,Januari
43,kozirama,2021-01-22 15:29:03+00:00,Ya ampun sampe Kumparan juga ikut2an misleading? Ini kalau sampe orang2 semakin gak percaya vaksin emang mau tanggung jawab pada? https://t.co/S6qlH4mjHL,Jawa Barat,Januari
44,dewiasmara_id,2021-01-22 14:20:25+00:00,"Hari ke tiga RDP dengan mitra kerja di Komisi IX DPR RI saya ingin memastikan skema kerjasama penyediaan vaksin sesuai dengan pengelolaan anggaran negara yang transparan, serta praktik bisnis yang menguntungkan untuk rakyat Indonesia.
#dewiasmara #sukabumi #golkar https://t.co/k8J6lMidRA",Jawa Barat,Januari
45,tawajkt,2021-01-22 13:10:40+00:00,"Selain Rajin Berburu Hutang.

Rajin Berburu Vaksin! Ini Alasan RI Pakai Vaksin Sinovac.
https://t.co/a0hu2IUBiC",Jawa Barat,Januari
46,AdeTrigarnida2,2021-01-22 12:59:42+00:00,@ZoelHayat Vaksin tuh buat apa sech?  Nanya. Serius 😊,Jawa Barat,Januari
47,dewiasmara_id,2021-01-22 12:31:05+00:00,"Selain ketersediaan vaksin,melalui RDP lanjutan antara Komisi IX DPR RI dgn Menteri Kesehatan, Kepala BPOM dan Dirut PT. Bio Farma,saya juga menyoroti pentingnya sosialisasi dan edukasi masyarakat.
#dewiasmara #sukabumi #golkar
#SukseskanVaksinasi
#KesehatanPulihIndonesiaBangkit https://t.co/eWOaE3WyTB",Jawa Barat,Januari
48,RFatiasari,2021-01-22 06:53:35+00:00,"Kira2 kalo yg covid makin nambah terus, rumah sakit penuh, nakes udah pada tumbang, populasi Indonesia taun depan udah ngurang setengahnya belom yaa? Kamu mau jadi setengah yg mana? 😋 (Kesampingkan variabel vaksin yg efektifitasnya hanya 65%)",Jawa Barat,Januari
49,kozirama,2021-01-22 06:11:36+00:00,Semua pemberitaan seakan2 vaksin=kebal corona. Ampun dah media. https://t.co/Z7ZnztWbfK,Jawa Barat,Januari
0,ipullen,2021-02-27 13:38:30+00:00,"mon maap nih, yg udah di vaksin tuh kan baru nakes ya, lansia baru mulai jalankan ya e tapi ini jalanan ramenya kaya covid udah ga ada, berasa udah kebal semua kali ya",Jawa Barat,Februari
1,ayahnayaka,2021-02-27 08:52:33+00:00,"@anewbennybenno @Reisa_BA Menurut saya, dg adanya vaksin mandiri atau gotong royong justru akan mempercepat sampainya vaksin ke masy gak mampu. Kan jlh yg hrs divaksin pemerintah berkurang (karena sdh divaksin mandiri). Kecuali orangnya kemaruk, sdh divaksin mandiri, minta juga yg gratis 😂",Jawa Barat,Februari
2,hongosfungi,2021-02-27 08:43:23+00:00,"@collegemenfess teori/penelitian terdahulu/artikel tentang vaksin &amp; imunitas tubuh. Misal artikel jenis vaksin, artikel tentang faktor2 yg memoengaruhi imunitas tubuh. Kmdn, kita cari korelasi 2 variabel tersebut knp bisa saling mempengaruhi berdasarkan literatur2 tsb. Cmiiw",Jawa Barat,Februari
3,hongosfungi,2021-02-27 08:39:53+00:00,"@collegemenfess pengembgn hipotesis itu kek asal muasal knp suatu hipotesis itu muncul, biasanya menggunakan teori yg relevan/penelitian2 terdahulu. Misal ada hipotesis ""vaksin mempengaruhi tngkt imunitas tubuh"", berarti u/ pengembgn hipotesisnya kita harus cari..cont..",Jawa Barat,Februari
4,Gilang79,2021-02-27 05:49:36+00:00,@PRFMnews saya curiga ini kepala daerah pengen kena ott karena pengen cepet di vaksin 😁 #candavaksin,Jawa Barat,Februari
5,Adang87570414,2021-02-27 05:15:19+00:00,@msaid_didu Biar dpt vaksin kelas vpip,Jawa Barat,Februari
6,azizahrifaa,2021-02-27 05:05:23+00:00,Daftar vaksin lansia kemana ya guyss?,Jawa Barat,Februari
