,username,date,content,user_location,bulan
0,Sukirman_Kir,2021-01-29 04:39:44+00:00,"Alhamdulilah, sudah disuntik vaksin ke 2, Kamis (28/1). Sikap @FPKB_DPRDJateng 1) Vaksin Gratis Untuk Rakyat; 2) Bentuk Tim Pengawas; 3)re-alokasikan APBD utk beli vaksin. https://t.co/qW7qOyoNzs . @DPP_PKB @yusuf_ch @cakimiNOW @EmHasanuddin @FraksiPKB @dprdjatengprov https://t.co/L7lDaqAhLt",Jawa Tengah,Januari
1,moc_salim,2021-01-27 14:32:30+00:00,"Efek bersifat #induvidual jadi akan #sehat semua. #Vaksin tolak #virus 

Semoga hallo #bangsaku",Jawa Tengah,Januari
2,stdraa,2021-01-27 13:30:19+00:00,@Aji_veteran @coffebit Ada vaksin nya ngak kek gtu,Jawa Tengah,Januari
3,DidacusAris,2021-01-27 08:58:35+00:00,"@CNNIndonesia Yang bikin data memang ciamik, pas mulai di vaksin pas 1 juta,,,kalau minta nomer togel minta sj ke yang bikin data covid pasti pas.😛😛",Jawa Tengah,Januari
4,adelliarosa,2021-01-27 07:19:06+00:00,"@daprast Harus vaksin dulu berarti si haru, notedd",Jawa Tengah,Januari
5,Agusnissin1,2021-01-27 03:35:06+00:00,@rainy_rainyta08 Iya bener itu info nya.. Dulu pernah ikut aku vaksin gratis dari korea,Jawa Tengah,Januari
6,Febriansatu1,2021-01-27 03:31:05+00:00,"Penurunan,semoga dengan adanya vaksin ,covid segera hilang https://t.co/SLDceVTFIN",Jawa Tengah,Januari
7,Agusnissin1,2021-01-26 23:08:33+00:00,@RahasiaKita20 Ada gratis.. Vaksin flu,Jawa Tengah,Januari
8,yudhapati88,2021-01-26 02:55:47+00:00,klo yg dr kecik tak pernah kenak vaksin bijimana qaq? https://t.co/joenicoHOj,Jawa Tengah,Januari
9,PpidUtama_grob,2021-01-25 22:45:14+00:00,"Penyuntikan Vaksin Covid 19 oleh Tim Medis  untuk Bupati Grobogan  @SumarniGrobogan pada tanggal 25 Januari 2021.
#VaksinasiDimulai 
#VaksinCovid19 
#Bersamacegahcovid19 
#JagaDiri 
#JagaKeluarga
#JagaNegara
#patuhiprotokolkesehatan https://t.co/r9uAvMKfvQ",Jawa Tengah,Januari
10,diskominfo_grob,2021-01-25 22:43:52+00:00,"Penyuntikan Vaksin Covid 19 oleh Tim Medis  untuk Bupati Grobogan  @SumarniGrobogan pada tanggal 25 Januari 2021.
#VaksinasiDimulai 
#VaksinCovid19 
#Bersamacegahcovid19 
#JagaDiri 
#JagaKeluarga
#JagaNegara
#patuhiprotokolkesehatan https://t.co/Hl52MqYX1Q",Jawa Tengah,Januari
11,ptkiw,2021-01-25 12:37:42+00:00,"#SobatKIW, saat ini, Tenaga Kesehatan (Nakes) bersemangat mengikuti vaksinasi. Tidak ada laporan dari Dinas Kesehatan mengenai penolakan vaksin oleh Nakes. Sebaliknya para Nakes sangat ingin mendapat vaksinasi.

#NakesSiapRumahSakitSiap
#BUMNuntukIndonesia https://t.co/oIQGBL7j3I",Jawa Tengah,Januari
12,ceteRahardjo,2021-01-23 13:26:38+00:00,@aan__ Ak smpe gak kuat megang hp dok 🤣 kebangetan emang masih h+2 pasca vaksin,Jawa Tengah,Januari
13,avinaninasia,2021-01-23 09:38:14+00:00,"@rismasiti Sampai saat ini kayanya belum ada negara yang mewacanakan vaksin privat krn pada sadar diri: yang urgent butuh aja belum tercover semua wkwkwk 🙈

Paling bener emang pake masker medis kalo di ruang tertutup Sis, ngeri banget 😿",Jawa Tengah,Januari
