,username,date,content,user_location,bulan
0,iaridlo,2021-01-29 15:21:50+00:00,(((((((Vaksin Gotong-royong))))))))),Jawa Timur,Januari
1,amhar___,2021-01-29 10:50:55+00:00,"Satu hari setelah vaksin gaada efek apapun sih, selain nyeri setelah disuntik. 
Tidur semalem lebih cepet dr biasanya. 
Memang pelor aja sih kalau ini  🤭

Seharian aktivitas spt biasa, gaada demam, gaada flu, gaada pusing.",Jawa Timur,Januari
2,iaridlo,2021-01-29 10:47:10+00:00,"Demi ngejar target 31 Januari selesai untuk vaksinasi Nakes, banyak Pemkot bikin kegiatan serempak unt vaksinasi. Misal: 2000 vaksin untuk Nakes tanggal 31 Januari atau pemecahan rekor lainnya. Saya tidak hendak menyalahkan, apa boleh buat registrasi Nakes ya kayak gitu. Yasud.",Jawa Timur,Januari
3,Didik1wijaya,2021-01-29 10:10:50+00:00,@narkosun Allhamdulilah saya sudah di vaksin mas😀 https://t.co/BIKc7E7upt,Jawa Timur,Januari
4,massfazz,2021-01-29 07:33:17+00:00,@byster666 Kasih review kalo udah di vaksin,Jawa Timur,Januari
5,lebihbaiksogood,2021-01-29 05:02:52+00:00,"Bismillah
Lanjut Vaksin yg Ke-2
Dapet Pin
Dapet Snack Bolen Pisang",Jawa Timur,Januari
6,PartisanPSBY,2021-01-28 15:00:05+00:00,"@EkoSatriyoP @piel_YK @CasualsFreaks @anomrawk @bonekcasuals Tuwo tuwo Rasah Vaksin pak, Mabok mawon",Jawa Timur,Januari
7,ArTris,2021-01-28 07:52:25+00:00,"Alhamdulillah, gk jadi vaksin..... Tidak, saya tidak menolak vaksin ya. 

Bagi yg masih sehat, jangan ragu2 unt divaksin. Tetap terapkan prokes 3M😁😁+2M, membatasi mobilitas/interaksi fisik dan menghindari kerumunan. https://t.co/AvDW764QID",Jawa Timur,Januari
8,annahsofia_,2021-01-28 01:02:13+00:00,Deg deg-an coy di suntik vaksin dosis pertama,Jawa Timur,Januari
9,iaridlo,2021-01-27 14:45:58+00:00,"Jika ini tidak dikelola dengan baik, maka akan mempertebal stigma negatif bahwa distribusi vaksin tidak beres. Juga perihal keadilan sosial. Tabik.",Jawa Timur,Januari
10,iaridlo,2021-01-27 14:45:50+00:00,"Saya Siap Divaksinasi, tapi.....

Saya mikir gini, ada yang sudah dapat Vaksin. Bukan Nakes. Terus mereka bilang ""Saya sudah Vaksin, ayo jangan ragu, gak sakit kok"". Tapi kenyataannya Nakes masih ngantri. Nunggu giliran. Katanya dlu ada prioritas, karena ini barang langka. https://t.co/GqcFNTJ00F",Jawa Timur,Januari
11,LaurensiaVidya,2021-01-27 14:05:28+00:00,"@syahrul1988 @sherli_lomo @krismantana 1. Tadi ga mencapai ambang batas narsis yg cukup utk selfie 😎

2. Ga ngantuk, tp lapar iya soalle pergi PKM jam 11 nunggu 2 jam pas jam makan siang 😄. Kemeng dikit deltoidnya, tp ga mengganggu. Mas SAH udah jadi vaksin?",Jawa Timur,Januari
12,bpbd_pmk,2021-01-27 11:13:05+00:00,Bupati Pamekasan menjadi orang pertama yang di Vaksin di Kabupaten Pamekasan @ Pendopo Agung Ronggosukowati https://t.co/jTYfFjoKTI,Jawa Timur,Januari
13,emiremyutama,2021-01-27 09:14:16+00:00,Yaampun abis vaksin ngantuk sekali,Jawa Timur,Januari
14,chusnulhadiset1,2021-01-27 07:24:33+00:00,"@TogaMD Ini beliau mau menunjukan dg simbolis, meskipun aku krempeng aku berani di vaksin.",Jawa Timur,Januari
15,Cak_X01,2021-01-27 05:12:59+00:00,"Raffi Ahmad, yang hadir sebagai perwakilan anak muda, mengatakan bahwa vaksinasi untuk dosis pertama dan kedua kali ini berjalan lancar. Dirinya tidak merasakan efek samping serius setelah penyuntikan vaksin tersebut selain mengantuk dan sedikit pegal. https://t.co/XyjBAmm83a",Jawa Timur,Januari
16,Cak_X01,2021-01-27 05:11:25+00:00,"Risiko bagi penerima vaksin untuk tertular Covid-19 menjadi lebih kecil walaupun masih harus menerapkan disiplin terhadap protokol kesehatan seperti mengenakan masker, mencuci tangan, menjaga jarak, dan menghindari kerumunan. https://t.co/7xOMqzfKTA",Jawa Timur,Januari
17,Cak_X01,2021-01-27 05:10:49+00:00,Menkes juga mengingatkan bahwa pembentukan antibodi memerlukan waktu selepas pemberian dosis kedua vaksin. https://t.co/YxRDBqW9Pm,Jawa Timur,Januari
18,Cak_X01,2021-01-27 05:09:39+00:00,"Menteri Kesehatan, Budi Gunadi Sadikin, menjelaskan bahwa tidak ada efek samping serius yg ia rasakan selepas menerima suntikan baik dosis pertama maupun kedua dari vaksin Covid-19. Budi menjadi salah satu perwakilan yg turut mengikuti vaksinasi bersama Presiden Joko Widodo. https://t.co/GcnQNLjRg9",Jawa Timur,Januari
19,ZainulArifinM,2021-01-27 05:09:06+00:00,Presiden Jokowi hari ini melaksanakan vaksin tahap 2 https://t.co/YKaFN0G4Ba,Jawa Timur,Januari
20,Cak_X01,2021-01-27 05:04:33+00:00,"Adapun bagi para tenaga kesehatan yang saat ini mungkin masih mengalami kendala untuk mendaftar dan mendapatkan vaksin Covid-19, Daeng memberikan solusi melalui Ikatan Dokter Indonesia (IDI) agar mereka dapat segera terfasilitasi untuk mendapatkan vaksin tersebut.",Jawa Timur,Januari
21,Cak_X01,2021-01-27 05:04:31+00:00,"Guna mengejar target vaksinasi nasional ini selesai dalam satu tahun, Kepala Negara mengatakan, pemerintah akan tetap berfokus pada target semula yang mengharapkan per harinya sebanyak 900 ribu hingga 1 juta masyarakat Indonesia nantinya dapat menerima vaksin Covid-19. https://t.co/tpUijKDn8W",Jawa Timur,Januari
22,Cak_X01,2021-01-27 05:02:25+00:00,"Vaksinasi Covid-19 yg diberikan pemerintah secara gratis kpd kurang lebih 181,5 juta masyarakat Indonesia telah dimulai sejak 13 Januari 2021. Di dalam tahapan awal pelaksanaan yg memprioritaskan tenaga kesehatan untuk memperoleh vaksin tsb, diakui masih terdapat sejumlah kendala https://t.co/9bJZvSX9X8",Jawa Timur,Januari
23,Cak_X01,2021-01-27 04:31:35+00:00,"Untuk diketahui, sejumlah perwakilan yang mendapatkan dosis pertama vaksin bersama Presiden pada dua minggu lalu dan dinyatakan memenuhi syarat kesehatan untuk mengikuti vaksinasi kembali hadir untuk menerima penyuntikan dosis kedua. https://t.co/OV9ppG8qeA",Jawa Timur,Januari
24,Cak_X01,2021-01-27 04:24:39+00:00,"Vaksin CoronaVac, sebagaimana vaksin-vaksin Covid-19 lain yg tersedia saat ini, membutuhkan dua dosis penyuntikan bagi masing-masing penerima untuk memperkuat respons imun dari suntikan dosis pertama. Sebanyak 0,5 mililiter dosis vaksin disuntikkan di masing-masing penyuntikan. https://t.co/twqFdGM422",Jawa Timur,Januari
25,Cak_X01,2021-01-27 04:24:36+00:00,CoronaVac telah mengantongi izin penggunaan darurat dari Badan Pengawas Obat dan Makanan (BPOM) setelah melalui sejumlah uji klinis yg melibatkan sebanyak 1.620 relawan di Bandung. Majelis Ulama Indonesia menyatakan bahwa vaksin tersebut suci dan halal sehingga dapat digunakan. https://t.co/zRFqSPgDlH,Jawa Timur,Januari
26,Cak_X01,2021-01-27 04:24:33+00:00,Vaksin yang disuntikkan kepada Presiden dan para penerima vaksin lainnya di seluruh Indonesia hingga saat ini ialah vaksin CoronaVac yang diproduksi oleh Sinovac Life Science https://t.co/7uolwqRT9J. yang di Indonesia bekerja sama dengan PT Bio Farma (Persero). https://t.co/Edj10FdQ35,Jawa Timur,Januari
27,Cak_X01,2021-01-27 04:22:01+00:00,"Selanjutnya, Kepala Negara juga melalui tahap penapisan kesehatan seperti pengukuran suhu tubuh, tekanan darah, dan pemeriksaan riwayat kesehatan untuk memastikan penerima vaksin berada dalam kondisi prima dan layak mengikuti vaksinasi untuk dosis kedua ini. https://t.co/IKlL9GlyBV",Jawa Timur,Januari
28,Cak_X01,2021-01-27 04:21:56+00:00,"Presiden Joko Widodo menerima suntikan dosis kedua vaksin Covid-19 pada Rabu, 27 Januari 2021, di sisi barat halaman tengah Istana Kepresidenan. Dua minggu lalu, tepatnya pada 13 Januari 2021, Presiden menjadi orang pertama yang menerima suntikan dosis vaksin. https://t.co/iy58QOQ69f",Jawa Timur,Januari
29,Andriii_M,2021-01-27 03:32:47+00:00,Akkkkhhh kakak ku uda dapat vaksin duluan..  Ak mau 😭😭,Jawa Timur,Januari
30,_rizkiiiii,2021-01-27 03:12:10+00:00,"@dayatia Dok mau tanya dong, vaksin yg disuntikan ke presiden sama ke rakyat itu sama gak, apa kaya vaksin anak bayi yg ada pilihan pake demam sm gapake demam? Soalnya barusan ada yg ngomong gt ke saya 😂",Jawa Timur,Januari
31,dodikpr84431261,2021-01-26 15:45:35+00:00,Tetap patuhi prokes walaupun sdh nyuntik vaksin https://t.co/JTIMqKZRYm,Jawa Timur,Januari
32,kkhoir99,2021-01-26 15:15:57+00:00,"@xmxxmxmxmxx Laiyaa, kan lockdown juga udahh wktu dulu, dampak buat ekonomi malah makin buruk wktu lockdown, rakyat kecil kek gini udah mengkis2 bgt akibat dampak covid, harusnya yg diperketat itu protokol kesehatan nya aja, kaya pake masker wajib, jaga jarak, vaksin lebih cepat diratakan",Jawa Timur,Januari
33,Cak_X01,2021-01-26 14:59:13+00:00,"Untuk diketahui,Vaksin CoronaVac yang diproduksi oleh Sinovac membutuhkan dua kali penyuntikan masing-masing sebanyak 0,5 mililiter dengan jarak waktu 14 hari. Sebelumnya, Presiden menerima suntikan pertama pada 13 Januari 2021 lalu.",Jawa Timur,Januari
34,Cak_X01,2021-01-26 14:57:18+00:00,"Besok, Presiden Jokowi Akan Menerima Vaksin Covid-19 Dosis Kedua

Presiden Joko Widodo dijadwalkan menerima suntikan vaksin Covid-19 untuk dosis kedua pada Rabu pagi, 27 Januari 2021. Rencananya, vaksinasi akan kembali dilakukan di Istana Merdeka, Jakarta.",Jawa Timur,Januari
35,persinurrakhman,2021-01-26 13:26:15+00:00,"Efek kurang vaksin bocah Geger ngakak 
Pocong Arab 
#ngakak
#HoaxVaksin https://t.co/DaeXnhjuDn",Jawa Timur,Januari
36,kucingdepanruma,2021-01-26 03:18:12+00:00,Kok habis vaksin maleh laperan gini ya hadududu,Jawa Timur,Januari
37,miusmkm,2021-01-26 03:06:37+00:00,Distribusi Vaksin C-19 Jatim https://t.co/dOk87teNlE,Jawa Timur,Januari
38,kucingdepanruma,2021-01-26 00:40:26+00:00,"Aku ga suka disuntik ☹☹😭
*Pro Vaksin",Jawa Timur,Januari
39,pinkymew,2021-01-25 00:42:40+00:00,@depresionistas selamat vaksin ya 😡😡😡😡,Jawa Timur,Januari
40,teguh_septiyan,2021-01-24 23:20:33+00:00,"Pengalaman pikiran bawah sadarku berkata akan ada acara vaksin dan blokade jalan, penolakan dimana mana.",Jawa Timur,Januari
41,akuayuta,2021-01-24 00:43:29+00:00,"Menunggu sms doi ❌
Menunggu sms vaksin ✅",Jawa Timur,Januari
42,cakasana,2021-01-23 15:47:53+00:00,"Edukasi vaksin di Brazil:

1. Pakai artis top
2. Genre merakyat (funk)
3. Lagu udah populer (1.5 MILIAR views di youtube)
4. Liriknya diubah buat promote vaksin https://t.co/RFUSfQKd6G",Jawa Timur,Januari
43,Cak_X01,2021-01-23 04:39:36+00:00,"Gerak cepat pemerintah mengantisipasi situasi pandemi sembari menyiapkan vaksin untuk pencegahan....

PUPR Rampungkan Peningkatan Kapasitas Gedung Tiga RS Rujukan COVID-19 https://t.co/lCW5paEPKG",Jawa Timur,Januari
44,pinkymew,2021-01-23 00:27:44+00:00,"Mau vaksin harus pesen dulu dari jauh2 hari

Ke vetnya https://t.co/IS4gls8qtc",Jawa Timur,Januari
45,Cak_X01,2021-01-22 12:20:49+00:00,"Cek ya gaess,biar bisa di vaksin.... https://t.co/HfpyBa4O5D",Jawa Timur,Januari
46,pinkymew,2021-01-22 05:00:17+00:00,"Ngedaftarin Masnya vaksin, lalu dia balas menyuckitiku 😔",Jawa Timur,Januari
47,iaridlo,2021-01-21 23:26:28+00:00,"@tsetiady Cold storage untuk sinovac cukup mas, karena karakteristiknya penyimpanannya sama kayak Vaksin yg udah jalan sebelumnya. Tapi mmg butuh manajemen baik, kl gak nanti stagnan di gudang terlalu lama. Ini kerugian.",Jawa Timur,Januari
48,pinkymew,2021-01-21 11:22:03+00:00,"Sudah 7 jam post vaksin. Tidak terasa apa2 ya, Ayah Bunda. Tadi sempat nyeri di lengan tapi cuma 30 menit. Sempat ngantuk tapi sekarang segar bugar.

Ga ada perasaan kek mau flu, nyeri kepala atau apa lah.",Jawa Timur,Januari
