,username,date,content,user_location,bulan
0,biyan_yoga,2021-07-10 15:42:05+00:00,"@MindamRandom Jangan lupa jaga kesehatan selalu ya kak, istirahat yang cukup.. nanti hari Senin kami ikut vaksin Covid-19.. doakan saja semoga lancar ya dalam ikut vaksin Covid-19 nya,Amin..

@TGPRNM https://t.co/6d5fQiPt5J",Kalimantan Barat,Januari
1,biyan_yoga,2021-07-10 14:20:43+00:00,"Nanti hari Senin mau vaksin Covid-19 dulu, doakan kami ya pemirsa.. semoga dalam melakukan vaksin Covid-19 nya dgn lancar ya, Amin Ya Allah 🤲🏻.",Kalimantan Barat,Januari
2,GunsRd,2021-07-10 12:14:28+00:00,"Berangkat haji dilarang? Alasan? 

Ini ibadah men,.. Covid? Kan negara udah sampai bela2 pinjam dana utk vaksin. Vaksin smpai yg terbaru. APD kan ada buat proteksi diri, prosedur protokol covid udh dikumandangkan kmana2. Takut covid ato takut ibadah?",Kalimantan Barat,Januari
3,arraayyy,2021-07-10 12:11:18+00:00,"@aalllszee ada juga yang ngantukan, tpi ntar vaksin yang kedua efeknya pegel wkw",Kalimantan Barat,Januari
4,Jeffripratamaa_,2021-07-10 11:27:47+00:00,Masih sebal lengan habis kena vaksin nin hmmm,Kalimantan Barat,Januari
5,TantriAnggreani,2021-07-10 09:25:17+00:00,@alibralieus Kau udah vaksin belum ???,Kalimantan Barat,Januari
6,kalbar_news,2021-07-10 09:12:01+00:00,Kalbar News: Seluruh Tenaga Kesehatan Bakal Di Vaksin Moderna https://t.co/eBmINHRsY1,Kalimantan Barat,Januari
7,Risnaen_NA,2021-07-10 08:43:27+00:00,Abis vaksin lgsng demam 🙂🙏🏻,Kalimantan Barat,Januari
8,TkangJalanJajan,2021-07-10 07:21:30+00:00,@dodon_jerry Segera dong vaksin... Biar gampang mau urus ini itu,Kalimantan Barat,Januari
9,zailaniefiqrie,2021-07-10 06:58:20+00:00,@findantisym Demam abis vaksin wajar koook. Berarti vaksinnye bekerje.,Kalimantan Barat,Januari
10,bellayuanda,2021-07-10 03:19:44+00:00,"Ditelpon pagi2 akhirnya teman bertekad vaksin hri ini walaupun keluarganya belum mau, bilangnya biar aku jdi cth dulu bel sambil buat bujuk doain yaa
Ya ampun terharu edukasi keluarga sendiri emg kdg tuh susah banget tpi harus pelan2, ketulusan dan kebaikan seringnya sampai kok",Kalimantan Barat,Januari
