,username,date,content,user_location,bulan
0,dishub_bwi,2021-01-28 07:33:06+00:00,"Tepat saat ini Bapak Bupati @AzwarAnas_A3 menerima suntikan vaksin Covid-19 di Pendopo Sabha Swagata.

Tetap semangat, kesehatan pulih ekonomi bangkit.
@aliruchiits https://t.co/UZRj5KTCSK",Kalimantan Selatan,Januari
1,BojessBwi,2021-01-27 20:51:25+00:00,"Kedatangan vaksin sinovac ke kabupaten Banyuwangi di kawal ketat jajaran kepolisian @TMCPoldaMetro @RTMCJatim
Cek lengkap di YouTube BOJESS BWI #BOJESSBWI https://t.co/kiqbX9VqnD",Kalimantan Selatan,Januari
2,ExprezzLaundry,2021-01-26 01:20:11+00:00,"Selasa 26/01/21
Pagii sahabat @PosIndonesia 

Maaf sy da keluhan.
paket sdh 2 bln tak da kabar.
Thread ini berhenti jika sdh ada perubahan di No.resi : LP186758606SG

#php  #bumnuntukindonesia
#CabutHakPolitikEksHTIFPI Dukung Vaksin Save NKRI
https://t.co/pGb9JGj6w3",Kalimantan Selatan,Januari
3,gnjayan,2021-01-16 04:34:28+00:00,"@unexpecteddewa kurang tau wa, tapi mungkin ID produknya. tiap botol vaksin punya nomor sendiri sendiri. semua jenis vaksin kaya gitu.",Kalimantan Selatan,Januari
4,telunjukraung,2021-01-15 08:09:28+00:00,@R_Arisandi1 Vaksin karamel boleh 😭,Kalimantan Selatan,Januari
5,ztoenk,2021-01-15 08:06:29+00:00,"Susul Jokowi, Erdogan Disuntik Vaksin Sinovac https://t.co/mEExqlh73K",Kalimantan Selatan,Januari
6,SePradistya,2021-01-14 08:56:15+00:00,"@krisnadwidharma Lek nyebar ning grup wa iku angel dipercoyo wkwkwk. Lagian sing nyuntik wingi prof loh 🤣 pemerintah jg kurnag edukasi sih masalah vaksin, booster, dosis dsb",Kalimantan Selatan,Januari
7,telunjukraung,2021-01-14 06:59:33+00:00,Vaksin ada yg tablet atau sirup aja gasih?,Kalimantan Selatan,Januari
8,Rezel_N,2021-01-14 06:43:42+00:00,"Ngene lo rek, lek kate vaksin yo vaksino, lek gak gelem yo wes tapi lek kenek corona ojok nyalahne pemerintah perkoro kenek corona",Kalimantan Selatan,Januari
9,whygrz,2021-01-14 00:57:06+00:00,"Vaksin, manurut saya seharusnya pasien yang terjangkit atau sedang atau di rawat di RS yang dinyatakan covid-19, tapi knp yang tidak terjangkit atau hasil swab, atau rapid antigen negatif harus di vaksin? Apakah udah di uji coba efeknya kedepan bagaimana?

#vaksincovid19",Kalimantan Selatan,Januari
