,username,date,content,user_location,bulan
0,tshakhair_,2021-01-29 23:34:55+00:00,Menteri Malaysia ni semua anti-vaksin ke?,Kalimantan Tengah,Januari
1,MCsumenep,2021-01-29 23:19:48+00:00,aparat keamanan jaga ketat 73 vaksin covid 19 di kecamatan dasuk @sumenepkab https://t.co/0qSLD2ri8v #sumenepkab https://t.co/SzR7AfsHsb,Kalimantan Tengah,Januari
2,ipoksamidub,2021-01-29 22:35:04+00:00,"ya sudahlah ya dok, atau gimana ? vaksin skg tahap awal trus berikutnya dan masih perlu re vaksin agar gak bermutasi lagi, disini vaksin sekali aja kayak lagi ikutan GA, susah dapetnya
 @bogipratomo @rulliendo @cak_sugenk @celkop @romelwijaya @yusufgunawan https://t.co/v2WYJIDrxQ",Kalimantan Tengah,Januari
3,rapriprup,2021-01-29 20:50:03+00:00,Abis itu suntik vaksin 🤣 https://t.co/X8z10hp18n,Kalimantan Tengah,Januari
4,SueKelola,2021-01-29 19:23:16+00:00,"Jap sambung, Arsenl ni kalau sejenis projek dekat Malaysia, confirm rakyat sini dah bising. Ibaratnya, baik bubar je lah. Membazir bukan ada harapan pun, baik buat beli vaksin.",Kalimantan Tengah,Januari
5,gitatagitha_,2021-01-29 18:56:35+00:00,@DebbyMartaAnggr @Oct24th Tapi aku entuk vaksin soko endi 😭😭,Kalimantan Tengah,Januari
6,NKRISAMPAIMATI,2021-01-29 18:31:01+00:00,"@AhYanuar @masgung1973 @122_pratama @TirtoID @jokowi Pak anda pakai kata ""Indon"" apa maksudnya? Anda orang Malaysia kah? Kalau anda Malaysia apakah anda iri dengan kami, sebab Pemerintah China lebih pilih Indonesia kasih vaksin drpd ke Malaysia. Mentri2 dan Diplomat negara anda kurang gesit.",Kalimantan Tengah,Januari
7,ZoeFinnn,2021-01-29 17:55:07+00:00,"Vaksin tak percaya, whatsapp status scammer caya 🤣",Kalimantan Tengah,Januari
8,Shuhadasam,2021-01-29 17:33:09+00:00,@gugurlroslan So kau mesti tak percaya vaksin kan gurl ? Hahahaha ksjdahsjsjaksk,Kalimantan Tengah,Januari
9,Iostyoungster,2021-01-29 17:26:08+00:00,"Mpo gua udah pada vaksin, ngikut ga ye",Kalimantan Tengah,Januari
10,Martabak_teloor,2021-01-29 17:08:47+00:00,"@kochenglokallll Selama makanan nya, gak makan sembarangan.. Dan di vaksin sih, okay ajaaa",Kalimantan Tengah,Januari
11,palpresofficial,2021-01-29 16:39:48+00:00,"SUMSEL 24 JAM | RAME-RAME PEJABAT DAN NAKES DIVAKSIN, INGATKAN PROTOKOL KESEHATAN

https://t.co/DMFGeKFX6c

SUMSEL 24 JAM 29 JANUARI 2021

GUBERNUR SUMSEL HERMAN DERU BARENG FORKOPIMDA DIVAKSIN COVID-19 DOSIS KEDUA 
WAKO PRABUMULIH DIVAKSIN COVID-19

#VaksinasiNasional 
#Vaksin https://t.co/8RELbVQPTR",Kalimantan Tengah,Januari
12,michaellensun,2021-01-29 16:19:27+00:00,Penerima vaksin pertama di boltim. Ayo vaksin jangan takut... https://t.co/JjGGUBMh8T,Kalimantan Tengah,Januari
13,buburgadiaduk_,2021-01-29 16:02:36+00:00,@wirawan411 Jangan jangan selama ini kita vaksin online (?),Kalimantan Tengah,Januari
14,sita_diandian,2021-01-29 15:54:01+00:00,"@KhumaidiZakki @chsstea Mas skrg baby kl g d vaksin dluar wjib pmrinth tu resiko bgt,krna dunia kita sdh tdk sehat lg. Pervaksin tau g hrga brpa? Bs 300-1 jta dn tu kdg sebulan ada 2/3 vaksin dluar wjib pmrinth yg gratis it,mskipn pilhn ortu mau kasi atau g. Jd baiknya nabung utk hidp 1 thn prtma anak",Kalimantan Tengah,Januari
15,BudzPrasetyo,2021-01-29 15:49:11+00:00,@FirzaHusain Kalau vaksin cinta ada gak ya? Hehe.,Kalimantan Tengah,Januari
16,an_afdhal,2021-01-29 15:45:43+00:00,"J.B TIDAK MAHU
JADI BODOH IKUT
PERINTAH DARURAT &amp; PKP
#BANTAHDARURAT
#BANTAHPKP
#SIBODOHKAUDENGARSINI
SEGERAKAN #VAKSIN https://t.co/tq6x6b7zbH",Kalimantan Tengah,Januari
17,NKRISAMPAIMATI,2021-01-29 15:37:56+00:00,"@Ignora19 @Uhuy33829352 @underp8adjunct @masgung1973 @TirtoID @jokowi Maksudnya apa sih? Turki membatasi masyarakatnya tapi tidak ada lockdown juga tetap bisa masuk turis2nya. Pemerintah Turki mengharapkan kedisiplinan warganya. Patroli polisi dimana2. Ekonomi tetap harus berputar, kalo tdk maka akan resesi. Vaksin di Turki juga sama Sinovac.",Kalimantan Tengah,Januari
