,username,date,content,user_location,bulan
0,aristiyan99,2021-01-29 03:50:31+00:00,Abis di Vaksin bisa berubah jadi Titan https://t.co/LJ5kscJ66j,Kalimantan Timur,Januari
1,aristiyan99,2021-01-29 02:28:49+00:00,Alhamdullilah sudah Vaksin.. https://t.co/zkso7weHvl,Kalimantan Timur,Januari
2,danielradjaguk,2021-01-28 15:00:39+00:00,Habis dapet vaksin pertama sy merasa upil saya lebih banyak dari biasanya.. #kipi?,Kalimantan Timur,Januari
3,hudattamini,2021-01-28 00:00:36+00:00,"@FaGtng @Aryprasetyo85 @kemendagri Jadi Vaksin Covid itu adalah virus Covid yg sdh dilemahkan dan disuntikkan kedalam tubuh kita agar membentuk Antibodi tubuh kita, makanya orang yg di Vaksin harus sehat agar Vaksinnya Efektif tdk jadi Bumerang, Vaksin SAMA SEKALI BUKAN OBAT ...!",Kalimantan Timur,Januari
4,IinIndriawiati1,2021-01-27 06:29:04+00:00,"Aku sih belum mau di vaksin ..
Ntar aja belakangan katanya .

Tak lama grup wa ramai untuk diskusi rute bersepeda pada hari Minggu .

Kenapa ya.   
Susah bener untuk  saling menjaga .",Kalimantan Timur,Januari
5,bomangco,2021-01-26 11:51:31+00:00,"gw smpe sekarang masih gak ngerti jeleknya vaksinasi mandiri ini dimana...

comerciallization ujung2nya yang di vaksin kan orang indo juga.. bedanya lebih cepet aja.. 

belum efek multiplikasi optimisme ketika vaksinasinya jadi lebih cepet.. per hari ini aja belum 200k... 😭 https://t.co/SwXRc8bAGD",Kalimantan Timur,Januari
6,hudattamini,2021-01-26 06:03:47+00:00,@Namaku_Mei @firdzaradiany Vaksin melindungi orang sehat dari terinveksi virus ..... Sedangkan Obat diberikan untuk mengobati orang sakit ...... Jelas beda ... !!,Kalimantan Timur,Januari
7,poteker_dimas,2021-01-25 07:43:19+00:00,Aku ke sesama panitia vaksin di RS: https://t.co/cpPXH2dvfv,Kalimantan Timur,Januari
8,hudattamini,2021-01-24 04:14:56+00:00,@MrsRachelIn @ganjarpranowo @jpnncom Liat tuh Anies .... Bilang covid isolasi mandiri 28 hari agar bisa istirahat makan tidur ..... Ketahuannya ketika Ibu Risma bincang2 dg tuna wisma langsung sembuh dan katakan bahwa siap untuk Vaksin Covid pertama pdhl yg sdh terinveksi covid TDK BOLEH VAKSIN.,Kalimantan Timur,Januari
9,hudattamini,2021-01-23 12:39:32+00:00,@Cintada16 Tanyakan aja ke Nakes yg di Vaksin ....... Adakah waktu di Vaksin ada ditanamkan Chip .... ??? 😛😛😛😝,Kalimantan Timur,Januari
10,hudattamini,2021-01-23 06:27:59+00:00,@mochamadarip Hanya orang super gila yg mengatakan ada microchip di Vaksin covid .... Tdk dijelaskan karena sangat mustahil ada microchip ..... Kalo ada yg bertanya maka yg bertanya itu manusia goblok .... Kok Vaksin ada microchip .... Itu goblok berat ...!,Kalimantan Timur,Januari
11,hudattamini,2021-01-23 06:15:13+00:00,"@Inagande Dikiranya gampang tanam chip ....?? Jadi hal Super Goblok tanam Chip ini tidak usah dijelaskan KARENA TIDAK MUNGKIN, hanya orang super gila yang percaya ..... Nakes yg Vaksin pun pasti tdk bisa tanam Chip .... Itu yg ngomong pasti Manusia super Goblok.",Kalimantan Timur,Januari
12,Wuzzz11,2021-01-15 09:46:18+00:00,"Ada vaksin ribut, gak ada vaksin ribut

Blok!",Kalimantan Timur,Januari
13,hudattamini,2021-01-15 07:01:58+00:00,@Ar1Pangeran @Tonga_Nixon @MataNajwa @NajwaShihab Kenapa pertanyaan @NajwaShihab pertanyaan idiot : 1). Tidak mungkin seorang Presiden mau memprank rakyatnya dan ditonton seluruh Dunia dg pura2 disuntik Vaksin Covid  2) Tidak mungkin seorang Prof.  dan Guru Besar mau disuruh melakukan penipuan seperti itu.,Kalimantan Timur,Januari
14,YustinaSari_Ina,2021-01-14 04:36:12+00:00,Lagian kenapa ga minta artis lain cem Reza Rahadian atau Nicholas Saputra aja sih yg di vaksin duluan 💁🏻‍♀️,Kalimantan Timur,Januari
15,hudattamini,2021-01-14 01:56:37+00:00,@4dit14_P Goblok....  Di persyaratan sangat Jelas yg tdk boleh Divaksin adalah no.1 : Yg sdh pernah TERINFEKSI COVID19.....!!!  nah Si Anies mau Jadi Orang pertama di Vaksin  artinya dia tidak ngerti apa yg dia ucapkan atau yg Diisolasi Mandiri sebulan itu tdk Covid.,Kalimantan Timur,Januari
