,username,date,content,user_location,bulan
0,Wahyu_New,2021-07-10 09:30:24+00:00,@PLindungi Saya sudah vaksin pertama kenapa belum ada sertifikatnya ya?,Kalimantan Utara,Januari
1,jnny_eny,2021-07-10 03:16:33+00:00,"Ini Dua Jenis Vaksin yang Diklaim Efektif Cegah Mutasi Virus Corona India
https://t.co/ebWObfazTt
Yuk Disiplin PPKM",Kalimantan Utara,Januari
2,Rianhidayat_77,2021-07-10 02:12:22+00:00,"94 Persen Vaksin Pfizer Efektif Cegah Infeksi Covid-19 Tanpa Gejala
https://t.co/fEdrpmyw08

Yuk Disiplin PPKM https://t.co/pjjNbYOZ5h",Kalimantan Utara,Januari
3,pmikotatarakan,2021-07-04 11:49:16+00:00,"MANFAAT PENTING VAKSINASI COVID-19

Ada Program vaksinasi Covid-19 dari Pemerintah dan jangan lupa setelah vaksin tetap mematuhi protokol kesehatan https://t.co/o7brgoKWd8",Kalimantan Utara,Januari
4,DeanAndre16,2021-06-26 01:10:28+00:00,"Vaksin dan prokes 5M guna mencegah covid-19 dan menekan lonjakan covid-19

Disiplin Atasi Pandemi https://t.co/W0QMomEkCQ",Kalimantan Utara,Januari
5,SuaraRakyat46,2021-06-25 00:54:10+00:00,"Vaksin COVID-19 masih efektif tangkal varian apha dan Delta

Damai Indonesiaku https://t.co/NrAKxLgTiP",Kalimantan Utara,Januari
6,Nia24943825,2021-06-25 00:52:13+00:00,"Jokowi Terbitkan Aturan Denda dan Pidana Warga Penolak Vaksin Corona 
Damai Indonesiaku
https://t.co/Qf2Nyfk7YV",Kalimantan Utara,Januari
7,Rianhidayat_77,2021-06-23 01:34:25+00:00,"Vaksin dilakukan untuk mewujudkan kekebalan kelompok cegah covid-19

Bersatu Lawan Covid19 https://t.co/Y4DWlfsMQY",Kalimantan Utara,Januari
8,stellacardosoma,2021-06-21 00:26:41+00:00,"Ayo vaksin dan terapkan selalu prokes 5M.
NKRI Selalu Dihati https://t.co/Y2djlIGha9",Kalimantan Utara,Januari
9,Arni80482757,2021-06-19 02:37:03+00:00,"Panglima TNI: TNI-Polri Dukung Program Satu Juta Vaksin Perhari Dengan Tetap Terapkan Prokes 5M

NKRI Damai
https://t.co/1EOh3btoua",Kalimantan Utara,Januari
10,lanagdua3,2021-06-19 01:56:02+00:00,"Patuhi protokol kesehatan lakukan vaksin untuk pencegahan. 
NKRI Damai https://t.co/fV9vTIw5Ad",Kalimantan Utara,Januari
11,Lanang224,2021-06-18 00:08:32+00:00,"Vaksin melindungi masyarakat dari pandemi virus corona. 
Tanah air Beta https://t.co/o3BOz2aXwP",Kalimantan Utara,Januari
12,TAnanstasia,2021-06-17 00:56:59+00:00,"Minimal kita memperketat prokes dan jangan lupa vaksin.
Bangsa Kuat https://t.co/2lgvL2dYW0",Kalimantan Utara,Januari
13,Arni80482757,2021-06-17 00:29:25+00:00,"Ayo vaksin

Bangsa Kuat https://t.co/Jp5gphG6Hc",Kalimantan Utara,Januari
14,_samaraporto,2021-06-17 00:21:34+00:00,"Yuk vaksin untuk mengurangi potensi terjangkit Covid-19
Bangsa Kuat https://t.co/n8QTtoOkqP",Kalimantan Utara,Januari
15,AliFarizal2,2021-06-14 01:59:22+00:00,"Ayo sukseskan vaksin

Jaga Nusantara https://t.co/5ggz4n2ytw",Kalimantan Utara,Januari
16,Cahaya39710020,2021-06-11 15:40:59+00:00,"Masyarakat harus waspada terhadap varian baru Covid-19 dengan melakukan pencegahan melalui vaksin dengan didukung disiplin protokol kesehatan 5M.
Tolak Provokasi https://t.co/iFYy0CIXBS",Kalimantan Utara,Januari
17,Cahaya39710020,2021-06-11 05:32:14+00:00,Ayo vaksin gaeess biar lebih kuat imunnya https://t.co/ynrJogSpSr,Kalimantan Utara,Januari
18,Cahaya39710020,2021-06-10 02:12:15+00:00,"Validasi WHO menunjukkan kalau pemerintah tidak salah dalam memilih vaksin.

Disiplin Prokes 5M https://t.co/xOamGTz7z6",Kalimantan Utara,Januari
19,Putra11445851,2021-06-08 09:12:23+00:00,"Kelangkaan vaksin menjadi salah satu alasan mengapa Arab Saudi belum memutuskan kuota jemaah haji untuk Indonesia.
Dana Haji Terjamin
@jokowi  @YaqutCQoumas  @Kemenag_RI https://t.co/MEJ29FczxM",Kalimantan Utara,Januari
