,username,date,content,user_location,bulan
0,ZULFIKA72040657,2021-01-24 14:50:42+00:00,kalo sudah divaksin. apa boleh gak pake masker. terus apa boleh berkerumun. terus apa perlu jaga jarak.. kalo masih blm boleh.. apa tujuan vaksin.. tolong yg ngerti kasih info dong...,Kepulauan Bangka Belitung,Januari
1,LangitBabel,2021-01-11 12:00:28+00:00,"Selamat atas lobby bu menteri luar negeri @Menlu_RI , Vaksin Covid19 Gratis dari WHO Kepada Indonesia nampaknya akan segera terealisasi.. https://t.co/J2nYVatf0C",Kepulauan Bangka Belitung,Januari
2,ZULFIKA72040657,2021-01-08 17:59:15+00:00,tinggal diumumkan aja.. vaksin kandungannya berasal dari apa..???. tinggal ngomong doang di tv bentaran doang... susah amat.. apa jangan2 gak tau terbuat dari apa.. kayak beli kucing dalam kontainer...,Kepulauan Bangka Belitung,Januari
3,ZULFIKA72040657,2021-01-08 17:56:56+00:00,kenapa kandungan vaksin gak disebutkan asalnya dari apa. kenapa gak diumumkan aja jika memang kandungannya halal. rakyat jadi bertanya tanya,Kepulauan Bangka Belitung,Januari
0,Idrisaffandi17,2021-02-11 04:04:52+00:00,"done vaksin ke-2
semoga sehat selalu https://t.co/JsfsAX0OFB",Kepulauan Bangka Belitung,Februari
0,Henryco_SPM,2021-03-22 07:33:09+00:00,"lah sudeh vaksin Covid-19

tapi tetap..
Rajin cuci tangan
Pake masker
Jaga jarak
Tidak mendekati kerumunan
Batasi mobilitas

rakyatnya sehat
ekonominya kuat @ Upt. Puskesmas Kacang Pedang https://t.co/oUfg0a2WhQ",Kepulauan Bangka Belitung,Maret
0,yurikomartha,2021-04-09 04:33:05+00:00,Pangkalpinang kok blm ada jadwal vaksin ya. Kantor laki w udah balik lg byk suspek. Ngeri coy.,Kepulauan Bangka Belitung,April
0,asisi3009,2021-07-10 06:04:20+00:00,"@esawinda @Beritasatu Sy dah h5 isoman. Pcr h2, drumah gak dikasih apa, am org pkm. Pdhl saya ad batuk pusing dll. Minimal obatla. Untuk udh ke dokter h1. Pdhl gak terlalu rame yg kena . Ap sibuk vaksin gak thlah",Kepulauan Bangka Belitung,Mei
1,disca08,2021-07-10 03:01:21+00:00,"@fruittea_yoong Dpt kartu/kertas selesai vaksin kmrn gk?
Kalo dpt coba hubungi no yg ad di kartu itu.
Kmrn"" aku gitu juga soalnya",Kepulauan Bangka Belitung,Mei
2,Aisyah_Embul,2021-07-10 02:53:11+00:00,Mari Vaksin. Untuk menghindari penularan covid. Yuk Disiplin PPKM https://t.co/pqjQO4KCA2,Kepulauan Bangka Belitung,Mei
