,username,date,content,user_location,bulan
0,DokMartin8,2021-01-29 08:46:44+00:00,"@CabulSetengah Ayo kita vaksin,jangan ragu...",Kepulauan Riau,Januari
1,DokMartin8,2021-01-28 10:41:44+00:00,@CabulSetengah Ayo vaksin...jgn ragu,Kepulauan Riau,Januari
2,rianJebotriadi,2021-01-27 08:52:26+00:00,"Kalau benar vaksin bisa naikin berat badan, sini aku barisan paling depan.",Kepulauan Riau,Januari
3,DokMartin8,2021-01-26 13:54:37+00:00,@CabulSetengah Vaksin pastinya...,Kepulauan Riau,Januari
4,DokMartin8,2021-01-25 07:57:14+00:00,@CabulSetengah Ayo kita vaksin...,Kepulauan Riau,Januari
5,frp_nata,2021-01-15 14:42:52+00:00,"Dunia kejam ya. Mau jual vaksin aja harus sebar berita penyakit wabah dunia.
Waw.",Kepulauan Riau,Januari
6,Stupidrain,2021-01-15 05:51:34+00:00,"Semoga dgn adanya program vaksinasi Covid-19 ini jg diiringi dengan peningkatan kualitas fasilitas rantai dingin dan kompetensi petugas, sehingga mutu vaksin tetap terjaga, dan program vaksinasi dapat berjalan dengan lancar dan sukses.",Kepulauan Riau,Januari
7,UcupCarrick,2021-01-15 03:47:24+00:00,"Vaksin anti-Jinx nonton emyu...
@mayarararocks juga nih... https://t.co/Cqg7jpuEqh",Kepulauan Riau,Januari
8,reza_fadh,2021-01-15 02:31:39+00:00,"@RoysonZain Masi bang..anak2 d skola d vaksin jg,cm d inform dl ke ortu ny",Kepulauan Riau,Januari
9,candrabuds,2021-01-15 00:17:59+00:00,@widiantarimd Sehat kok gk perlu vaksin wkwk,Kepulauan Riau,Januari
10,Stupidrain,2021-01-14 10:19:23+00:00,"Lebih percaya anggota DPR yg nolak vaksin drpd anjuran Kemenkes, BPOM, organisasi profesi, dan pakar?",Kepulauan Riau,Januari
11,reza_fadh,2021-01-13 10:49:24+00:00,@FKadrun Bsk insyaallaah pembuktiannya bang...gw sndiri yg buktiin..bsk jdwal gw vaksin...😁,Kepulauan Riau,Januari
12,DokMartin8,2021-01-13 05:02:41+00:00,"Vaksin covid -19 Sinovac  pertama diberikan kepada bapak presiden Joko Widodo,dilakukan oleh wakil ketua Dokter Kepresidenan ,Prof Dr Abdul Muthalib.

Sukseskan vaksin covid -19 Sinovac ,semoga sehat semua rakyat Indonesia
Vaksin Sinovac https://t.co/wSXJoD6S6i",Kepulauan Riau,Januari
13,baiim_ibrahim,2021-01-12 11:44:03+00:00,Semoga semuanya sehat selalu dan segera pulih dunia dengan vaksin yang membuat imun tubuh meningkat..,Kepulauan Riau,Januari
14,baiim_ibrahim,2021-01-12 11:41:30+00:00,"Dulu waktu masih balita mungkin klau bayi bisa ngomong mungkin nolak yaa waktu di vaksin🤣🤣
Sampai skrng besar msh kerasa takut sama jarum suntik soalnya banyak yg nolak vaksin 🤣🤣
Dulu waktu bayi di vaksin pasti ada efek sampingnya demam, yg ruam merah, mungkin alergi jg 😅",Kepulauan Riau,Januari
15,Riskaoktaa,2021-01-11 03:54:05+00:00,"Vaksin utk dewasa, sedang kalo bayi disebut imunisasi ya.
Jadi kita nggak tau nih penyakit sekarang berevolusinya gimana. Kalo ada yg ngomong “dulu nggak imunisasi juga nggak apa”
Liat angka kematiannya ya syg, makin kesini makin sedikit kok. Karna ilmu yg makin berkembang 🤗",Kepulauan Riau,Januari
16,Riskaoktaa,2021-01-11 03:49:52+00:00,"Kalo ngomongin vaksin, malas banget aku debat.. yasudah anakmu ya bukan anakku. Nggak divaksin juga nggak masalah hehehe",Kepulauan Riau,Januari
17,khrsmarf,2021-01-11 01:53:28+00:00,kalau kena vaksin berati total panjangnya bisa sampai tiga meter setengah nih https://t.co/XIijqdsvWH,Kepulauan Riau,Januari
18,ree_daffodil,2021-01-05 04:23:11+00:00,Vaksin covid udah nyampe kepri,Kepulauan Riau,Januari
19,reza_fadh,2021-01-01 11:02:23+00:00,"@KING__VADUKA Nti bang klo pas vaksin,kita di wakili mreka utk divaksin produk pfizer,kita yg d wakilin cukup sinovac aj",Kepulauan Riau,Januari
0,DonJuanOgie,2021-02-26 09:29:44+00:00,@03__nakula @Cintada16 @kangmirdja @satriawirang18 @leonsys0305 @Liz3b3d @me_zhu__Yusra @langityang7 @Lucky_HS @LinNasution Tolong fotoin wartawan @tempodotco @geloraco dkk ya klo di vaksin nanti,Kepulauan Riau,Februari
1,DokMartin8,2021-02-26 08:57:32+00:00,@CabulSetengah Mantap informasinya...ayo vaksin,Kepulauan Riau,Februari
2,DokMartin8,2021-02-20 14:11:47+00:00,@CabulSetengah Ayo vaksin....,Kepulauan Riau,Februari
3,DokMartin8,2021-02-20 14:11:23+00:00,@CabulSetengah Ayo vaksin...,Kepulauan Riau,Februari
4,DokMartin8,2021-02-20 14:10:59+00:00,@CabulSetengah Ayo vaksin,Kepulauan Riau,Februari
5,DokMartin8,2021-02-20 14:10:41+00:00,@CabulSetengah Ayo vaksin,Kepulauan Riau,Februari
6,Okta04101990,2021-02-18 09:20:47+00:00,"Ayo Kenali Manfaat Vaksin Covid 19
.
#HumasPoldaKepri
#PoldaKepri #Multimediapoldakepri #Adaptasikebiasaanbaru #LawanCovid19
#Kepri
#Indonesia #DisiplinBersamaPolri
#Polripresisi https://t.co/kPe0cuxNSF",Kepulauan Riau,Februari
7,DokMartin8,2021-02-16 08:14:10+00:00,@CabulSetengah Mantap...ayo vaksin,Kepulauan Riau,Februari
8,DokMartin8,2021-02-12 11:04:27+00:00,@CabulSetengah Ayo kita vaksin...,Kepulauan Riau,Februari
9,DokMartin8,2021-02-11 10:00:20+00:00,@CabulSetengah Ayo vaksin...,Kepulauan Riau,Februari
10,DokMartin8,2021-02-09 09:10:08+00:00,@CabulSetengah Ayo vaksin...,Kepulauan Riau,Februari
11,faggherita,2021-02-08 11:39:15+00:00,"Kasian ya anak daerah, direndahkan dalam dating/friendship pool, terus dianggap kurang pantas pula diprioritaskan untuk mendapatkan vaksin. Padahal juga sumber virus di daerah juga datangnya dari pusat 🙄",Kepulauan Riau,Februari
12,DokMartin8,2021-02-05 07:36:42+00:00,@CabulSetengah Ayo vaksin...,Kepulauan Riau,Februari
