,username,date,content,user_location,bulan
0,rizkyalfian1208,2021-07-10 14:28:05+00:00,"@kegblgnunfaedh Tapi,emangnya kalo udah vaksin,lockdown,psbb,ppkm dsb ngga bisa kena covid lagi?",Lampung,Januari
1,muhamadotib,2021-07-10 12:40:10+00:00,@Hilmi28 Kita mah masih sibuk beli vaksin... Karena kalau ga gitu ga ada alesan ke rakyat bahwa pandemi ini banyak pengeluaran yang bikin negara kita bangkrut...,Lampung,Januari
2,Mirdasptn,2021-07-10 12:31:23+00:00,"@hibooran Waktu vaksin pertama gak ada rasa apa apa pas di suntin dan ga ada efek apa apa setelah nya, ga ngantuk ga laperan dan ga pegel juga, sehari setelah nya baru deh bekas suntikan nya berasa agak nyeri pegel gitu. Nah waktu kmren vaksin ke 2 nya  itu pas di suntik aja udh brasa skit",Lampung,Januari
3,Anjaswisesa_K,2021-07-10 11:51:09+00:00,@PutuEkaLes @AREAJULID Di bandar Lampung vaksin rabies udh langka dari puskeswan sampe tempat dokter hewan. Pada kosong,Lampung,Januari
4,Anjaswisesa_K,2021-07-10 11:38:48+00:00,@borntobestub Aku. Ih dimana mau vaksin disana aja,Lampung,Januari
5,puttdarr,2021-07-10 10:24:04+00:00,"Aku yg abis vaksin, ibu yg sibok
Yg beli vitamin lah, paracetamol, sampe tb2 dibuatin teh anget",Lampung,Januari
6,syifa_fwz,2021-07-10 09:37:09+00:00,"@wijanarkos @DalamIstana Sama kaya cuitan dia yang ini.

Om odi jawab pertanyaan @Fitri28874398  soal suntik beda vaksin. Maka dijawab sama om odi. Soal suntik beda vaksin silahkan di konsultasi dulu.

Ati2 diserang balik mas sama om @DalamIstana
Karna gagal faham dan ngegas 🤣🤣

https://t.co/ciRSqrUWaJ https://t.co/80GwSsbJx7",Lampung,Januari
7,syifa_fwz,2021-07-10 09:29:50+00:00,"@wijanarkos @DalamIstana Menurutku om @DalamIstana bukan nyuruh orang anti vaksin. Yang dia kritik itu pemerintah, kalo saja pemerintah punya tekad kuat basmi pandemi, sesulit apapun itu akan diperjuangkan Mau cole chain atau apapun itu rintangannya. 
Pemerintah pakai vaksin sinovac karna ada sesuatu"". https://t.co/wLv3xDldYb",Lampung,Januari
8,lampostco,2021-07-10 09:17:20+00:00,"Pemerintah akan melakukan program vaksinasi ketiga (booster) untuk 1,47 juta nakes yang bekerja di garis terdepan dalam penanganan covid-19 mulai pekan depan.
#Vaksin #VaksinasiCovid19 #vaksincovid19 #lampostco
#airlanggahartarto #lampostco
https://t.co/fKZxz8PF9Z",Lampung,Januari
9,dyahNeZza,2021-07-10 07:36:36+00:00,Yuk bantu RT supaya sampai ke yg blom vaksin🙏 😊 https://t.co/24KyHOKXr4,Lampung,Januari
10,rainbowulalaa,2021-07-10 06:29:24+00:00,"dulu pada ga mau, sekarang buat rebutan
-vaksin",Lampung,Januari
11,SarwonoHugu,2021-07-10 06:21:34+00:00,"@eko_kuntadhi Yg bikin heran,Vaksin datang dari luar negri dikawal  ketat arak arakan TNI dan Polri,saat pengirian ke daerah jg sama seperti mengamankan kotak suara pemilu tp vaksin masa begitu disampai dan dan disimpan dibiarkan begitu saja gak ada yg yg jaga,sehingga bisa kebakaran,aneh",Lampung,Januari
12,bnpermadi,2021-07-10 04:58:57+00:00,"Sabar dulu yekan mau pulang pun gabisa, belum vaksin.",Lampung,Januari
13,JOINLampung,2021-07-10 04:31:56+00:00,"@LsOwien Bukankah vakainasi memiliki berbagai syarat dok, kalau sdg mengalami penurunan imunitas sebaiknya ditunda utk vaksin?",Lampung,Januari
14,puttdarr,2021-07-10 01:07:27+00:00,"Untung ibuku walau blm vaksin, dia ga kemakan hoax tetangga",Lampung,Januari
15,ayiphotography,2021-07-09 20:13:36+00:00,"jadi vaksin yg sekarang gak ampuh?

 https://t.co/6f8v2Sudj2",Lampung,Januari
16,muhamadotib,2021-07-09 19:28:03+00:00,@Kanseulir Maksudnya... Ayolah vaksin... Kalau tidak vaksin... kasihan para bandar vaksin... Sudah beli tapi tidak untung...,Lampung,Januari
17,xxi2209,2021-07-09 18:53:29+00:00,"@riizkyaji Kak maaf yg tau dong aku ada riwayat alergi obat, boleh vaksin ga si ya? Mau vaksin aku maju mundur huhu",Lampung,Januari
18,fakingpusi,2021-07-09 16:22:18+00:00,@pacarmuslamanya @lampungbase Tp kalo ditolak karena ktp bukan balam gimana dong? Padahal vaksin pertamanya disitu,Lampung,Januari
19,yuridaakbarr,2021-07-09 14:54:23+00:00,"@KemenkesRI Sertifikat vaksin ibu saya tidak muncul, sudah menghubungi via telfon dan email tidak ada jawaban. Tolong beri solusinya min. Terimakasih",Lampung,Januari
20,windameidhitaa,2021-07-09 14:12:21+00:00,"@destryangryana Efek itu tergantung orangnya sih, di aku nih vaksin 1 dan 2 april lalu ngaruh pegel sama ngantuk doang. Semangat, kak! 🤗",Lampung,Januari
21,Tukangmagerr_,2021-07-09 13:26:10+00:00,Kok semenjak vaksin perut gua laperan mulu si😌,Lampung,Januari
22,Krisnamaharandi,2021-07-09 12:33:30+00:00,"@aalmasih Analogine yo rak ngunu.. nek ppkm/lockdown yang rugikan kabeh.. wong cilik pedagang, negarapun jebol.. ppkm ekonomi gak jalan, vaksin apbn jebol.. solusi terbaik.. covid tidk usah di catat hahaha",Lampung,Januari
23,Anjaswisesa_K,2021-07-09 11:08:18+00:00,@asdfckin Nah iya kuota vaksin terbatas belum  lagi ada yang emang bener main mata. Padahal masyarakat lagi meningkat keinginan untuk vaksinnya. Kalo ga kamu main mata juga aja minta tolong temen yg di rs,Lampung,Januari
24,bayudputraa,2021-07-09 11:04:52+00:00,"mau vaksin aja ada waktunya yg tepat, apalagi ngelepasin.",Lampung,Januari
25,Anjaswisesa_K,2021-07-09 10:52:55+00:00,Nah tuh makanya vaksin https://t.co/ThsibLYBj7,Lampung,Januari
26,Krisnamaharandi,2021-07-09 10:18:03+00:00,"@aalmasih Laiya di haruskan pake helm ya gpp.. pointnyakan kecelakan akan tetep terjadikan.. mau pake helm, pake baju astronot, pake js hujan.. intne kalo sdh di vaksin tetep bnyak yg msh positip bakal di catet teruss... ppkm darurat kuadrat maning",Lampung,Januari
27,Isnanto_ardians,2021-07-09 10:15:03+00:00,@jawafess Gadekne sertifikat vaksin nggo tukur mahar lurs,Lampung,Januari
28,hanifffhh,2021-07-09 09:22:47+00:00,Pengen vaksin,Lampung,Januari
29,myunnur_,2021-07-09 09:04:07+00:00,"@sayonayaaa Klu aku pribadi enggak ada efek demam sih kk,  paling cuma laper aja kak,  soalnya aku vaksin pas puasa 😁",Lampung,Januari
30,JOINLampung,2021-07-09 06:51:54+00:00,"@FaheemYounus Upaya rakyat untuk meningkatkan imunitas kali dok, sambil meminum obat dari dokter dan menunggu vaksin ...!",Lampung,Januari
31,Krisnamaharandi,2021-07-09 06:21:41+00:00,@aalmasih Yaaa bener dudul.. emng helm gak akan menghentikan kecelakaan ... sama kyk vaksin .. piye to 😆🤣🤣,Lampung,Januari
32,IndonesiaSehatt,2021-07-09 05:23:50+00:00,"Vaksin Covid-19 Untuk Anak Aman

#BersatuLawanCovid19
#NegeriPulihDenganVaksin https://t.co/hOHB3LCLip",Lampung,Januari
