,username,date,content,user_location,bulan
0,Pro1Ambon,2021-01-15 01:28:48+00:00,"Halalnya Vaksin Covid 19

#IndonesiaTatananKehidupanBaru @ Rri Ambon https://t.co/ajhOOIiGCt",Maluku,Januari
0,ambontribunnews,2021-07-10 11:42:01+00:00,"Komite Keamanan Obat Eropa Sebut Vaksin Pfizer dan Moderna Berisiko Munculkan Peradangan Jantung
 
https://t.co/hf5vs463Ow",Maluku,Februari
1,ndhfayu,2021-07-10 05:26:24+00:00,kalo emang gakbisa vaksin ya pake keterangan dokter. goblok bgt si heran,Maluku,Februari
2,ambontribunnews,2021-07-10 00:23:43+00:00,"Kata Menlu, Indonesia Telah Amankan Lebih dari 119 Juta Dosis Vaksin Covid-19
 
https://t.co/nQ63a4T9TV",Maluku,Februari
3,LalaLia52297083,2021-07-09 13:14:32+00:00,PPKM &amp; VAKSIN membunuh rakyat secara perlahan lahan #LengserkanPakLurah #lengserkanJokowi,Maluku,Februari
4,ambontribunnews,2021-07-09 07:24:53+00:00,"Pelaku Perjalanan Namlea – Ambon Wajib Tunjukkan Kartu Vaksin dan Keterangan Negatif Rapid Antigen
 
https://t.co/cZxTVntgED",Maluku,Februari
5,BanyMuammar,2021-07-09 03:51:32+00:00,"#BersatuLawanCovid19
#NegeriPulihDenganVaksin
#LawanCOVID19
#Vaksin
#NewNormal
#IndonesiaPulih https://t.co/ksBTUjyLGz",Maluku,Februari
6,m_rahantan,2021-07-08 23:42:08+00:00,"Corona semakin Meningkat banyak yg mati.vaksin udh dua kali masi terpapar.Rakyat tidak percaya lagi Pemerintah Gagal.
pak @jokowi Mundur aja ini kata pak @mohmahfudmd
https://t.co/3hDMQallGc",Maluku,Februari
7,ambontribunnews,2021-07-08 07:54:07+00:00,"Uji Klinis Sinovac Bakal Diperpanjang untuk Teliti Masa Proteksi Vaksin
 
https://t.co/H7L7zHE39u",Maluku,Februari
8,ambontribunnews,2021-07-08 07:53:52+00:00,"Australia Beri Bantuan Oksigen, Ventilator, hingga Vaksin AstraZeneca ke Indonesia
 
https://t.co/RsABeccqpd",Maluku,Februari
9,ambontribunnews,2021-07-08 07:49:02+00:00,"Hari Pertama PPKM, Pelaku Perjalanan Lewat Jalur Laut Ambon Wajib Punya Surat Vaksin
 
https://t.co/cPlC4EbShd",Maluku,Februari
10,DMS_AMBON,2021-07-08 06:06:32+00:00,"Brazil Izinkan Uji Klinis Vaksin Butanvac Untuk Digunakan Sukarelawan
https://t.co/FEwpammhrP",Maluku,Februari
11,ambontribunnews,2021-07-07 11:09:53+00:00,"Pelaku Perjalanan Jalur Laut dari Ambon Juga Wajib Lampirkan Surat Vaksin
 
https://t.co/7NWOx225PE",Maluku,Februari
12,mr_pahlewa,2021-07-07 10:55:11+00:00,Kenapa pemerintah buat aturan warg yang melakukan perjalanan harus memiliki kartu vaksin dan hasil test covid19,Maluku,Februari
