,username,date,content,user_location,bulan
0,elchico_mkr,2021-07-10 04:10:58+00:00,"Vaksin ketiga?
.
.
Yg pertama-pun banyak rakyat yg blm di vaskin kok. https://t.co/5KsgtQn4Vf",Maluku Utara,Januari
1,Marwah_Widuri,2021-07-09 06:45:53+00:00,"Inti aturan pemerintah ini sebenarnya adalah diam aja di rumah gak usah kemana2 dan vaksin secepatnya..
Tapi kok gimana ya rasanya 🙄",Maluku Utara,Januari
2,Rsymakiyana,2021-07-09 04:46:05+00:00,"Bisa gk, abis vaksin langsung bisa lupa semua tentang mu?!",Maluku Utara,Januari
3,yaziddech,2021-07-08 05:36:04+00:00,"@RachlanNashidik @jokowi Trs bgmn ini ? Sy terpaksa kena paksa vaksin krn penerbangan kemarin .. Duh... Gmn  nih.. ???lanjut tahap 2 gak?
@BudiGSadikin @KemenkesRI",Maluku Utara,Januari
4,arisnaprillia,2021-07-07 03:03:21+00:00,@triutams @sanflowergurl Sudah apa nih. Swab ka vaksin?,Maluku Utara,Januari
5,syifalbaar,2021-07-06 15:05:34+00:00,"h+2 vaksin, ngantoook mulu
ini efek samping vaksin apa karna gue mageran aja anaknya 🤣🤣",Maluku Utara,Januari
6,Marwah_Widuri,2021-07-06 08:04:31+00:00,"Yg kayak gini harusnya viral sih.. semua jenis vaksin dijelaskan seringan mgkn

https://t.co/Lug8qOYXD0",Maluku Utara,Januari
7,Msw_dicko,2021-07-05 10:31:33+00:00,"@KemenkesRI kalo sudah di vaksin #Covid_19  (4 hari), bisa minum vitamin???",Maluku Utara,Januari
8,AbdoelGharra,2021-07-05 06:46:07+00:00,"Sertivikasi Vaksin dan tes swab sudah menjamin aman dari Korona? 
*SeriusNanya",Maluku Utara,Januari
9,yaziddech,2021-07-05 02:27:18+00:00,Di bandara disebelah mn yg melayani PCR dan vaksin?,Maluku Utara,Januari
10,yaziddech,2021-07-05 02:26:29+00:00,Adakah yg punya pengalaman terbang setelah masa PPKM? Benarkah wajib vaksin dan PCR sebagaimana edaran kementrian perhubungan dan Kasatgas PPM- the lord? Mohon Sharing..dari Bandar udara Soetta,Maluku Utara,Januari
11,MrAriyandi,2021-07-04 05:02:23+00:00,"@paniikiii Saki p ciri"" smadng yg abis vaksin tuh",Maluku Utara,Januari
12,mrahmatramdani,2021-06-28 00:47:55+00:00,"BISMILLAH SUDAH DI VAKSIN, SINOVAC @ Pt Sejahtera Abadi TRADA https://t.co/zF5N4Sli0R",Maluku Utara,Januari
13,dendangfabanyo,2021-06-08 08:03:12+00:00,"Mutasi virus COVID-19, kelangkaan vaksin, dan perkembangan wabah covid menjadi alasan Saudi belum umumkan keputusan soal Haji. 

Dana Haji Terjamin
@jokowi 
@YaqutCQoumas 
@Dennysiregar7 
@Kemenag_RI https://t.co/7XAWGl2s62",Maluku Utara,Januari
14,TBacarita,2021-06-08 07:47:31+00:00,"Mutasi virus Covid-19, kelangkaan vaksin, dan perkembangan wabah covid-19 menjadi alasan Saudi belum umumkan mekanisme penyelenggaraan Haji tahun ini. 

Dana Haji Terjamin
@jokowi 
@YaqutCQoumas 
@Dennysiregar7 
@Kemenag_RI https://t.co/9DlywxqNSK",Maluku Utara,Januari
15,TBacarita,2021-06-07 08:26:10+00:00,"Mutasi virus Covid19, kelangkaan vaksin, dan perkembangan wabah covid19 menjadi alasan Saudi belum mengumumkan mekanisme penyelenggaraan Haji tahun ini. #StopHoaxDanaHaji https://t.co/rMRt1PDrcY",Maluku Utara,Januari
16,rahmatrudi9,2021-06-07 08:17:36+00:00,"Mutasi virus covid-19, kelangkaan vaksin, dan perkembangan wabah covid-19 menjadi alasan Saudi belum mengeluarkan mekanisme penyelenggaraan Haji.

#StopHoaxDanaHaji
Dana Haji Aman https://t.co/VwovW6hrvi",Maluku Utara,Januari
17,OSandi002,2021-05-22 04:43:49+00:00,"Vaksin untuk Swasta, Arsjad Rasjid : Kadin Berterimakasih ke Jokowi

Satukan Bangsa
https://t.co/KjwEFjYlOl",Maluku Utara,Januari
18,nyong_gogos_17,2021-01-05 09:47:56+00:00,"#Repost from @slankdotcom by @quicksave.app
・・・
VAKSIN PALING MURAH, TAPI TIDAK GRATIS!!

Segera di @TheSlankStore! Cek https://t.co/lVBEpzRAWa 

#Slank
#SlankVol24 
#VaksinSlank #InstaSaveApp #QuickSaveApp https://t.co/XQ7Pc26v79",Maluku Utara,Januari
