,username,date,content,user_location,bulan
0,sofie_Cikling,2021-01-27 11:37:00+00:00,Itu lah iNdonesia😂😂 buat apa vaksin kan https://t.co/t6dhrBb0Tk,Nusa Tenggara Barat,Januari
1,binmasresklung1,2021-01-27 08:33:42+00:00,Kapolres Klungkung Bersama Forkopimda Suntik Vaksin Pertama Di Rumah Sakit Umum Klungkung. https://t.co/iwrr5emKUo,Nusa Tenggara Barat,Januari
2,TeduhAbdul,2021-01-26 16:28:11+00:00,Diskusi malam seputar Vaksin di Warung Kopi bawak bunut pasar lama praya lombok tengah ntb https://t.co/waCiJZtvdU,Nusa Tenggara Barat,Januari
3,Cinleng_,2021-01-26 14:11:06+00:00,"Liat berita vaksin, bukannya takut divaksin tapi takut jarum suntiknya panjang beut dah",Nusa Tenggara Barat,Januari
4,arriyav13,2021-01-26 09:14:31+00:00,Untuk merayakan 1 juta kasus. Yuk giveaway vaksin. https://t.co/IsZeEPhF8C,Nusa Tenggara Barat,Januari
5,wiq1721,2021-01-26 03:45:57+00:00,"vaksinasi Covid-19 
eehh tapi habis vaksin dapetnya es kopi, bukan burjoo 🤣🤣🤣🤣 https://t.co/NCMlOo5dTv",Nusa Tenggara Barat,Januari
6,SKlungkung,2021-01-25 14:05:25+00:00,Polres Klungkung  Kawal Ketat Kedatangan Vaksin Covid-19 https://t.co/O74B3NiKvK,Nusa Tenggara Barat,Januari
7,DIABLOBAD,2021-01-23 09:48:14+00:00,Kasih alasan yang valid dong buat nolak vaksin Sinovac ?,Nusa Tenggara Barat,Januari
8,DIABLOBAD,2021-01-23 09:46:07+00:00,"Pengen tau alasan kenapa sebagian orang gak mau di vaksin covid ?  Serius nanyak .. 
sedangkan vaksin rabies untuk manusia saja masih di pertanyakan ke akuratanya kalian berani ambil vaksinya ?",Nusa Tenggara Barat,Januari
9,INyomanSetiawa2,2021-01-23 04:58:26+00:00,"Jangan Takut Divaksin!
Vaksin Covid-19 Produksi Sinovac aman dan halal.
.
#jangantakutvaksincovid 
#polisirepublikindonesia 
#polisiwanitarepublikindonesia 
#polreskarangasem 
.
@polisirepublikindonesia 
@polwan_republik_indonesia 
@polisi_wanita 
@nyoman_suartinireal https://t.co/dAqwu27dzH",Nusa Tenggara Barat,Januari
10,sulhadi38,2021-01-22 02:15:31+00:00,@Bagong30767519 Ayoo Kita segera Vaksin biar Corona segera hilang,Nusa Tenggara Barat,Januari
11,Rian_gantok,2021-01-21 04:31:11+00:00,"Vaksin aman dan halal
#vaksìncovid19 #vaksinasimelawanpandemi @ Dusun Sekotong 1, Desa Sekotong Tengah, Kec. Sekotong https://t.co/hsQl5CAF2C",Nusa Tenggara Barat,Januari
12,DNA_lloh,2021-01-20 17:45:59+00:00,My vaksin https://t.co/RGHbsfDycL,Nusa Tenggara Barat,Januari
13,Sayedonee,2021-01-16 09:20:23+00:00,Setelah vaksin kok bawaannya ngantuk + cepet laper ya? #VaksinSinovac,Nusa Tenggara Barat,Januari
14,Yogadwijendra,2021-01-16 07:50:08+00:00,SNK Final season + vaksin datang = ...... https://t.co/eeQiX8y8hT,Nusa Tenggara Barat,Januari
15,Rian_gantok,2021-01-16 03:30:04+00:00,Vaksin Aman dan Halal @ Puskesmas Sekotong https://t.co/PbwEMAs8wE,Nusa Tenggara Barat,Januari
16,rifdacosta,2021-01-16 01:44:35+00:00,"Kami sebagai Warga Negara Indonesia taat aturan menyatakan SIAP untuk di vaksin 🙏

#siapvaksincovid19
#nkrihargamati @ West Nusa Tenggara https://t.co/er5malx2GY",Nusa Tenggara Barat,Januari
17,nonodistas,2021-01-15 09:55:39+00:00,"@virolatief setuju. tapi dipoin saya kebetulan situasi terkait vaksin ro bukan kebijakan terkait pandeminya.

dan menurut pemahaman saya pencegahan jangka panjang juga harus vaksin supaya membentuk herd immunity. contoh ketika kecil vaksin polio dkk kita ga minta tapi wajib sebagai preventif",Nusa Tenggara Barat,Januari
18,AdityaRhd,2021-01-15 05:58:56+00:00,"Makan mie ayam pake saos pewarna aneh lahap, giliran vaksin langsung berubah kritis jadi ahli farmasi.",Nusa Tenggara Barat,Januari
