,username,date,content,user_location,bulan
0,palpresofficial,2021-01-29 16:39:48+00:00,"SUMSEL 24 JAM | RAME-RAME PEJABAT DAN NAKES DIVAKSIN, INGATKAN PROTOKOL KESEHATAN

https://t.co/DMFGeKFX6c

SUMSEL 24 JAM 29 JANUARI 2021

GUBERNUR SUMSEL HERMAN DERU BARENG FORKOPIMDA DIVAKSIN COVID-19 DOSIS KEDUA 
WAKO PRABUMULIH DIVAKSIN COVID-19

#VaksinasiNasional 
#Vaksin https://t.co/8RELbVQPTR",Sumatera Selatan,Januari
1,BrimobSumsel,2021-01-25 13:29:00+00:00,"Ogan ilir
Senin,  25 Januari 2021

Personil Brimob Kompi 2 Batalyon C Pelopor Satbrimob Polda Sumatera Selatan melaksanakan pam dan wal Vaksin Sinovac Covid-19 dari gudang Dinkes Prov. Sumatera Selatan ke Dinkes Ogan Ilir Dan Dinkes Prabumulih dipimpin Bripka Kurniawan, SH https://t.co/PL9e6YfKxF",Sumatera Selatan,Januari
2,bayu_bs07,2021-01-23 16:41:34+00:00,"Narasi yg baik Habis divaksin tidak lama meninggal ""korban meninggal karna ada penyakit lain bkn karna vaksin""
Meninggal karna penyakit lain + covid ""jumlah korban MD covid trs bertambah""",Sumatera Selatan,Januari
3,4rdn4n,2021-01-23 15:08:05+00:00,@kompascom Kalo ini udah digoreng sih. Makin ga percaya vaksin orang sini,Sumatera Selatan,Januari
4,rzkaumaiyah,2021-01-21 11:04:08+00:00,Ya allah bsk aku di vaksin 😤😖,Sumatera Selatan,Januari
5,BrimobSumsel,2021-01-19 13:39:34+00:00,"Senin, 18 Januari 2021

Giat Personel Batalyon A Pelopor
Pengamanan dan Pengawalan Vaksin Covid-19  dari : Perbatasan Lampung - Palembang di KM 234 rest area Mesuji Lampung, Tujuan : Dinkes Prov. Sumsel, dpp Bripka Henry Sinaga.
-
-
-
-
-
#BRIMOBUNTUKINDONESIA

@BrimobSumsel https://t.co/4fythXGMea",Sumatera Selatan,Januari
6,nisabeckyjun,2021-01-18 03:10:04+00:00,@PLindungi kok sistem bisa gangguan sih.? Saya gak bisa daftar ulang di puskesmasny. Udah banyak yang antri. Padahal e ticket udah ada. Kok dihambat gini sih mau vaksin,Sumatera Selatan,Januari
7,nisabeckyjun,2021-01-18 03:05:00+00:00,Katanya gangguan. 😵 gak tau ini bakal bisa vaksin ato enggak. Ini piye toh sistem nya. Nyesel pengen cepet vaksin. Tau gini tunggu yg di RS ready,Sumatera Selatan,Januari
8,FitriHBR,2021-01-14 14:36:22+00:00,"Sebagai nakes garda terdepan yang dapat antrian disuntik vaksin duluan..

Tapi saya tdk di vaksin 
“Promil ceunah” :) heheheh✌🏻semoga beruntung !",Sumatera Selatan,Januari
9,PolsekPlaju3,2021-01-14 09:21:54+00:00,"Momen Kapolda Sumsel Irjen Pol. Prof. Dr. Eko Indra Heri S, M.M. Bersama Gubernur Sumsel dan Pangdam II Sriwijaya di suntikan Vaksin Sinovac Covid-19 https://t.co/swI6nOfKim",Sumatera Selatan,Januari
10,4rdn4n,2021-01-13 15:51:16+00:00,"Kemarin baca, kenapa vaksin yg lain blm masuk karena harus menyiapkan peralatannya. ini udah protes aja katanya rakyat ntar dikasih yg murah. Aduh.",Sumatera Selatan,Januari
11,pisangkertas,2021-01-13 11:41:11+00:00,"Selamat hari vaksin
Semoga cepat sembuh ya
#VaksinasiDimulai 
#vaksinuntukkita 
#Vaksin",Sumatera Selatan,Januari
12,PolsekPlaju3,2021-01-13 07:46:21+00:00,"Sama seperti Presiden RI, Panglima TNI dan Kapolri harus melewati beberapa tahap sebelum akhirnya disuntik vaksin, salah satunya yakni pengecekan tekanan darah.
Panglima TNI dan Kapolri menerima suntik Vaksin Covid-19 setelah Presiden Joko Widodo.
 #DukungSehatkanBangsa https://t.co/bbCmVnDp4z",Sumatera Selatan,Januari
13,Firnawa41280287,2021-01-13 05:14:59+00:00,"@andi_sharif @jokowi Maaf kalau gak salah ini bukan vaksin yg sekarang,krn kemarin pernah masuk di grup wa,ini kejadian sdh lama",Sumatera Selatan,Januari
14,AristoVidiarta,2021-01-13 04:49:48+00:00,Kok pas lg mulai vaksin gni saham farmasi anjlok semua sih wkakaak apa krna tangan dokter yg tremor jd pda ragu🤣🤣😅😅,Sumatera Selatan,Januari
15,PolsekPlaju3,2021-01-13 04:13:51+00:00,Ayo Kita vaksin bersama Bapak Presiden Jokowi  serentak melaksanakan Vaksin hari pertama #VaksinasiMelawanPandemi https://t.co/9euVV86ZQB,Sumatera Selatan,Januari
16,PolsekPlaju3,2021-01-13 04:09:10+00:00,"Ayo Kita vaksin bersama Kapolri Jenderal Polisi Drs. Idham Azis, Msi serentak melaksanakan Vaksin hari pertama #VaksinasiMelawanPandemi https://t.co/GCBFm35blJ",Sumatera Selatan,Januari
17,PolsekPlaju3,2021-01-13 03:39:33+00:00,"Kepala Sekretariat Presiden Heru Budi Hartono: ""Rencananya, vaksin pertama akan disuntikkan kepada Presiden Joko Widodo, pagi ini pukul 10.00""
#VaksinasiMelawanPandemi https://t.co/bse32iCMWF",Sumatera Selatan,Januari
18,PolsekPlaju3,2021-01-13 03:35:37+00:00,"Presiden Jokowi menyatakan akan menjadi orang pertama yang disuntikkan vaksin Covid-19
#VaksinasiMelawanPandemi https://t.co/atO7zfehnb",Sumatera Selatan,Januari
19,palpresofficial,2021-01-11 13:03:08+00:00,"SUMSEL 24 JAM | UIN RAFAH TERAPKAN KULIAH BLENDED LEARNING

https://t.co/dbmNJ6mX3e

SUMSEL 24 JAM 11 JANUARI 2021

1. MUBA BENTUK SATGAS DISTRIBUSI VAKSIN SINOVAC
2. KAMPUS B UIN RAFAH SELESAI DIBANGUN
3. AHLI KONSTRUKSI DIMINTA UTAMAKAN KESELAMATAN https://t.co/9v4PSGcxMt",Sumatera Selatan,Januari
20,ksftiyak,2021-01-08 12:12:03+00:00,"@Ibnurasyidwelas wah, berbeda sama mayoritas keluargaku yang masih aja share info bahayanya vaksin ke grup WA keluarga 😂 iyaa sm sm yaaa",Sumatera Selatan,Januari
21,ksftiyak,2021-01-08 05:04:55+00:00,"@Ibnurasyidwelas Mereka public figure, tujuannya untuk meningkatkan kepercayaan khalayak ramai. Coba tanyain, anggota keluargamu, pasti pada ga mau divaksin karena udah duluan terpapar berita2 ga baik soal vaksin yg tersebar di grup WA. CMIIW~",Sumatera Selatan,Januari
22,palpresofficial,2021-01-06 16:15:55+00:00,"SUMSEL 24 JAM | MUARA ENIM SIAP TERIMA VAKSIN

https://t.co/cRAP2s5ALy

SUMSEL 24 JAM, RABU, 6 JANUARI 2021

1. RS HM RABAIN LAYANI TES ANTIGEN MANDIRI
2. ALINE BOX, TUMBUH DI TENGAH PANDEMI COVID-19
3. DINKES SIAPKAN SARANA PENDUKUNG VAKSIN
4. 50 DRIVER TRANSMUSI DILATIH https://t.co/ew9fahuZHF",Sumatera Selatan,Januari
23,rzkaumaiyah,2021-01-01 15:43:09+00:00,"Jangan gencar mencari kesalahan pemerentah trus protes nya ma akyu dongggggggggsssss
Aku siapa bosss :/
Cm manusia yg siap akan di vaksin udh gitu ajaaaa 😞",Sumatera Selatan,Januari
0,ssilzw,2021-02-25 07:29:06+00:00,nelfon mama sejam lebih dengerin ceritanya abis nge vaksin bocil dirumah. kok seneng yaa akhirnya mama bisa suka kucing. malah cenderung sayang😂,Sumatera Selatan,Februari
1,vkookz,2021-02-21 08:55:27+00:00,besok gue mau vaksin flu jing....pasti malem ini ga nyenyak tidur lagi krna mau ketemu suntikan😭😭😭,Sumatera Selatan,Februari
2,murniyoungest,2021-02-02 13:02:52+00:00,"Untungnya jadi peserta JKN-KIS, kita diutamakan sebagai penerima vaksin karena data peserta sudah ada di BPJS Kesehatan.

Sumber : https://t.co/gqIHwcbA6n

#BPJSKesehatan
#BPJSMelayani
#GotongRoyongSemuaTertolong
#JKNHadirUntukRakyat https://t.co/FSNEMWkfG7",Sumatera Selatan,Februari
0,rockafeller86,2021-03-29 06:09:52+00:00,Vaksin done !! #vaksìncovid19 #corona #covid19 #vaksin @ RS RK Charitas https://t.co/TDY7qTmvO8,Sumatera Selatan,Maret
1,albertus_scj,2021-03-27 00:10:11+00:00,"Warga beriman @KatolikG pasti akan ikut mensukseskan program vaksinasi dengan tertib. 

Sudah sejak Komuni Pertama di bangku SD, mereka telah terbiasa antri berjajar menerima karunia yang menyelamatkan hidup. 😁😁😁
#proudCatholics

Mgr. Al. Sudarso SCJ menerima vaksin Covid-19. https://t.co/3N8azcldRs",Sumatera Selatan,Maret
2,DodotCikidutsz,2021-03-26 18:09:45+00:00,Ketemu Om @NOTASLIMBOY Pas Antri Suntik Vaksin Senja Tadi. D2cp https://t.co/xiwPTev7fQ,Sumatera Selatan,Maret
3,PolsekPlaju3,2021-03-26 09:09:01+00:00,"Payoo,..

Kakek,Nenek
Mang cek,bikcek 
Lindungi Diri dan Keluarga Dengan Suntik Vaksin COVID-19

Segera Datangi Puskesmas Terdekat.
Sukseskan Vaksinasi LANSIA.

VAKSIN COVID-19
AMAN DAN HALAL
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira https://t.co/rb2cBLWAyD",Sumatera Selatan,Maret
4,PolsekPlaju3,2021-03-26 09:01:31+00:00,"Payoo,..

Kakek,Nenek
Mang cek,bikcek 
Lindungi Diri dan Keluarga Dengan Suntik Vaksin COVID-19

Segera Datangi Puskesmas Terdekat.
Sukseskan Vaksinasi LANSIA.

VAKSIN COVID-19
AMAN DAN HALAL
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira https://t.co/u21IEFeOJC",Sumatera Selatan,Maret
5,PolsekPlaju3,2021-03-26 09:00:12+00:00,"Walau sudah divaksin kita tetap harus mematuhi Protokol Kesehatan, vaksin meningkatkan imunitas dan mengurangi resiko tertular virus corona.

#AyoVaksinTetap5M
Bangkit Indonesia Sehat https://t.co/GIs1KqgjUH",Sumatera Selatan,Maret
