,username,date,content,user_location,bulan
0,qomaqueen,2021-07-09 05:04:02+00:00,"Dengan adanya candaan seperti,
""Kantor DPR jadi tempat isolasi"", 
""Pejabat suntik vaksin Nusantara"",
""Pejabat isolasi di Sarinah"".

Para pejabat ini pada nyadar gak sih kalo rakyat udah jenuh banget dengan kelakuan mereka ? https://t.co/INHaUd2VMh",Papua Barat,Januari
1,papuachanneltv,2021-07-08 13:18:03+00:00,"RANGSANG WARGA IKUT VAKSIN COVID-19, PEMPROV PAPUA BARAT BERI SEMBAKO    #papua #papuabarat #PapuaUpdate #beritapapua #papuaterkini #jendelapapua #manokwari #Covid19 #pakaimasker #gki

https://t.co/tR7ML9g7B9 https://t.co/LaQaksxYrc",Papua Barat,Januari
2,papuachanneltv,2021-07-07 02:10:03+00:00,"RATUSAN WARGA KOTA SORONG IKUT SERBUAN VAKSIN TNI AL   #papua #papuabarat #PapuaUpdate #beritapapua #papuaterkini #jendelapapua #kotasorong #Covid19 #PakaiMasker 

https://t.co/owL4F1pJOQ https://t.co/ZAj4bS0hd8",Papua Barat,Januari
3,papuachanneltv,2021-07-06 01:37:09+00:00,"PENUMPANG KELUAR DAN MASUK RAJA AMPAT WAJIB TUNJUKAN SERTIFIKAT VAKSIN   #papua #papuabarat #PapuaUpdate #beritapapua #papuaterkini #jendelapapua #rajaampat #Covid19 #pakaimasker 

https://t.co/XFnP2eIU08 https://t.co/tDqw9ZFMtg",Papua Barat,Januari
4,qomaqueen,2021-07-06 01:30:12+00:00,"@ulatsaagu Sudah mulai vaksin ? Kemarin pas vaksin, ku hitungin per jam mereka melayani berapa orang 🤣🤣

Kira2 50 orang per jam. Jd kalau mulai vaksin jam 9, berarti antrian no. 300san, sekitar 5 jam lagi 🙈 

Lumayan buat makan bakso tidur siang dulu 🤣🤣",Papua Barat,Januari
5,qomaqueen,2021-07-06 00:24:26+00:00,"@ulatsaagu Ya ampun 🙈 antrian 342 

Sy pas vaksin di Unimuda, no antrian 208, divaksin jam 1 siang 🤣🤣🤣
Padahal antri dari jam 10",Papua Barat,Januari
6,ulatsaagu,2021-07-05 23:14:51+00:00,Vaksin sekaligus melihat keindahan  sampah yang berserakan https://t.co/Mr6eBAyNDE,Papua Barat,Januari
7,qomaqueen,2021-07-03 23:05:32+00:00,"Ada pedagang makanan, ngaku gak mau vaksin dan gak taat prokes. 

Kasian pembeli2nya 😤",Papua Barat,Januari
8,briancukx,2021-07-03 15:18:21+00:00,"Tau ga kerumunan yang diijinin pemerintah?

Ya Antri Vaksin lah...",Papua Barat,Januari
9,qomaqueen,2021-07-03 12:13:16+00:00,"Sampe ku kasih tau kalo sinovac halal (oleh MUI), vaksin lain pun halal karena ini kondisi darurat, masih aja ngeles ngalir ngidul, gak juelas pol",Papua Barat,Januari
