,username,date,content,user_location,bulan
0,rianJebotriadi,2021-01-27 08:52:26+00:00,"Kalau benar vaksin bisa naikin berat badan, sini aku barisan paling depan.",Riau,Januari
1,reza_fadh,2021-01-15 02:31:39+00:00,"@RoysonZain Masi bang..anak2 d skola d vaksin jg,cm d inform dl ke ortu ny",Riau,Januari
2,reza_fadh,2021-01-13 10:49:24+00:00,@FKadrun Bsk insyaallaah pembuktiannya bang...gw sndiri yg buktiin..bsk jdwal gw vaksin...😁,Riau,Januari
3,baiim_ibrahim,2021-01-12 11:44:03+00:00,Semoga semuanya sehat selalu dan segera pulih dunia dengan vaksin yang membuat imun tubuh meningkat..,Riau,Januari
4,baiim_ibrahim,2021-01-12 11:41:30+00:00,"Dulu waktu masih balita mungkin klau bayi bisa ngomong mungkin nolak yaa waktu di vaksin🤣🤣
Sampai skrng besar msh kerasa takut sama jarum suntik soalnya banyak yg nolak vaksin 🤣🤣
Dulu waktu bayi di vaksin pasti ada efek sampingnya demam, yg ruam merah, mungkin alergi jg 😅",Riau,Januari
5,khrsmarf,2021-01-11 01:53:28+00:00,kalau kena vaksin berati total panjangnya bisa sampai tiga meter setengah nih https://t.co/XIijqdsvWH,Riau,Januari
6,ree_daffodil,2021-01-05 04:23:11+00:00,Vaksin covid udah nyampe kepri,Riau,Januari
7,reza_fadh,2021-01-01 11:02:23+00:00,"@KING__VADUKA Nti bang klo pas vaksin,kita di wakili mreka utk divaksin produk pfizer,kita yg d wakilin cukup sinovac aj",Riau,Januari
0,DonJuanOgie,2021-02-26 09:29:44+00:00,@03__nakula @Cintada16 @kangmirdja @satriawirang18 @leonsys0305 @Liz3b3d @me_zhu__Yusra @langityang7 @Lucky_HS @LinNasution Tolong fotoin wartawan @tempodotco @geloraco dkk ya klo di vaksin nanti,Riau,Februari
1,Okta04101990,2021-02-18 09:20:47+00:00,"Ayo Kenali Manfaat Vaksin Covid 19
.
#HumasPoldaKepri
#PoldaKepri #Multimediapoldakepri #Adaptasikebiasaanbaru #LawanCovid19
#Kepri
#Indonesia #DisiplinBersamaPolri
#Polripresisi https://t.co/kPe0cuxNSF",Riau,Februari
2,faggherita,2021-02-08 11:39:15+00:00,"Kasian ya anak daerah, direndahkan dalam dating/friendship pool, terus dianggap kurang pantas pula diprioritaskan untuk mendapatkan vaksin. Padahal juga sumber virus di daerah juga datangnya dari pusat 🙄",Riau,Februari
0,DonJuanOgie,2021-03-26 07:06:41+00:00,Alhamdulillah di tunjuk dari kantor mewakili kantor untuk di vaksin...,Riau,Maret
1,BRH_10,2021-03-02 09:33:12+00:00,Vaksin Aman dan Halal https://t.co/ljOSMEWs1B,Riau,Maret
0,MetaliaL,2021-04-23 08:12:44+00:00,"Ku kira suntik vaksin covid tuh sakit.
Ternyata sakitan di ghosting gaess.
Sumpah beneran dah ga boong.
👻",Riau,April
1,MetaliaL,2021-04-22 17:19:19+00:00,"TIDUR SANA! Besok vaksin
Wkwkwkwkwwk",Riau,April
2,yulvie,2021-04-21 14:18:12+00:00,"@vitacascata Ini KIPI (Kejadian Ikutan Pasca Imunisasi), Vit. Kamu coba hubungi dr nya aja. Mudah2an gpp ya. Tadi pas screening sebelum vaksin, dokternya bilang apa? Aku dpt yg Astra demam di hari ke 2 😊",Riau,April
3,yulvie,2021-04-14 13:19:30+00:00,"H+4 Vaksin, lengan bekas disuntik masih nyeri 😭😭",Riau,April
4,DonJuanOgie,2021-04-11 04:31:44+00:00,Baru terasa meriangnya abis di vaksin kemaren gpp.. apalagi lagi kena Corona bener y. Ini di jinakkan aja begini apalagi ga jinak,Riau,April
5,DonJuanOgie,2021-04-11 02:14:14+00:00,Habis di vaksin Alamin demam dan pusing serta mual... Saran dokter saya minum Paracetamol aja... Tadi pas minum Paracetamol anak2 rupanya ampuh... Apa itu menandakan saya itu Baby Face @kenhans03 @anto_winarno,Riau,April
6,DonJuanOgie,2021-04-10 09:15:17+00:00,@andiiiiiiiinnnn Lagi vaksin,Riau,April
7,DonJuanOgie,2021-04-10 09:02:17+00:00,@cahcopek Dah siap. Tak kasih tau Wak. Kaco. Nanti tgl 5/6 lagi vaksin wak,Riau,April
8,DonJuanOgie,2021-04-10 09:01:14+00:00,@cahcopek Yoi.... Banyak budak setan yg suka nyinyir di info pinang lagi vaksin way,Riau,April
