,username,date,content,user_location,bulan
0,NarasiIndonesia,2021-07-08 05:20:09+00:00,"Presiden targetkan 3 juta Vaksin Perhari

PPKM Atasi Covid https://t.co/YEcBz2tevJ",Sulawesi Barat,Januari
1,NurAlis74284183,2021-07-08 05:09:16+00:00,"Presiden targetkan 3 juta Vaksin Perhari

PPKM Atasi Covid https://t.co/gSGmHhPUQ5",Sulawesi Barat,Januari
2,gumelarreka_,2021-07-08 04:04:18+00:00,"Harus banget di vaksin nih buat masuk ke jawa? 
Halaaaah -___-",Sulawesi Barat,Januari
3,princes66934439,2021-07-07 03:29:27+00:00,"Bersatu melawan covid 19, kita dukung program 3 juta vaksin per hari https://t.co/nV4IbVrceY",Sulawesi Barat,Januari
4,Imhacw,2021-07-07 03:22:58+00:00,Mari Sukseskan Vaksin 3 Juta Perhari https://t.co/NlMZxB1U1O,Sulawesi Barat,Januari
5,NarasiIndonesia,2021-07-07 03:00:46+00:00,"Corona Menggila, Sri Mulyani Ingin 3 Juta Dosis Vaksin Disuntikan Setiap Hari https://t.co/zC76qpDTvr",Sulawesi Barat,Januari
6,princes66934439,2021-07-06 03:09:51+00:00,"vaksin pertama diberikan kepada prioritas nakes, mari kita dukung nakes dengan dukung program vaksin  PPKM Langkah Tepat https://t.co/HpWzA5xKP9",Sulawesi Barat,Januari
7,BasiraSamba,2021-07-05 11:40:20+00:00,KONI Terus Berupaya agar seluruh Atlet PON XX Papua mendapatkan vaksin. Patuhi Aturan PPKM https://t.co/Nf89HoQ78b,Sulawesi Barat,Januari
8,princes66934439,2021-07-05 05:02:02+00:00,Vaksin dan prokes adalah kunci sukses menekan penyebaran varian covid19. https://t.co/jUhCPtRd2S,Sulawesi Barat,Januari
9,Negaraspesial1,2021-07-05 05:01:45+00:00,Vaksin dan prokes adalah kunci sukses menekan penyebaran varian covid19. https://t.co/nBXqfFATH1,Sulawesi Barat,Januari
10,RabiatulMunawa6,2021-07-05 02:56:24+00:00,"@berlianidris Dok... tetangga saya hari ini meninggal, masih muda usia 20 tahun tdk pernah sakit tp baru beberapa hari yg lalu telah di vaksin. Setelah di vaksin katanya badannya lemas, setelah pulang kerja istirahat tp tdk bangun². Apakah bener ini dok krn vaksin?",Sulawesi Barat,Januari
11,NurAlis74284183,2021-07-04 05:54:41+00:00,"Lebih Dari 45 Juta Orang Indonesia Sudah Vaksin Anti Covid-19

https://t.co/B6e5sAoarj https://t.co/QuQZk0nFpf",Sulawesi Barat,Januari
12,princes66934439,2021-07-02 03:37:47+00:00,Pemerintah yakin dengan Vaksin Covid 19 yang digunakan Indonesia https://t.co/g9H6hSZzTE,Sulawesi Barat,Januari
13,gumelarreka_,2021-07-02 00:38:17+00:00,Kemarin antigen skr mesti pake surat vaksin klo mau perjalanan. What the fuck?,Sulawesi Barat,Januari
14,princes66934439,2021-07-01 06:15:41+00:00,Walau sudah vaksin kita harus tetap disiplin prokes dengan pakai masker ganda https://t.co/6Uoq6kREkO,Sulawesi Barat,Januari
15,ZicoIriantoAzis,2021-07-01 02:24:53+00:00,"Hari Ini Mau Vaksin
Mumpung Gratis 😁",Sulawesi Barat,Januari
16,idn_update,2021-06-27 00:34:22+00:00,"Dukung percepatan vaksin dan perketat disiplin protokol kesehatan

Doa Untuk Bangsaku https://t.co/8zCosV8CAc",Sulawesi Barat,Januari
17,0Nkri,2021-06-24 02:28:04+00:00,Dengan Melaksanakan Vaksin Antibodi Pada Tubuh Akan Terangsang Untuk Melawan Virus Covid 19 https://t.co/x2ZygAdRO6,Sulawesi Barat,Januari
18,nung_kong,2021-06-23 02:08:15+00:00,"Jangan sampai lemah. Terapkan profesi 5 m dan vaksin pada Kebiasaan Baru
Bersatu Lawan Covid19 https://t.co/gT8ySVvmhu",Sulawesi Barat,Januari
19,Imhacw,2021-06-22 05:50:48+00:00,Ayo vaksin dan jadilah bagian dari pemutusan penyebaran covid https://t.co/9ic5MUrF7k,Sulawesi Barat,Januari
20,Imhacw,2021-06-12 09:07:38+00:00,Pemerintah Indonesia Telah Memilih Vaksin Yang Aman Untuk Masyarakat https://t.co/9uBY92MDjH,Sulawesi Barat,Januari
21,pojoknarasi,2021-06-10 02:55:26+00:00,Kjri Jeddah ungkap alasan Arab belum umumkan keputusan soal Haji yaitu berkaitan dengan mutasi virus covit jalankan vaksin dan perkembangan obakopi masih menghantui seluruh penjuru bumi https://t.co/mfEGSVojYi,Sulawesi Barat,Januari
22,Finaalfins,2021-06-08 07:05:19+00:00,"Kuota Haji belum diputuskan Arab Saudi karena mutasi virus covit 19 dan kelangkaan vaksin menjadi salah satu alasan

Dana Haji Terjamin
@jokowi 
@Kiyai_MarufAmin 
@Kemenag_RI 
@YaqutCQoumas 
@Dennysiregar7 https://t.co/mhte0TafWq",Sulawesi Barat,Januari
23,TMalaqbi,2021-05-25 02:51:53+00:00,"Vaksin Dan Disiplin Prokes Adalah Bagian Ikhtiar Umat 

Nusantara Bersatu https://t.co/5pTbnmuqMC",Sulawesi Barat,Januari
24,NegaraAPI2,2021-05-25 02:51:52+00:00,"Vaksin Dan Disiplin Prokes Adalah Bagian Ikhtiar Umat 

Nusantara Bersatu https://t.co/Iq6s9jzOCG",Sulawesi Barat,Januari
25,NegaraAPI2,2021-05-20 07:46:01+00:00,"Vaksin Gotong Royong Mendapatkan Respons Positif Dari Para Menteri, Pemerintah Dan Dunia Usaha https://t.co/lHSgxlPptg",Sulawesi Barat,Januari
26,TMalaqbi,2021-05-08 02:44:10+00:00,Kedatangan Vaksin Bentuk Komitmen Dan Konsistensi Pemerintah Mengamankan Pasokan Vaksin Secara Bertahap https://t.co/WTNfYk2wcX,Sulawesi Barat,Januari
27,TMalaqbi,2021-05-07 05:33:07+00:00,Vaksin Memproteksi Kita Dan Keluarga Dari Virus COVID-19 https://t.co/kC8WSgpJCf,Sulawesi Barat,Januari
28,NegaraAPI2,2021-05-06 04:23:00+00:00,Diplomasi Vaksin Akan Terus Diupayakan Pemerintah https://t.co/qzVNzxVftB,Sulawesi Barat,Januari
29,NegaraAPI2,2021-05-05 05:38:38+00:00,Pemerintah Mendorong Percepatan Vaksinasi Dengan Skema Vaksin Gotong Royong https://t.co/mjc2ofxTWr,Sulawesi Barat,Januari
30,NegaraAPI2,2021-05-01 04:50:52+00:00,Vaksin Covid-19 Aman &amp; Halal https://t.co/b2fB8G9ASc,Sulawesi Barat,Januari
31,TMalaqbi,2021-04-30 05:18:22+00:00,Vaksin COVID-19 Tidak Membatalkan Puasa https://t.co/MHpUBWN75F,Sulawesi Barat,Januari
32,NegaraAPI2,2021-04-29 03:20:52+00:00,Vaksin Terbukti Aman Dan Efektif Untuk Melindungi Kita Dari Virus COVID-19 https://t.co/lMdg4ExipH,Sulawesi Barat,Januari
33,NegaraAPI2,2021-04-28 05:31:45+00:00,Total Vaksin Sinovac Yang Dimiliki Indonesia Telah Mencapai 54 Juta Dosis https://t.co/MhoegEMfxF,Sulawesi Barat,Januari
