,username,date,content,user_location,bulan
0,kneel1828,2021-07-10 15:54:13+00:00,"@FirzaHusain Sama Kk ,aku juga pilih kebal karena vaksin.💪💪",Sulawesi Selatan,Januari
1,ludo4lyfe_,2021-07-10 14:04:03+00:00,"@niftahfatihaa kalo sdh ka kapang vaksin , na belum ka dapat vaksin sampe skrng :(((",Sulawesi Selatan,Januari
2,gryffinwest,2021-07-10 13:17:21+00:00,"Deg-deg an karena mau divaksin❌
Deg-deg an karena dokter yang vaksin gebetan sendiri✅
😜😂",Sulawesi Selatan,Januari
3,its_yooraa,2021-07-10 12:46:17+00:00,@sunnyisthatyou udah vaksin keberapa kak?,Sulawesi Selatan,Januari
4,Rhadhia,2021-07-10 12:46:15+00:00,"Tadi ke puskesmas buat vaksin ada yang tadi siang jam setengah 11 gitu, harusnya doi udah ga dapet vaksin kan soalnya banyak yang disuruh pulang dan balik lagi Kamis. Eh karena orang dalam disuruh masuk tanpa ngantri. Gue sih gapapa cuman banyak anjir yang dateng dari jam 6 pagi",Sulawesi Selatan,Januari
5,dianprtww,2021-07-10 12:29:11+00:00,"@KawalCOVID19 @Telkomsel Dikantorku masih full WFO, gatau deh kapan terakhir wfh🥲vaksin jg cuman dapet yg pertama, pas mau vaksin kedua udah gabisa karena udah hamil hehehe",Sulawesi Selatan,Januari
6,t0Fuuu_,2021-07-10 12:09:39+00:00,Vaksin jingan bikin ngantuk seharian,Sulawesi Selatan,Januari
7,Zcki2,2021-07-10 11:59:58+00:00,"Tunggu kami di rumah anda, jangan takut di vaksin. 
#makassar #lokalhot #gaymakassar https://t.co/uHfth6rHOU",Sulawesi Selatan,Januari
8,anasruntahir,2021-07-10 11:35:23+00:00,"@MajalahZamane Bismillah,,mdh2 bisa pakai Vaksin ini",Sulawesi Selatan,Januari
9,SSyahri04520464,2021-07-10 11:28:05+00:00,"Kontroversi dibalik penggunaan VAKSIN COVID-19 asal Negara China.  

#LengserkanPakLurah 
#LengserkanPakLurah https://t.co/MinfhEqLWF",Sulawesi Selatan,Januari
10,nislicious21,2021-07-10 10:52:22+00:00,"@mks_fess baru sekali iya sih nder. sejauh ini efek samping yang kurasakan setelah vaksin kek mo teruska makan, minum dan tidur:')",Sulawesi Selatan,Januari
11,antaramakassar,2021-07-10 10:12:54+00:00,36.193.076 penduduk Indonesia telah mendapatkan vaksin COVID-19 dosis pertama https://t.co/V65M8tlYEL,Sulawesi Selatan,Januari
12,heheheyyyyyyyy,2021-07-10 10:06:02+00:00,"@mks_fess Sudah nder bulan februari lalu, dan alhamdulillah sampai sekarang sehat2 trus padahal tiap hari di RS. Ayo nder vaksin biar bisa lindungi diri ta dan orang2 disekitar ta. Waktu itu efek sampingnya cuman pegal2 dan ngantuk.",Sulawesi Selatan,Januari
13,aryabonar2,2021-07-10 09:56:26+00:00,"@mks_fess Saya kasih tahu kamu. Teman saya sepasang suami istri kena varian delta

Yang istri sudah vaksin sinovac 1x, yang suami menolak vaksin. Dua-duanya kena.

Si istri gejala batuk dan pilek dan normal di hari ke 5. Si suami barusan tadi pagi dikubur.
Jadi ya simpulkan sendiri.",Sulawesi Selatan,Januari
14,aryabonar2,2021-07-10 09:41:45+00:00,"@Quraic @mks_fess Justru kalau tidak vaksin malah semakin bahaya. Coba dibaca itu point ke 5. Semakin banyak orang kayak kamu, semakin lama pandemi ini selesai. https://t.co/fBFwvJsHU3",Sulawesi Selatan,Januari
15,riskahem,2021-07-10 09:40:43+00:00,"@mks_fess Klo takutki efekx vaksin criki sinovac tp klo kebalki ya pilii astra, santemi say namanya ikhtiar wajib d coba. Vaksinji ini say bukanji dajjal 🥲🥲",Sulawesi Selatan,Januari
16,Quraic,2021-07-10 09:31:41+00:00,"@mks_fess jamki dulu nder karena ada isu varian Lambda yg lebih kebal thd vaksin, saran ji ini",Sulawesi Selatan,Januari
17,0029__,2021-07-10 09:30:19+00:00,"@mks_fess Saya belum, tapi mau, karena kupikir mungkin semua pada akhirnya harus vaksin. Tapi takut. Jadi ya gimana di' :)",Sulawesi Selatan,Januari
18,hukumkircoff,2021-07-10 09:13:54+00:00,pegel pegel nyeri gtgt ih abis vaksin afagagadafahahwfa,Sulawesi Selatan,Januari
19,restuimanb,2021-07-10 08:59:05+00:00,"""Terpaksa ka pergi vaksin ini.""

Yang terpaksa itu kalau keluargamu dimakamkan di Macanda.

Becanda.",Sulawesi Selatan,Januari
20,gdaswin,2021-07-10 08:55:47+00:00,@unnesmenfess Aku abis vaksin langsung pulang ke rumah 😭,Sulawesi Selatan,Januari
