,username,date,content,user_location,bulan
0,metrosulawesi,2021-07-10 12:31:26+00:00,Sertifikat Vaksin Dipertimbangkan Jadi Persyaratan dalam Pengurusan Layanan Akademik https://t.co/i4TUU4QfF3 via @metrosulawesi https://t.co/9fjWWymofn,Sulawesi Tengah,Januari
1,brimobsulteng,2021-07-10 06:57:14+00:00,"Sobat Brimob yang berada di kota Palu dan sekitarnya, ayo datang ke Gerai Vaksin PRESISI di Poliklinik Satbrimob Polda Sulteng setiap Senin-Jumat mulai pukul 08.00 WITA s/d 12.00 WITA, GRATIS 
.
SATYA GIRIBHUMI SAKTI
.
@humaspolsulteng
@Humas_korbrimob
#brimobuntukindonesia https://t.co/xFneig0bVY",Sulawesi Tengah,Januari
2,nilam_hakim,2021-07-10 04:11:36+00:00,"Pandemi makin mengkhawatirkan, aturan protkes di kantor makin ketat. Tapi masih ada juga karyawan yg bebal, malas minum vitamin, padahal sdh disediakan, di kasih kesempatan dan kemudahan untuk dpt vaksin tetap ndak mau. Susah juga ya 😭",Sulawesi Tengah,Januari
3,ikkii_ali,2021-07-09 21:55:40+00:00,@masnyalaginguli @Oktrikamap vaksin pake japanese dulu lah,Sulawesi Tengah,Januari
4,kabarselebes,2021-07-09 16:48:03+00:00,DPW Nasdem Sulteng Galar Vaksin Covid-19 Tahap 2 https://t.co/50QWgiiH2q,Sulawesi Tengah,Januari
5,Melkihastomo,2021-07-09 14:55:14+00:00,"@deno_sudarsono @CNNIndonesia @msaid_didu Ga ada yg menduga mutasi virus menjadi seperti Delta, awalnya semua vaksin sama kuatnya untuk virus corona pertama",Sulawesi Tengah,Januari
6,YRyhan,2021-07-09 12:49:25+00:00,"Selesai vaksin kok rasanya gue lapar terus yah, sehari udah 5 kali makan, rasa lapar nambah 3x lipat",Sulawesi Tengah,Januari
7,brimobsulteng,2021-07-09 06:56:01+00:00,"Jangan takut, efek samping suntik vaksin Covid-19 ini bisa sembuh sendiri
""Rasanya memang tidak nyaman, tapi efek samping memberi tahu bahwa tubuh sedang membangun respons kekebalan,”
Katherine L. Baumgarten, MD, https://t.co/tvl7HpZcTD",Sulawesi Tengah,Januari
8,PaluUtara,2021-07-09 06:45:00+00:00,"Ayo Vaksinasi...!!!
Virus Corona Masih ada
Vaksin Aman  &amp;  Halal https://t.co/dFbLgxMi4U",Sulawesi Tengah,Januari
9,PaluUtara,2021-07-09 06:39:59+00:00,"Ayo Lakukan Vaksinasi 
Vaksin Aman &amp; Halal https://t.co/y6lrZv0oit",Sulawesi Tengah,Januari
10,PaluUtara,2021-07-09 06:35:32+00:00,"Ayo Vaksin...!!!
Segera Datangi Puskesmas 
Atau Gerai Vaksin Terdekat https://t.co/mF1RqN2qda",Sulawesi Tengah,Januari
11,DikaLasman,2021-07-09 05:19:32+00:00,"Kalo orang tidak mau vaksin dan selalu yakin tidak bakalan kena covid, bagusnya diapakan ee",Sulawesi Tengah,Januari
12,mansur_my,2021-07-09 03:57:48+00:00,"Vaksin ke dua, 
tetap ikhtiar, sisanya serahkan ke Yang Kuasa https://t.co/aTdo2sudQ4",Sulawesi Tengah,Januari
13,jafri_gr,2021-07-08 12:28:55+00:00,"@YRadianto @AgusYudhoyono @Edhie_Baskoro Vaksin pastinya, museum semegah apa pun ga bisa menangkal virus🤭",Sulawesi Tengah,Januari
14,AdrianUssu,2021-07-08 09:56:47+00:00,Mari kita sukseskan vaksin...bersama PSI kita bisa... https://t.co/oizZQPco5X,Sulawesi Tengah,Januari
15,Rizalll22,2021-07-08 09:21:44+00:00,"@galuh_afr @Cilorconnoistre @bintangemon Ya loe harus ngaca dulu, apakah dulu saat gencarnya ajakan pemerintah buat vaksin, loe cuma prcaya bulan atau fakta... 😆",Sulawesi Tengah,Januari
16,AlkapR62,2021-07-07 13:56:32+00:00,"Kok makin banyak orang di vaksin , covidnya juga makin bertambah ? 
Ini bagaimana ceritanya ? 
😣
#PrayFromHome 
Bersama Berantas Pandemi",Sulawesi Tengah,Januari
