,username,date,content,user_location,bulan
0,rizaelsyam,2021-07-10 14:15:22+00:00,@favoritenotifee Ayo vaksin,Sulawesi Tenggara,Januari
1,Qiqingongo,2021-07-10 09:58:53+00:00,"Untuk vaksin, saya lebih merekomendasikan Astra Zaneca

Karena seperti yang kita tahu, jaringan dealer Astra sudah tersebar dimana mana, jadi kalau mau service gampang",Sulawesi Tenggara,Januari
2,AnadoloDimas,2021-07-10 06:38:31+00:00,"Nah ini nih, penjelasan kenapa sudah vaksin kok bisa positif lg.. https://t.co/jGe90Y6DfD",Sulawesi Tenggara,Januari
3,nduce_nif,2021-07-10 04:51:43+00:00,"@liputan6dotcom seperti yg dipertanyakan sama bang adian, kalo dah ada vaksin ketiga, kemungkinan ke empat dan kelima bisa saja terjadi.. bussines is bussines..",Sulawesi Tenggara,Januari
4,EdmilH,2021-07-10 00:46:04+00:00,"Vaksin Moderna Sangat Efektif Cegah Covid-19 pada Remaja. Yuk Disiplin PPKM
https://t.co/IEtvfhDTtA",Sulawesi Tenggara,Januari
5,zeddeka09,2021-07-09 23:33:29+00:00,Sangat nyata di kec. Kendari Barat. Tetangga pada denial d vaksin. Pas saya speak up dy + mereka mulai mikir2 untuk vaksin https://t.co/2s2yWADzTi,Sulawesi Tenggara,Januari
6,bugismanis1,2021-07-09 05:59:22+00:00,@Pangeran_Alis Vaksin ulang lgj,Sulawesi Tenggara,Januari
7,Niyatri3,2021-07-08 07:09:37+00:00,Melalui program Vaksinasi Gotong Royong KADIN Indonesia mendukung pemerintah sehingga makin lama banyak penduduk yang beroleh vaksin.  #MerdekaMelawanCovid Tunjukkan Peranmu,Sulawesi Tenggara,Januari
8,ardian_mp,2021-07-07 21:50:34+00:00,"Alhamdulillah sudah vaksin Sinovac, meski sertifikat e ketlingsut. Mengko digoleki.

#AyoVaksin #UsahaSehat #TetapProkes https://t.co/99LmEByWFX",Sulawesi Tenggara,Januari
9,tegas_co,2021-07-07 15:10:42+00:00,TNI AL Koarmada II Gelar Serbuan Vaksin di Pulau Terpencil Sapekan Ujung Timur Madura https://t.co/TuDjjiVBcc,Sulawesi Tenggara,Januari
10,Athy781,2021-07-07 13:46:58+00:00,@ndess_5 Jangan lupa sarapan. Sebelum di vaksin😇,Sulawesi Tenggara,Januari
11,bugismanis1,2021-07-07 11:25:00+00:00,Penambah imun pasca vaksin https://t.co/7hZbNuuBr9,Sulawesi Tenggara,Januari
12,IndarLuhS,2021-07-07 11:13:53+00:00,Bobok efek vaksin 😴 https://t.co/Rv8Zf6ZfuK,Sulawesi Tenggara,Januari
13,bugismanis1,2021-07-07 07:33:15+00:00,"@arvansyach Daftar k puskesmas aa buat vaksin, mumpung vaksinx msih gratis,, nnti vaksinx akan brbayar aa",Sulawesi Tenggara,Januari
14,mileeesssss_,2021-07-07 05:33:02+00:00,Jadwal padat bett sampe minggu depan kapan bisa vaksin jg ini:(,Sulawesi Tenggara,Januari
15,bugismanis1,2021-07-07 00:43:36+00:00,"@AcengGondol Qw vaksin sinovac kmaren, alhamdulillah gaj ada efek berat seh smpai detik ini, kmaren pasca vaksin cuman ngantuk n lapar aja, alhamdulillah hari ini gak ada efek lgi",Sulawesi Tenggara,Januari
16,IndarLuhS,2021-07-07 00:31:55+00:00,"Antri Vaksin

Syarat : KTP, polpen, rokok, korek, masker..

Puskesmas Wawotobi https://t.co/i0dLVlwngV",Sulawesi Tenggara,Januari
17,nyompez,2021-07-07 00:29:36+00:00,vaksin tapi berkerumun🤡,Sulawesi Tenggara,Januari
18,AbyTendy,2021-07-06 17:10:17+00:00,@KompasTV @lionelbrun0 Jangan2 sales vaksin,Sulawesi Tenggara,Januari
19,linneketjiang,2021-07-06 14:47:13+00:00,"Bahkan ada kenalanku yang sdh vaksin sinovac, mo double vaksin pake az :') Dengar ciutan2 bgitu sa cm bs bersyukurji. Tuhan baik skali mmg sm sy. Sejak covid ada sampe detik ini penyertaan Tuhan sa rasakan skali. Nda pernah itu sa mo rasa sakit demam, flu atau batuk sampe sesak.",Sulawesi Tenggara,Januari
20,linneketjiang,2021-07-06 14:47:12+00:00,"Variant baru muncul. Primadona yg lagi naik daun variant D ini yg konon katanya pergerakannya lebih cpt. Mulaimi sa dgr2 commentnya org soal vaksin. Bbrp ada yg blg, klo tau mending sa vaksin az sj dripd sinovac. Jd intinya katanya, az ini lebih ampuh dibanding sinovac.",Sulawesi Tenggara,Januari
21,linneketjiang,2021-07-06 14:47:12+00:00,"Blm seminggu stelah vaksin, banyak skali dibuka vaksin gratis pake sinovac. Rada menyesal buru2 vaksin krn mmg yg sa mau sinovac. Tp balik lg sa sdh berserah jd apapun nti efeknya, semua tjd krn ijinNya. Sejak itu, mulaimi heboh berita2 di tv, kasus covid melesat naik.",Sulawesi Tenggara,Januari
22,linneketjiang,2021-07-06 14:29:27+00:00,"Kemarin2 sa bela2kan skali spy dpt vaksin sinovac krn banyak yg blg efek sampingnya nda hedon kayak az Pas vaksin, tyt malah sa dpt az. Sa mo cancel tp sa sdh bela2kan daftar, antri jd sblm divaksin sa cm blg dlm hati, ""yaLord sa sdh berusahami, mulai dari sini kedaulatanMu mi.""",Sulawesi Tenggara,Januari
23,inikatasultra,2021-07-06 13:50:15+00:00,"Maskapai Garuda Indonesia Wajibkan Penumpangnya Miliki Sertifikat Vaksin
https://t.co/zIuBWdmIiU",Sulawesi Tenggara,Januari
24,SugitoArisandi,2021-07-06 10:33:56+00:00,"@AktivisSesat @spectatorindex Inti dari vaksinasi bukan untuk mmbunuh virus, tp mnyiapkan imun tubuh agar siap melawan virus. Makanya pas hbis vaksin akan timbul gejala sakit. Semakin banyak tubuh yg imunnya sdah biasa dgn varian covid19, harapannya imun mampu lawan balik. untuk pnyebaran, tetap pakai masker.",Sulawesi Tenggara,Januari
25,bugismanis1,2021-07-06 10:02:03+00:00,"@terongkrispiyk Iya pakde, protkes yg utama skrg walau udah d vaksin",Sulawesi Tenggara,Januari
26,bugismanis1,2021-07-06 09:45:48+00:00,"@terongkrispiyk Tgl 3 agustus 2021 lgi pakde vaksin kedua, jeda 28 hari",Sulawesi Tenggara,Januari
27,bugismanis1,2021-07-06 09:32:25+00:00,"@terongkrispiyk Beda2 seh pakde, ada yg sinovac n ada jga astrazaneca, kebtulan tdi sy dapatx sinovac, otomatis vaksin kedua sinovac jga",Sulawesi Tenggara,Januari
