,username,date,content,user_location,bulan
0,derindesu_,2021-07-10 16:03:19+00:00,"beneran protesnya di gue, gini nih ‘semua itu bakal mati, ngapain pake acara PPKM?bikin susah cari duit aja’ terus gue samber ‘YOWES, emang kudune raksah repot mikir vaksin mending tuku tanah nggo kuburan’",Sulawesi Utara,Januari
1,mbakwn,2021-07-10 16:03:06+00:00,"@Alvonz0 Ga ada apa2 , barusan ada antrian vaksin pah 🤣🤭",Sulawesi Utara,Januari
2,azwar_gobel,2021-07-10 16:03:04+00:00,"@_oranghilang @tirta_hudhi @permanacuk @LsOwien @PBIDI @PLindungi @KemenkesRI @jokowi Dokter tirta di reply dnk .

Posisi udh daftar terdaftar di vaksin tempat lain data nya( jauh dr rmh ).
Tapi ada vaksin di tempat lain yg dkt dr rmh nih . Itu gmn? Bisa daftar vaksin di tempat yg dkt rmh gak? Kan lebih cepat lebih baik toh",Sulawesi Utara,Januari
3,SinggihDwiP,2021-07-10 16:03:02+00:00,"tambahan, klo Singapore sudah menganggap Covid itu flu biasa, ngapain mereka repot2 bikin syarat perjalanan masuk yg ketat, mesti Swab, mesti vaksin, mesti karantina dulu... mana ada flu biasa yg mesti karantina...",Sulawesi Utara,Januari
4,ahlamilo,2021-07-10 16:02:51+00:00,@honestlyfatihah Kannnnn ya Allah cepatla semua orang vaksin!! Nak sangat kes reda!! Aaminnn!! Aah tulah ada rezeki nanti kita jumpa eh 🥰❤️,Sulawesi Utara,Januari
5,cerpelailogam,2021-07-10 16:02:48+00:00,Teman sy ada yang enggak mau vaksin AZ karena pingin Pfizer yang katanya resikonya dan efek sampingnya lebih terpercaya karena buatan Ameriki. https://t.co/QPXZdIUJUC,Sulawesi Utara,Januari
6,zatinadhifa,2021-07-10 16:02:34+00:00,"Setelah 15 jam vaksin sinovac, mulai timbul gejala rasa ingin memilikimu 

Aduh duh",Sulawesi Utara,Januari
7,ojorewelae,2021-07-10 16:02:28+00:00,"Makasi random talk nya gais seru besok lagi ya ngantuk banget abis vaksin, gud night",Sulawesi Utara,Januari
8,AndyxWendy,2021-07-10 16:02:21+00:00,info vaksin ngab xixi https://t.co/41QD7eksoJ,Sulawesi Utara,Januari
9,AbirAbdulRahim,2021-07-10 16:02:21+00:00,"@ainulnaim97 @JKJAVMY I was so fortunate to register early for my #CucukMyAZ when it first came out and waited for the 2nd dose according to @JKJAVMY updates.

I think we should stop pitting all these vaccines against each other. The focus is to get everyone vaccinated regardless of vaccine type.",Sulawesi Utara,Januari
10,AdilaAbdillah,2021-07-10 16:02:03+00:00,Apa khabar agaknya brader teori konspirasi vaksin tu ya. Bangsa bertauhid katanya.,Sulawesi Utara,Januari
11,Biqhairi,2021-07-10 16:01:49+00:00,@ZolRahman Tu laa. Aku nanti cucuk nak tengok dulu picagari tu. dasar pencuri vaksin.,Sulawesi Utara,Januari
12,Fat__Dhil,2021-07-10 16:01:37+00:00,"Beberapa bulan kedepan, prediksiku vaksin bakal jadi salah satu syarat penting untuk bepergian, kerja ataupun sekolah #paleng",Sulawesi Utara,Januari
13,taeggukkkie,2021-07-10 16:01:25+00:00,@rahasiarif Aku abis vaksin tadi siang😁😁😁,Sulawesi Utara,Januari
14,blogdokter,2021-07-10 16:01:15+00:00,Vaksin Covid19 Menyebabkan Bell’s Palsy? #blogpost https://t.co/M4ThSFsR9U #infokesehatan,Sulawesi Utara,Januari
15,noorvicaintan,2021-07-10 16:01:14+00:00,@itskaeul Ini masuknya yg vaksin gotong royong yaaa kayaknya dir?,Sulawesi Utara,Januari
16,SinggihDwiP,2021-07-10 16:00:59+00:00,"XYZ : yakan berarti sebentar lagi pandeminya Singapore kelar, Vaksinnya juga ditemukan....
Ane : ngerti pandemi gak sih, pandemi itu global, klo Singapore aja yg bebas covid bukan berarti pandemi udah kelar. terus, bedain vaksin sama obat, vaksin gak bisa buat mengobati...",Sulawesi Utara,Januari
17,d4nieladha,2021-07-10 16:00:49+00:00,Beliau mengatakan juga bahawa kemasukan vaksin baharu sebanyak 12 juta pada bulan Julai ini dan seterusnya pada setiap bulan akan berlaku peningkatan jumlah vaksin. Jadi proses pemberian vaksin itu penting untuk ditingkatkan khususnya negeri-negeri yang mempunyai kes tinggi.,Sulawesi Utara,Januari
18,okezonenews,2021-07-10 16:00:41+00:00,Vaksin untuk Individu Kini Tersedia di Klinik Kimia Farma #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/rncrZpjZWJ,Sulawesi Utara,Januari
19,ahlamilo,2021-07-10 16:00:34+00:00,@AqilahShuhaimi Aah betul kita sokong 💯 kann dari tahun lepas sampai skrang kot 😭 penaddd dah rasa huhu. Bila dapat ni rasa cam satu kebahagiaan sangat!! Maceh qilahh! Dapat vaksin ea? Hee ✨,Sulawesi Utara,Januari
20,sam_15metal,2021-07-10 16:00:19+00:00,@lqmnkhakim @ernestprakasa Maksud twet @ernestprakasa soal tingkat kesembuhan tinggi karena vaksinasi yg makin menyentuh banyak penduduk. Jadi karena fungsi vaksin yg mengurangi fatalitas,Sulawesi Utara,Januari
21,BuragasAnatomi,2021-07-10 16:00:14+00:00,"@KhairilAnuar Orang antivax selalu akan cakap “oh saya bukan antivax atau tolak vaksin” 🤦🏻,  kononnya nak play innocent",Sulawesi Utara,Januari
22,Oktafiansah75,2021-07-10 16:00:14+00:00,"@Kita_AMLTF JAGA INDONESIA..PATUHI PROKES
ayok kawan tetap disiplin Prokes 5M dan sukseskan program Vaksin Pemerintah..agar Indonesia segera keluat dr pandemi ini..💪💪
Klo bukan kita siapa lagi..👍👍💪💪",Sulawesi Utara,Januari
23,akuratco,2021-07-10 16:00:01+00:00,"Erick mengapresiasi PT Kereta Api Indonesia (Persero) atau KAI yang memprioritaskan layanan vaksin bagi penumpang.

https://t.co/195lPTxziX",Sulawesi Utara,Januari
24,Tempewalhreit,2021-07-10 16:00:00+00:00,@150419xx @cakasana Ehh maaf ferr aku salah maksud komen yang tadi wkwkwk. Iyaa kamu masih mending yaa vaksinnya gampang. Aku sempet mau ikut vaksin di puskesmas deket rumah tapi harus ngantri dari jam 3 pagi biar dapat kuota 100 orang per hari 😭😭😭,Sulawesi Utara,Januari
25,NothingToHide17,2021-07-10 15:59:54+00:00,"@Ghows @JemilahMahmood @JKJAVMY Pls make sure.

Talking is one thing.

Doing it is another ya.",Sulawesi Utara,Januari
26,fathany_tony,2021-07-10 15:59:54+00:00,"Kesilapan kedua adalah melambatkan vaksinasi untuk golongan yang bekerja bagai nak mati. Golongan2 bos dah kena vaksin rilek la suruh masuk site, masuk ofis, pegi jumpa org majlis, etc. Sebab tu ada satu2 masa, golongan berumur 30-40 tahun yg byk kena covid. https://t.co/K05YI8DRTR",Sulawesi Utara,Januari
27,ivooxid,2021-07-10 15:59:52+00:00,"Kalbe Farma dan Genexine Korsel Kembangkan Vaksin Covid-19, BPOM: Harapan Kita Ada Transfer Teknologi https://t.co/C8MHGaNWo5",Sulawesi Utara,Januari
28,Bly_Leo,2021-07-10 15:59:47+00:00,"@omgitssha_ Selfish plus stupid. Dah ckp vaccine tu tak ada effect if positive Covid. Ramai jugak yg buat perangai mcm ni, pergi swab test result x keluar lagi pergi vaksin. 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️",Sulawesi Utara,Januari
29,ivzryxo,2021-07-10 15:59:35+00:00,"Variant beta merebak ke banyak tempat-tempat di negara, variant delta adalah daripada India bermula merebak dan masih boleh kesan dengan vaksin Pfizer.",Sulawesi Utara,Januari
30,gaperlutauyu,2021-07-10 15:59:33+00:00,"@Kurirtersesat Di US yang kapitalis, 100% vaccine free kaga ada paid option, bahkan di state kaya NY bagi” tiket baseball bagi yang udah vaksin. 
https://t.co/HWdL9blBKb",Sulawesi Utara,Januari
31,tobaccoshop9,2021-07-10 15:59:16+00:00,"@detikcom Jangan di paparkan, nanti vaksin gak laku lo...
🤣🤣🤣🤣",Sulawesi Utara,Januari
32,hilwah_balqis,2021-07-10 15:59:15+00:00,@Jateng_Twit @dirgarambe terus banyak yg mati setelah di vaksin .apanya yg salah. orang sehat2 setelah di vaksin kon jadi sakit dan mati,Sulawesi Utara,Januari
33,thevithmystudio,2021-07-10 15:59:15+00:00,"Post vaksin ni selain demam teruk, temper aku lagi teruk lagi2 ke arah perkara yg trigger feminism aku. 🔥🔥🔥🔥🔥 Ya auloh guwe ngak bisa tenang 😭🔥",Sulawesi Utara,Januari
34,xingyyyyy,2021-07-10 15:58:59+00:00,@kharizman3112 @hxfiza @JKJAVMY @mindakami @Khairykj @Ghows @wtcklofficial You should consult your dr first before the jab!,Sulawesi Utara,Januari
35,apaanjing_,2021-07-10 15:58:52+00:00,kasian banget baby ku nangis terus ggra hbs d vaksin :(,Sulawesi Utara,Januari
36,inxxuliaf,2021-07-10 15:58:36+00:00,@bdngfess Aku awalnya takut di vaksin grgr takut sm jarum suntik nya tp pas udh di vaksin ga kerasa sakit sm sekali ko nder asli,Sulawesi Utara,Januari
37,inimaski,2021-07-10 15:58:23+00:00,"Min @PLindungi , sy sdh vaksin yg kedua bulan Maret kemarin. Nmr sy hangus. Nah katanya sertifikat bs diakses dr apps. Sy login pakai nmr baru dan sdh masukkan identitas lengkap. Sertifikat sy kok gk ada. Jd sertifikat ini mengikat ke NIK apa nmr hp hayo?",Sulawesi Utara,Januari
38,alif_lam_ya,2021-07-10 15:57:35+00:00,"Setelah sekian lama menanti tarikh vaksin, esok member sorang ni dapat 1st dose",Sulawesi Utara,Januari
39,heyyybuble,2021-07-10 15:57:28+00:00,"@90sthinks_ Iya makin gede, dulu kucingku segede kelereng pas umur 2 bulan. pas umur 5 bulan hampir sebesar bola kasti karna kan dia melebar jugaa. boleh kok vaksin kucingku di vaksin umur 3 bulann

Jangaan kasiaan huhu. biarin aja lari2 asal tetep dipantau ya.",Sulawesi Utara,Januari
40,Aveross17,2021-07-10 15:57:26+00:00,tidur yok besok mau vaksin biar cakepan gak mata panda,Sulawesi Utara,Januari
41,Lindsyaef,2021-07-10 15:57:15+00:00,@KediriFess Bntu RT aja ya nder. Kebetulan disekelilingku adanya gol darah AB aku O+ dan sudah vaksin ...,Sulawesi Utara,Januari
42,amaliameika,2021-07-10 15:56:59+00:00,"Beberapa hari lalu kan mbak tri dapet jatah vaksin. Yaudah tu dianter sama ibu, ternyata gagal karena tensinya 240. Kok yo isoo kui kan tinggi banget 🥲 akhirnya dalam seminggu ini tensi harus turun. Udah beli obat, aku juga udah beliin semangka timun juga.",Sulawesi Utara,Januari
43,findaprinze,2021-07-10 15:56:55+00:00,"#ceritaVaksin

Tetangga gue ada bgt yg parno divaksin. 
Sampe nyokap sempet ikut ogah divaksin. 
Menurut kepercayaan dia banyak yg abis vaksin meninggoy. 
Lalu kmrn pas gw buang sampah kedengeran mereka crita2. 
Katanya kang sayur yg suka lewat meninggoy krn abis vaksin.",Sulawesi Utara,Januari
