,username,date,content,user_location,bulan
0,HabibFuad27,2021-01-28 16:38:47+00:00,@nandhapi Habis vaksin kah ndah?,Sumatera Barat,Januari
1,DitoSatrio_,2021-01-21 07:22:29+00:00,"60rb per minggu, mau vaksin setengah penduduk aja (120jt) perlu 2000 minggu

Wtf I haven't even life THAT long https://t.co/mxqBrkPBhi",Sumatera Barat,Januari
2,PanggilsayaYaya,2021-01-21 06:35:43+00:00,@panggilutyyy Lai suntik vaksin raso mangga tu?,Sumatera Barat,Januari
3,zandrazo,2021-01-16 14:37:25+00:00,Coming soon vaksin rasa bbq ayam panggang dan balado https://t.co/YVEiIXtZ2g,Sumatera Barat,Januari
4,rudimulawarman_,2021-01-15 04:07:01+00:00,"Nah, apa ini termasuk efek dari vaksin....?🤔🤔🤔 https://t.co/8jJhW11fID",Sumatera Barat,Januari
5,Adampuri8,2021-01-15 00:32:45+00:00,Haris azwar coba dukung produk hukum yg telah ada ttg semua aturan kesehatan masyarakat .kok org yg telah di anggap tahu produk hukum bahasa nya nyeleneh .cara nya tentu di tentukan secara masal . Ini penyakit mangka nya di vaksin rakyat secara menyeluruh karena penyakit menular https://t.co/EHMji9QvBQ,Sumatera Barat,Januari
6,rudimulawarman_,2021-01-14 20:17:20+00:00,"Kok ketat kali penjagaannya, emang ada yg niat curi/rampok vaksin, boro2 nyuri di vaksin saja pada tidak mau rakyat 😎😎😎 https://t.co/8lk2gIWcNv",Sumatera Barat,Januari
7,emadhan,2021-01-14 17:50:36+00:00,"@taufiqrus @evi_sufiani gak lah mana tau lagi ngetes kemanjuran vaksin, atau setelah di vaksin mah bebas...",Sumatera Barat,Januari
8,uthituing,2021-01-14 16:55:05+00:00,"@PanggilsayaYaya Mau vaksin rasa yang dulu, bisaa??",Sumatera Barat,Januari
9,Adampuri8,2021-01-14 12:56:20+00:00,Ibuk ini wakil rakyat atau penentang aturan produk hukum .kalau wakil rakyat kok seperti ini tingkahnya .berarti rakyat yg memilih nya sudah salah pilih terpilih utk wakil rakyat bgmn lagi . Vaksin itu aturan kesehatan bukan lo . https://t.co/vujK3v7cAd,Sumatera Barat,Januari
