,username,date,content,user_location,bulan
0,sita_diandian,2021-01-29 15:54:01+00:00,"@KhumaidiZakki @chsstea Mas skrg baby kl g d vaksin dluar wjib pmrinth tu resiko bgt,krna dunia kita sdh tdk sehat lg. Pervaksin tau g hrga brpa? Bs 300-1 jta dn tu kdg sebulan ada 2/3 vaksin dluar wjib pmrinth yg gratis it,mskipn pilhn ortu mau kasi atau g. Jd baiknya nabung utk hidp 1 thn prtma anak",Sumatera Utara,Januari
1,ztoenk,2021-01-27 13:57:07+00:00,"Menteri Riset dan Teknologi (Menristek)/ Kepala Badan Riset dan Inovasi Nasional (BRIN) Bambang PS Brodjonegoro mengatakan uji klinis fase 1 vaksin Merah Putih diperkirakan paling cepat mulai pertengahan 2021.

https://t.co/0zswO0ghLp",Sumatera Utara,Januari
2,EvanStinger,2021-01-25 08:57:37+00:00,"@HardimasHP @VeritasArdentur tapi masih belum menjelaskan di mana ada aturan yang tertuang secara definitif: ""Hanya Negara yang boleh beli Vaksin, Swasta tidak boleh.""

Kalau sekedar tafsir sana sini, bahas agama saja 😅",Sumatera Utara,Januari
3,RaymondBarus,2021-01-25 07:44:31+00:00,Buka tiktok langsung sakit kepala gegara konten agama atau vaksin mulu,Sumatera Utara,Januari
4,ztoenk,2021-01-21 05:52:40+00:00,"Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir mengaku telah menemui BPK &amp; KPK terkait vaksin Covid-19 beberapa waktu yang lalu, membahas terkait kemungkinan adanya vaksin Covid-19 kategori mandiri alias berbayar.
https://t.co/SzYhjfJ7d2",Sumatera Utara,Januari
5,FebrianiFatma,2021-01-20 07:13:29+00:00,"Adik sama teman temanku vaksin kemarin dan hari ini.

Aku : habis vaksin jgn petantang petenteng melasak kesana kemari yaaa..tambahan bumper aja itu bukan otomatis kelen ga bakal kena!

Secerewet itu. Dokter pun awak repetin 🤣😂",Sumatera Utara,Januari
6,EfendiZaimas1,2021-01-20 03:43:52+00:00,Vaksin android ada GPS nya.... 😆😆😆yg gaptek pasti percaya.... https://t.co/YyWoZx9A9H,Sumatera Utara,Januari
7,sofiankawar1,2021-01-19 10:07:06+00:00,@AlbertSolo2 Kabar buruk bagi pbenci vaksin sinovac dan vaksin cina lainya.,Sumatera Utara,Januari
8,FebrianiFatma,2021-01-19 07:00:33+00:00,Ontahla jang..kasus naik terus..vaksin juga belum tau kapan dapatnya wak. https://t.co/zYciXVftlL,Sumatera Utara,Januari
9,EfendiZaimas1,2021-01-19 06:40:50+00:00,Vaksin android.... 👉🤪,Sumatera Utara,Januari
10,nug_nugi,2021-01-18 12:33:43+00:00,@falla_adinda @mrshananto @nastibintaro Efek Vaksin apakah jadinya Bu Aya Lapar 😅 3 porsi sendiri,Sumatera Utara,Januari
11,963MedanFM,2021-01-18 06:05:04+00:00,"Norwegia menyatakan kekhawatirannya terhadap keamanan vaksin Pfizer terhadap lansia setelah 29 orang meninggal, bertambah dari 23 orang.

https://t.co/9VnqfwoTn3

#medanfmnews #medanfmmakinhits
#covid_19 #covidvaccine https://t.co/MYMaajqAra",Sumatera Utara,Januari
12,polsek_tk,2021-01-17 04:10:35+00:00,Kanit Binmas Polsek Talun Kenas Polresta DS Ipda S. Abimanyu dan Bripka Lias Barus melaksanakan pengecekan Vaksin Sinovak di Puskesmas Talun Kenas . https://t.co/ajUrLulT2N,Sumatera Utara,Januari
13,nurul_reihan1,2021-01-17 03:49:02+00:00,"Cuma pas baca replyannya,bikin istighfar,ga ngerti kadang orang2 ini,ingin pandemik cepat usai tapi ga mau mematuhi protokol kesehatan,nyinyirin vaksin,jadi kudu kumaha atuh? 💆💆",Sumatera Utara,Januari
14,nurul_reihan1,2021-01-17 03:44:55+00:00,"Salut sama Aa Gym,mengundang dokter sebagai narasumber, melakukan pendidikan kesehatan buat masyarakat tentang vaksin,jadi beliau bilang beda pendapat itu hal biasa yang penting harus tanya AHLINYA dulu dan istikharah,jangan sampai langsung percaya aja sama hoax.",Sumatera Utara,Januari
15,ztoenk,2021-01-15 15:09:08+00:00,[HOAKS] Vaksin yang Dipakai Jokowi Disebut Tidak Asli karena Harus Menggunakan Alat Suntik https://t.co/h1lUuXjCMt,Sumatera Utara,Januari
16,sofiankawar1,2021-01-15 11:36:07+00:00,@bargosat @RizkiR4madani @SetiaAdy_p @ArifBiantoro2 @saifaliebahri_ @Kelik_Es @MiliUrip @AyaniMel @cimbulpamungkas @Jobrik2 @Aalembur @4ntonius_ @MaryanaNunung @BoediSastro @Mulia07094480 @inseluccy1st @ndong__ @maximilan_angel @radenkerto @babegalak1 @anto_winarno @4ntonius_1 @GARUDA35739440 @RachmaYoelia @IvanKa17846520 @BHD_8 @drSyaraf0tak @TukangMu @J_Aryoko @agama_nusantara @MukhtarLuthfi12 @HaryaWe_ @sanipermai @evisuryanti18 @r4mdanie @prihatinos @Canda_Bisnis2 @Ken2steve @StopNama @wantahgdn @FatiarTiarti @NikkoRianto @JatengSkck @SkckJawa @hyantzoe @AhokerTulen @CANDAdanBISNIS @_TNIAU @tni_ad Boleh juga ni vaksin stlh disuntik muka langsung jd lbh cingkrong,Sumatera Utara,Januari
17,sofiankawar1,2021-01-15 11:21:17+00:00,@H4l1mun_D1n61n Sifat manusia pembohong sulit percaya karena dia anggap semua orang pembohong spt dirinya. Ini lah yg terjadi saat ini pembohong nyinyiri vaksin Covid yg disuntik pd bpk Jokowi.,Sumatera Utara,Januari
18,rrs_phd,2021-01-15 06:58:30+00:00,Lah apa kewajiban Israel memberi vaksin kepada negara lain? https://t.co/QIpPm2PZZT,Sumatera Utara,Januari
